SquadIn,PlayerIn,NationIn,PosIn,Value,SquadOut,Fee
Bayer 04 Leverkusen,Patrik Schick,CZE,FW,28000000,AS Roma,26500000
Bayer 04 Leverkusen,Demarai Gray,ENG,FW,8000000,Leicester City,2000000
Bayer 04 Leverkusen,Timothy Fosu-Mensah,NLD,DF,4000000,Manchester United,1700000
TSG 1899 Hoffenheim,Mijat Gacinovic,SRB,MF,3500000,Eintracht Frankfurt,3000000
VfL Wolfsburg,Ridle Baku,DEU,FW,25000000,1.FSV Mainz 05,10000000
SC Freiburg,Baptiste Santamaria,FRA,MF,15000000,SCO Angers,10000000
Eintracht Frankfurt,André Silva,PRT,FW,45000000,AC Milan,3000000
Eintracht Frankfurt,Steven Zuber,CHE,MF,3500000,TSG 1899 Hoffenheim,3000000
Hertha BSC,Jhon Córdoba,COL,FW,15000000,1. FC Köln,15000000
Hertha BSC,Alexander Schwolow,DEU,GK,5000000,SC Freiburg,7000000
Hertha BSC,Sami Khedira,DEU,MF,NA,Juventus FC,NA
1.FC Union Berlin,Andreas Luthe,DEU,GK,900000,FC Augsburg,NA
1.FC Union Berlin,Niko Gießelmann,DEU,DF,1300000,Fortuna Düsseldorf,NA
1.FC Union Berlin,Robin Knoche,DEU,DF,7500000,VfL Wolfsburg,NA
FC Schalke 04,Vedad Ibisevic,BIH,FW,NA,Hertha BSC,NA
FC Schalke 04,Shkodran Mustafi,DEU,DF,2500000,Arsenal FC,NA
1.FSV Mainz 05,Luca Kilian,DEU,DF,1300000,SC Paderborn 07,2000000
1. FC Köln,Ondrej Duda,SVK,MF,8000000,Hertha BSC,7000000
1. FC Köln,Sebastian Andersson,SWE,FW,4500000,1.FC Union Berlin,6500000
1. FC Köln,Max Meyer,DEU,MF,1500000,Crystal Palace,NA
FC Augsburg,Felix Uduokhai,DEU,DF,16000000,VfL Wolfsburg,7000000
FC Augsburg,Rafal Gikiewicz,POL,GK,1500000,1.FC Union Berlin,NA
FC Augsburg,Tobias Strobl,DEU,MF,2000000,Borussia Mönchengladbach,NA
FC Augsburg,Daniel Caligiuri,ITA,FW,2000000,FC Schalke 04,NA
SV Werder Bremen,Ömer Toprak,TUR,DF,2500000,Borussia Dortmund,4000000
Paris Saint-Germain,Sergio Rico,ESP,GK,7000000,Sevilla FC,6000000
Paris Saint-Germain,Rafinha,BRA,MF,15000000,FC Barcelona,1500000
Stade Rennais FC,Serhou Guirassy,FRA,FW,12000000,Amiens SC,15000000
Stade Rennais FC,Martin Terrier,FRA,FW,13000000,Olympique Lyon,12000000
Stade Rennais FC,Alfred Gomis,SEN,GK,7000000,Dijon FCO,10000000
Stade Rennais FC,Nayef Aguerd,MAR,DF,8000000,Dijon FCO,4000000
LOSC Lille,Isaac Lihadji,FRA,FW,4000000,Olympique de Marseille B,300000
LOSC Lille,Angel Gomes,ENG,MF,6000000,Manchester United U23,NA
OGC Nice,Amine Gouiri,FRA,FW,30000000,Olympique Lyon,7000000
OGC Nice,Hassane Kamara,CIV,DF,8000000,Stade Reims,4000000
OGC Nice,Morgan Schneiderlin,FRA,MF,7000000,Everton FC,2230000
OGC Nice,Lucas Da Cunha,FRA,FW,3000000,Stade Rennais FC,1000000
Stade Reims,Valon Berisha,XXK,MF,3500000,SS Lazio,4200000
Olympique Lyon,Lucas Paquetá,BRA,MF,35000000,AC Milan,20000000
Olympique Lyon,Karl Toko Ekambi,CMR,FW,15000000,Villarreal CF,11500000
Olympique Lyon,Islam Slimani,DZA,FW,3000000,Leicester City,NA
Montpellier HSC,Stephy Mavididi,ENG,FW,8000000,Juventus U23,6300000
RC Strasbourg Alsace,Habib Diallo,SEN,FW,10000000,FC Metz,10000000
AS Monaco,Axel Disasi,FRA,DF,18000000,Stade Reims,13000000
AS Monaco,Kevin Volland,DEU,FW,30000000,Bayer 04 Leverkusen,11000000
SCO Angers,Paul Bernardoni,FRA,GK,10000000,FC Girondins Bordeaux,7500000
SCO Angers,Souleyman Doumbia,CIV,DF,2500000,Stade Rennais FC,3000000
SCO Angers,Sofiane Boufal,MAR,MF,5000000,Southampton FC,NA
SCO Angers,Loïs Diony,FRA,FW,2500000,AS Saint-Étienne,NA
FC Nantes,Jean-Charles Castelletto,CMR,DF,2500000,Stade Brestois 29,NA
FC Nantes,Jean-Kévin Augustin,FRA,FW,2500000,RB Leipzig,NA
FC Metz,Vincent Pajot,FRA,MF,1500000,SCO Angers,700000
Dijon FCO,Roger Assalé,CIV,FW,2500000,BSC Young Boys,4000000
Dijon FCO,Jonathan Panzo,ENG,DF,4000000,AS Monaco,3400000
Dijon FCO,Moussa Konaté,SEN,FW,2500000,Amiens SC,2400000
AS Saint-Étienne,Adil Aouchiche,FRA,MF,10000000,Paris Saint-Germain,NA
Nîmes Olympique,Yassine Benrahou,MAR,MF,2500000,FC Girondins Bordeaux,1500000
Nîmes Olympique,Patrick Burner,MTQ,DF,2000000,OGC Nice,1500000
Nîmes Olympique,Baptiste Reynet,FRA,GK,2000000,FC Toulouse,350000
