Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
267,Christian Benteke,BEL,FW,Crystal Palace,Premier League,26,1990,24.9,3,57,17,29.8,2.29,0.68,0.04,0.12,11.3,0,1,2,9.2,7.7,0.14,-6.2,-5.7
268,Karim Benzema,FRA,FW,Real Madrid,La Liga,29,1987,23.9,5,57,15,26.3,2.39,0.63,0.05,0.20,12.7,0,2,2,10.5,9.0,0.16,-5.5,-6.0
269,Yassine Benzia,DZA,MF,LOSC Lille,Ligue 1,22,1994,25.4,1,30,8,26.7,1.18,0.31,0.03,0.13,20.4,1,0,0,1.9,1.9,0.06,-0.9,-0.9
270,Saido Berahino,BDI,FW,Stoke City,Premier League,23,1993,5.5,0,9,3,33.3,1.64,0.55,0.00,0.00,17.7,0,0,1,2.1,1.3,0.15,-2.1,-1.3
271,Domenico Berardi,ITA,FW,US Sassuolo,Serie A,22,1994,25.5,4,83,23,27.7,3.25,0.90,0.02,0.09,21.5,4,2,4,8.9,5.9,0.07,-4.9,-3.9
272,Yuri Berchiche,ESP,DF,Paris Saint-Germain,Ligue 1,27,1990,19.1,2,11,3,27.3,0.58,0.16,0.18,0.67,22.2,0,0,0,0.6,0.6,0.06,+1.4,+1.4
273,Álex Berenguer,ESP,FW,Torino FC,Serie A,22,1995,11.6,1,16,9,56.3,1.38,0.78,0.06,0.11,18.4,0,0,0,1.2,1.2,0.07,-0.2,-0.2
274,Bartosz Bereszynski,POL,DF,UC Sampdoria,Serie A,25,1992,27.6,0,6,0,0.0,0.22,0.00,0.00,,25.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2
275,Jóhann Berg Gudmundsson,ISL,MF,Burnley FC,Premier League,26,1990,31.5,2,55,21,38.2,1.75,0.67,0.04,0.10,21.6,6,0,0,3.6,3.6,0.07,-1.6,-1.6
276,Markel Bergara,ESP,MF,Getafe CF,La Liga,31,1986,16.2,4,19,9,47.4,1.17,0.56,0.21,0.44,9.8,0,0,0,3.0,3.0,0.17,+1.0,+1.0
277,Emil Berggreen,DNK,FW,1.FSV Mainz 05,Bundesliga,24,1993,7.4,4,12,7,58.3,1.61,0.94,0.33,0.57,12.7,0,0,0,2.0,2.0,0.16,+2.0,+2.0
278,Robert Beric,SVN,FW,AS Saint-Étienne,Ligue 1,26,1991,11.6,7,21,12,57.1,1.82,1.04,0.29,0.50,13.9,0,1,2,5.2,3.7,0.18,+1.8,+2.3
279,Kévin Bérigaud,FRA,MF,Montpellier HSC,Ligue 1,29,1988,3.0,0,4,0,0.0,1.33,0.00,0.00,,11.6,0,0,0,0.7,0.7,0.17,-0.7,-0.7
280,Etrit Berisha,ALB,GK,Atalanta BC,Serie A,28,1989,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
281,Federico Bernardeschi,ITA,FW,Juventus FC,Serie A,23,1994,9.4,4,28,10,35.7,2.98,1.06,0.14,0.40,19.0,2,0,0,3.0,3.0,0.11,+1.0,+1.0
282,Bernardo,BRA,DF,RB Leipzig,Bundesliga,22,1995,15.0,1,12,4,33.3,0.80,0.27,0.08,0.25,17.3,0,0,0,0.6,0.6,0.05,+0.4,+0.4
283,Juan Bernat,ESP,DF,Bayern Munich,Bundesliga,24,1993,9.9,0,6,0,0.0,0.61,0.00,0.00,,10.7,0,0,0,0.7,0.7,0.12,-0.7,-0.7
284,Andrea Bertolacci,ITA,MF,Genoa CFC,Serie A,26,1991,32.2,1,15,2,13.3,0.47,0.06,0.07,0.50,18.6,1,0,0,1.1,1.1,0.08,-0.1,-0.1
285,Ryan Bertrand,ENG,DF,Southampton FC,Premier League,27,1989,34.8,0,20,4,20.0,0.57,0.11,0.00,0.00,20.0,3,0,0,1.8,1.8,0.09,-1.8,-1.8
286,Muhamed Besic,BIH,MF,Everton FC,Premier League,24,1992,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
287,Daniel Bessa,ITA,MF,Hellas Verona,Serie A,24,1993,15.4,1,15,5,33.3,0.97,0.32,0.07,0.20,22.1,0,0,0,0.9,0.9,0.06,+0.1,+0.1
288,Daniel Bessa,ITA,MF,Genoa CFC,Serie A,24,1993,4.9,2,4,2,50.0,0.82,0.41,0.50,1.00,4.3,0,0,0,1.2,1.2,0.29,+0.8,+0.8
289,Vincent Bessat,FRA,DF,SM Caen,Ligue 1,31,1985,17.4,0,17,6,35.3,0.97,0.34,0.00,0.00,25.3,0,0,0,0.5,0.5,0.03,-0.5,-0.5
290,Quentin Beunardeau,FRA,GK,FC Metz,Ligue 1,23,1994,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
291,Matteo Bianchetti,ITA,DF,Hellas Verona,Serie A,24,1993,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
292,Ermin Bicakcic,BIH,DF,TSG 1899 Hoffenheim,Bundesliga,27,1990,6.1,0,2,2,100.0,0.33,0.33,0.00,0.00,15.0,0,0,0,0.4,0.4,0.20,-0.4,-0.4
293,Pedro Bigas,ESP,DF,UD Las Palmas,La Liga,26,1990,9.9,0,4,1,25.0,0.40,0.10,0.00,0.00,16.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2
294,Lucas Biglia,ARG,MF,AC Milan,Serie A,31,1986,22.7,1,21,4,19.0,0.93,0.18,0.05,0.25,23.8,0,0,0,0.8,0.8,0.04,+0.2,+0.2
295,Philip Billing,DNK,MF,Huddersfield Town,Premier League,21,1996,8.5,0,8,2,25.0,0.94,0.24,0.00,0.00,27.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
296,Jean-Claude Billong,FRA,DF,Benevento Calcio,Serie A,23,1993,3.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
297,Davide Biondini,ITA,MF,US Sassuolo,Serie A,34,1983,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
298,Cristiano Biraghi,ITA,DF,ACF Fiorentina,Serie A,24,1992,33.1,1,34,6,17.6,1.03,0.18,0.03,0.17,22.6,7,0,0,1.8,1.8,0.05,-0.8,-0.8
299,Mame Diouf,SEN,FW,Stoke City,Premier League,29,1987,28.8,6,59,20,33.9,2.05,0.69,0.10,0.30,13.1,0,0,0,7.3,7.3,0.12,-1.3,-1.3
300,Davide Biraschi,ITA,DF,Genoa CFC,Serie A,23,1994,20.0,0,5,0,0.0,0.25,0.00,0.00,,20.7,0,0,0,0.6,0.6,0.13,-0.6,-0.6
301,Valter Birsa,SVN,MF,Chievo Verona,Serie A,30,1986,27.8,3,49,18,36.7,1.76,0.65,0.06,0.17,23.0,5,0,0,2.7,2.7,0.05,+0.3,+0.3
302,Milan Bisevac,SRB,DF,FC Metz,Ligue 1,33,1983,7.9,0,6,1,16.7,0.76,0.13,0.00,0.00,15.1,0,0,0,0.5,0.5,0.08,-0.5,-0.5
