Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,P_Cmp,P_Att,P_Cmp%,P_TotDist,P_PrgDist,PS_Cmp,PS_Att,PS_Cmp%,PM_Cmp,PM_Att,PM_Cmp%,PL_Cmp,PL_Att,PL_Cmp%,Ast,xA,A-xA,P_KP,P_1/3,P_PPA,P_CrsPA,P_Prog
199,Harvey Barnes,ENG,MF,Leicester City,Premier League,19,1997,0.1,6,7,85.7,98,14,4,4,100.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0
200,Antonio Barragán,ESP,DF,Real Betis Balompié,La Liga,30,1987,26.3,1269,1592,79.7,22195,8249,614,721,85.2,516,623,82.8,134,217,61.8,7,2.3,+4.7,22,71,30,12,132
201,Antonio Barreca,ITA,DF,Torino FC,Serie A,22,1995,5.2,230,281,81.9,4060,1851,103,119,86.6,101,114,88.6,23,36,63.9,0,0.4,-0.4,3,10,3,1,18
202,Édgar Barreto,PRY,MF,UC Sampdoria,Serie A,33,1984,21.8,861,1083,79.5,13794,4584,471,538,87.5,297,367,80.9,74,143,51.7,2,2.0,0.0,19,76,21,5,97
203,Diego Barri,ESP,MF,Getafe CF,La Liga,21,1995,1.3,14,23,60.9,306,141,5,9,55.6,6,6,100.0,3,6,50.0,0,0.0,0.0,0,3,0,0,5
204,Musa Barrow,GMB,FW,Atalanta BC,Serie A,18,1998,4.9,97,126,77.0,1658,343,52,65,80.0,34,41,82.9,10,17,58.8,1,1.1,-0.1,10,8,5,1,14
205,Gareth Barry,ENG,MF,West Bromwich Albion,Premier League,36,1981,21.4,695,933,74.5,14343,4491,259,307,84.4,307,370,83.0,122,233,52.4,1,1.6,-0.6,18,101,16,3,108
206,Fin Bartels,DEU,FW,SV Werder Bremen,Bundesliga,30,1987,12.5,283,389,72.8,4682,1172,142,180,78.9,114,152,75.0,22,35,62.9,3,3.5,-0.5,24,19,14,5,30
207,Kyle Bartley,ENG,DF,Swansea City,Premier League,26,1991,2.6,88,115,76.5,1804,628,23,30,76.7,54,61,88.5,10,20,50.0,0,0.2,-0.2,1,5,0,0,4
208,Marc Bartra,ESP,DF,Borussia Dortmund,Bundesliga,26,1991,9.0,552,697,79.2,11530,3915,181,205,88.3,275,333,82.6,92,146,63.0,1,0.9,+0.1,2,57,2,1,41
209,Marc Bartra,ESP,DF,Real Betis Balompié,La Liga,26,1991,15.8,928,1107,83.8,20009,6602,255,281,90.7,531,581,91.4,134,229,58.5,0,0.6,-0.6,4,75,5,1,58
210,Andrea Barzagli,ITA,DF,Juventus FC,Serie A,36,1981,16.1,1164,1264,92.1,25441,7625,337,359,93.9,593,629,94.3,231,264,87.5,1,0.4,+0.6,4,89,4,2,64
211,Daniele Baselli,ITA,MF,Torino FC,Serie A,25,1992,28.0,1091,1335,81.7,20260,4906,446,513,86.9,479,563,85.1,142,204,69.6,0,1.9,-1.9,27,92,25,3,114
212,Nicolas Basin,FRA,DF,FC Metz,Ligue 1,19,1998,3.5,109,161,67.7,2029,883,42,51,82.4,56,76,73.7,11,32,34.4,0,0.2,-0.2,2,5,3,2,11
213,Dusan Basta,SRB,DF,SS Lazio,Serie A,32,1984,8.6,291,394,73.9,5081,1914,139,160,86.9,118,148,79.7,29,71,40.8,1,0.4,+0.6,7,17,14,7,24
214,Gil Dias,PRT,FW,AS Monaco,Ligue 1,20,1996,0.1,1,1,100.0,8,5,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
215,Gil Dias,PRT,FW,ACF Fiorentina,Serie A,20,1996,13.2,360,471,76.4,5575,1391,205,250,82.0,126,155,81.3,24,45,53.3,3,1.1,+1.9,25,21,18,2,38
216,Samuel Bastien,BEL,MF,Chievo Verona,Serie A,20,1996,15.1,403,487,82.8,7184,1405,180,212,84.9,169,189,89.4,47,68,69.1,0,0.3,-0.3,7,26,8,2,28
217,Borja Bastón,ESP,FW,Málaga CF,La Liga,24,1992,11.0,175,231,75.8,2281,290,117,141,83.0,44,64,68.8,6,12,50.0,0,0.6,-0.6,5,9,2,0,3
218,Alessandro Bastoni,ITA,DF,Atalanta BC,Serie A,18,1999,1.0,72,84,85.7,1302,384,28,34,82.4,38,41,92.7,5,6,83.3,0,0.1,-0.1,2,6,0,0,7
219,Bastos,AGO,DF,SS Lazio,Serie A,26,1991,15.6,786,866,90.8,15922,4527,268,282,95.0,393,416,94.5,120,156,76.9,0,0.1,-0.1,3,45,2,1,35
220,Michy Batshuayi,BEL,FW,Chelsea FC,Premier League,23,1993,4.0,65,92,70.7,902,107,40,47,85.1,17,26,65.4,4,7,57.1,1,0.2,+0.8,2,4,1,0,3
221,Michy Batshuayi,BEL,FW,Borussia Dortmund,Bundesliga,23,1993,9.3,128,183,69.9,1863,418,78,105,74.3,35,46,76.1,9,15,60.0,1,0.5,+0.5,4,8,6,0,12
222,Moritz Bauer,AUT,DF,Stoke City,Premier League,25,1992,14.5,274,458,59.8,5515,2559,113,151,74.8,100,151,66.2,55,128,43.0,0,1.2,-1.2,13,16,10,6,22
223,Robert Bauer,DEU,DF,SV Werder Bremen,Bundesliga,22,1995,10.6,368,503,73.2,7727,3818,111,135,82.2,193,248,77.8,56,101,55.4,0,0.2,-0.2,5,33,5,3,37
224,Oliver Baumann,DEU,GK,TSG 1899 Hoffenheim,Bundesliga,27,1990,34.0,975,1405,69.4,27962,17827,220,222,99.1,417,427,97.7,329,745,44.2,0,0.0,0.0,0,14,0,0,2
225,Timo Baumgartl,DEU,DF,VfB Stuttgart,Bundesliga,21,1996,29.0,1263,1544,81.8,27413,10156,366,408,89.7,632,717,88.1,258,397,65.0,0,0.4,-0.4,6,90,12,2,102
226,Julian Baumgartlinger,AUT,MF,Bayer 04 Leverkusen,Bundesliga,29,1988,15.5,867,951,91.2,16036,3676,401,430,93.3,333,357,93.3,125,140,89.3,0,0.5,-0.5,10,57,6,0,56
227,Jon Bautista,ESP,FW,Real Sociedad,La Liga,22,1995,2.1,25,36,69.4,310,71,15,22,68.2,4,7,57.1,2,3,66.7,0,0.2,-0.2,1,2,3,0,3
228,Paul Baysse,FRA,DF,FC Girondins Bordeaux,Ligue 1,29,1988,6.3,243,293,82.9,5449,1627,70,79,88.6,116,134,86.6,55,73,75.3,0,0.0,0.0,0,24,0,0,14
229,Paul Baysse,FRA,DF,Málaga CF,La Liga,29,1988,13.8,433,551,78.6,9587,2912,114,147,77.6,238,276,86.2,80,126,63.5,0,0.0,0.0,0,15,2,0,15
230,Noah Joel Sarenren Bazee,NGA,FW,Hannover 96,Bundesliga,20,1996,1.3,11,25,44.0,151,53,6,13,46.2,5,10,50.0,0,0,,0,0.0,0.0,0,1,0,0,1
231,Hervé Bazile,HTI,FW,SM Caen,Ligue 1,27,1990,9.8,178,323,55.1,3408,1038,86,109,78.9,60,100,60.0,30,94,31.9,1,1.5,-0.5,14,11,10,6,16
232,Riechedly Bazoer,NLD,MF,VfL Wolfsburg,Bundesliga,20,1996,6.6,213,249,85.5,4416,680,71,79,89.9,101,115,87.8,36,48,75.0,0,0.1,-0.1,2,11,1,1,10
233,Enrico Bearzotti,ITA,DF,Hellas Verona,Serie A,20,1996,4.6,128,174,73.6,2415,1037,46,55,83.6,69,83,83.1,12,30,40.0,0,0.1,-0.1,1,9,1,0,15
