Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,P_Att,P_Live,P_Dead,P_FK,P_TB,P_Press,P_Sw,P_Crs,P_CK,P_InCK,P_OutCK,P_StrCK,P_Ground,P_Low,P_High,P_Left,P_Right,P_Head,P_TI,P_Other,P_Cmp,P_Off,P_Out,P_Int,P_Blocks
2345,Roberto Soriano,ITA,MF,Villarreal CF,La Liga,26,1991,12.7,505,498,7,1,0,88,7,11,3,0,0,0,407,43,55,71,402,19,2,3,397,6,4,16,21
2346,Stefano Sorrentino,ITA,GK,Chievo Verona,Serie A,38,1979,38.0,1135,638,497,136,0,59,16,0,0,0,0,0,381,82,672,40,875,0,0,170,718,3,18,7,1
2347,Pape Souaré,SEN,DF,Crystal Palace,Premier League,27,1990,0.1,11,9,2,0,0,2,0,0,0,0,0,0,6,1,4,6,1,2,2,0,9,0,0,0,0
2348,Rayan Souici,FRA,FW,AS Saint-Étienne,Ligue 1,19,1998,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0
2349,Adama Soumaoro,FRA,DF,LOSC Lille,Ligue 1,25,1992,13.2,563,551,12,9,0,77,3,0,0,0,0,0,478,28,57,77,440,28,3,5,511,2,10,6,2
2350,Boubakary Soumaré,FRA,MF,LOSC Lille,Ligue 1,18,1999,5.7,346,346,0,0,0,65,2,0,0,0,0,0,304,17,25,59,266,15,0,0,292,1,6,7,7
2351,Samuel Souprayen,FRA,DF,Hellas Verona,Serie A,28,1989,17.6,838,715,123,14,0,132,12,11,2,0,1,1,495,168,175,590,77,46,107,5,684,2,27,10,9
2352,Arnaud Souquet,FRA,DF,OGC Nice,Ligue 1,25,1992,26.8,1581,1400,181,15,0,224,24,47,0,0,0,0,1172,170,239,128,1212,61,166,5,1346,1,28,32,42
2353,Caglar Söyüncü,TUR,DF,SC Freiburg,Bundesliga,21,1996,23.9,1101,1049,52,50,0,154,35,1,0,0,0,0,772,93,236,325,672,70,2,6,912,0,16,8,20
2354,Luca Sparandeo,ITA,DF,Benevento Calcio,Serie A,17,1999,0.4,16,16,0,0,0,5,0,0,0,0,0,0,14,1,1,14,1,0,0,0,15,0,0,0,0
2355,Julián Speroni,ARG,GK,Crystal Palace,Premier League,38,1979,11.0,232,152,80,26,0,25,4,0,0,0,0,0,44,3,185,6,183,0,0,15,105,1,7,1,0
2356,Leonardo Spinazzola,ITA,DF,Atalanta BC,Serie A,24,1993,16.7,972,853,119,10,3,128,32,47,0,0,0,0,570,186,216,216,614,22,109,8,746,1,24,11,40
2357,Nicolás Spolli,ARG,DF,Genoa CFC,Serie A,34,1983,20.0,650,624,26,25,0,63,14,1,0,0,0,0,454,65,131,29,530,62,1,10,557,2,10,2,7
2358,Marco Sportiello,ITA,GK,ACF Fiorentina,Serie A,25,1992,35.6,985,682,303,68,0,90,24,0,0,0,0,0,525,63,397,75,697,0,0,186,726,6,27,2,1
2359,Bassem Srarfi,TUN,FW,OGC Nice,Ligue 1,20,1997,9.7,372,368,4,2,0,92,7,9,1,0,0,0,304,31,37,285,70,15,0,0,303,0,8,7,14
2360,Konstantinos Stafylidis,GRC,DF,Stoke City,Premier League,23,1993,3.7,135,101,34,1,0,25,3,5,0,0,0,0,69,19,47,77,12,10,33,2,94,1,1,2,6
