Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
29,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,de Bundesliga,26,1990,33,33,2969,33.0,43,1.30,140,100,70.7,15,9,9,12,36.4,2,2,0,0,0.0
30,Ludovic Butelle\Ludovic-Butelle,fr FRA,GK,Angers,fr Ligue 1,34,1983,19,19,1652,18.4,22,1.20,70,52,72.9,6,5,7,4,21.1,3,3,0,0,0.0
31,Jack Butland\Jack-Butland,eng ENG,GK,Stoke City,eng Premier League,24,1993,35,35,3150,35.0,61,1.74,198,144,71.7,7,11,17,6,17.1,5,5,0,0,0.0
32,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,eng Premier League,35,1981,3,3,270,3.0,4,1.33,11,7,63.6,1,1,1,1,33.3,0,0,0,0,
33,Yoan Cardinale\Yoan-Cardinale,fr FRA,GK,Nice,fr Ligue 1,23,1994,10,10,900,10.0,16,1.60,43,28,62.8,3,1,6,3,30.0,0,0,0,0,
34,Kiko Casilla\Kiko-Casilla,es ESP,GK,Real Madrid,es La Liga,30,1986,10,10,900,10.0,11,1.10,32,22,65.6,6,2,2,3,30.0,0,0,0,0,
35,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,de Bundesliga,25,1992,34,34,3060,34.0,48,1.41,143,102,70.6,6,15,13,8,23.5,10,6,3,1,33.3
36,Petr Čech\Petr-Cech,cz CZE,GK,Arsenal,eng Premier League,35,1982,34,34,3039,33.8,48,1.42,129,86,66.7,16,6,12,11,32.4,6,5,1,0,16.7
37,Nereo Champagne\Nereo-Champagne,ar ARG,GK,Leganés,es La Liga,32,1985,2,2,180,2.0,6,3.00,9,4,44.4,0,0,2,0,0.0,1,1,0,0,0.0
38,Leandro Chichizola\Leandro-Chichizola,ar ARG,GK,Las Palmas,es La Liga,27,1990,27,27,2430,27.0,47,1.74,152,109,71.1,4,5,18,4,14.8,3,3,0,0,0.0
39,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Barcelona,es La Liga,28,1989,1,1,90,1.0,1,1.00,7,6,85.7,1,0,0,1,100.0,0,0,0,0,
40,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,it Serie A,30,1987,37,37,3316,36.8,58,1.57,172,117,67.4,11,10,16,10,27.0,3,2,1,0,33.3
41,Alex Cordaz\Alex-Cordaz,it ITA,GK,Crotone,it Serie A,34,1983,38,38,3420,38.0,66,1.74,199,138,69.8,9,8,21,5,13.2,8,6,1,1,14.3
42,Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,it Serie A,33,1983,4,4,360,4.0,5,1.25,16,12,75.0,1,0,3,1,25.0,1,1,0,0,0.0
43,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,fr Ligue 1,30,1987,36,36,3240,36.0,45,1.25,119,79,65.5,16,7,13,10,27.8,9,4,4,1,50.0
44,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Chelsea,eng Premier League,25,1992,35,35,3150,35.0,34,0.97,103,73,68.9,20,6,9,15,42.9,2,2,0,0,0.0
45,Alessio Cragno\Alessio-Cragno,it ITA,GK,Cagliari,it Serie A,23,1994,29,29,2536,28.2,47,1.67,121,80,66.1,7,4,17,7,24.1,10,6,2,2,25.0
46,Luca Crosta\Luca-Crosta,it ITA,GK,Cagliari,it Serie A,19,1998,1,1,90,1.0,3,3.00,2,0,0.0,0,0,1,0,0.0,1,1,0,0,0.0
47,Iván Cuéllar\Ivan-Cuellar,es ESP,GK,Leganés,es La Liga,33,1984,35,35,3150,35.0,43,1.23,143,105,73.4,11,8,18,14,40.0,6,5,1,0,16.7
48,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,26,1990,10,10,900,10.0,15,1.50,43,32,72.1,1,5,4,2,20.0,3,3,0,0,0.0
49,Abdoulaye Diallo\Abdoulaye-Diallo,sn SEN,GK,Rennes,fr Ligue 1,25,1992,3,3,270,3.0,5,1.67,16,12,75.0,0,2,1,0,0.0,1,1,0,0,0.0
50,Thomas Didillon\Thomas-Didillon,fr FRA,GK,Metz,fr Ligue 1,21,1995,9,9,810,9.0,14,1.56,36,26,69.4,1,1,7,2,22.2,3,3,0,0,0.0
51,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,es La Liga,25,1992,36,36,3240,36.0,49,1.36,121,80,62.8,13,8,15,10,27.8,4,4,0,0,0.0
52,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,es La Liga,26,1990,5,5,450,5.0,5,1.00,22,17,77.3,4,0,1,2,40.0,0,0,0,0,
53,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,it Serie A,18,1999,38,38,3420,38.0,42,1.11,131,92,69.5,18,10,10,12,31.6,3,2,0,1,0.0
54,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,it Serie A,19,1997,3,1,217,2.4,8,3.32,18,10,55.6,0,0,2,0,0.0,0,0,0,0,
55,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,eng Premier League,28,1989,12,12,1080,12.0,11,0.92,37,26,70.3,6,1,5,4,33.3,1,0,1,0,100.0
56,Maxime Dupé\Maxime-Dupe,fr FRA,GK,Nantes,fr Ligue 1,24,1993,1,1,90,1.0,3,3.00,4,2,50.0,0,0,1,0,0.0,1,1,0,0,0.0
57,Ederson\Ederson,br BRA,GK,Manchester City,eng Premier League,23,1993,36,36,3194,35.5,26,0.73,79,54,67.1,30,4,2,16,44.4,3,0,2,1,100.0
58,Rob Elliot\Rob-Elliot,ie IRL,GK,Newcastle Utd,eng Premier League,31,1986,16,16,1440,16.0,21,1.31,62,43,67.7,5,2,9,3,18.8,2,1,1,0,50.0
59,Michael Esser\Michael-Esser,de GER,GK,Hannover 96,de Bundesliga,29,1987,3,3,270,3.0,9,3.00,21,12,57.1,1,0,2,0,0.0,1,0,0,1,
60,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,Swansea City,eng Premier League,32,1985,38,38,3420,38.0,56,1.47,191,140,72.3,8,9,21,9,23.7,7,3,3,1,50.0
61,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,de Bundesliga,28,1988,34,34,3015,33.5,37,1.10,121,87,71.9,18,9,7,12,35.3,6,3,2,1,40.0
62,Andrés Fernández\Andres-Fernandez,es ESP,GK,Villarreal,es La Liga,30,1986,3,3,225,2.5,6,2.40,15,10,66.7,0,1,2,0,0.0,1,1,0,0,0.0
63,Raúl Fernández\Raul-Fernandez,es ESP,GK,Levante,es La Liga,29,1988,11,11,990,11.0,15,1.36,53,38,71.7,2,6,3,3,27.3,0,0,0,0,
64,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,eng Premier League,29,1988,20,20,1800,20.0,30,1.50,96,66,68.8,4,7,9,4,20.0,1,0,1,0,100.0
65,Ben Foster\Ben-Foster,eng ENG,GK,West Brom,eng Premier League,34,1983,37,37,3330,37.0,55,1.49,152,99,64.5,6,12,19,10,27.0,1,1,0,0,0.0
66,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,eng Premier League,25,1992,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
67,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,eng Premier League,26,1990,37,37,3330,37.0,28,0.76,140,115,80.7,24,6,7,18,48.6,1,1,0,0,0.0
68,Rafał Gikiewicz\Rafal-Gikiewicz,pl POL,GK,Freiburg,de Bundesliga,29,1987,2,1,154,1.7,3,1.75,7,4,57.1,1,1,0,0,0.0,0,0,0,0,
69,Dani Giménez\Dani-Gimenez,es ESP,GK,Betis,es La Liga,34,1983,4,4,308,3.4,0,0.00,7,7,100.0,3,0,0,3,75.0,0,0,0,0,
70,Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,Atalanta,it Serie A,22,1995,7,7,622,6.9,4,0.58,17,13,76.5,3,2,2,3,42.9,0,0,0,0,
71,Heurelho Gomes\Heurelho-Gomes,br BRA,GK,Watford,eng Premier League,36,1981,24,24,2128,23.6,40,1.69,98,62,62.2,7,5,12,5,20.8,3,3,0,0,0.0
72,Alfred Gomis\Alfred-Gomis,sn SEN,GK,SPAL,it Serie A,23,1993,26,25,2261,25.1,43,1.71,136,99,72.8,6,7,12,3,12.0,7,6,1,0,14.3
73,Mathieu Gorgelin\Mathieu-Gorgelin,fr FRA,GK,Lyon,fr Ligue 1,26,1990,4,4,360,4.0,6,1.50,12,6,50.0,2,1,1,1,25.0,0,0,0,0,
74,Lee Grant\Lee-Grant,eng ENG,GK,Stoke City,eng Premier League,34,1983,3,3,270,3.0,7,2.33,14,7,50.0,0,1,2,1,33.3,0,0,0,0,
75,Vicente Guaita\Vicente-Guaita,es ESP,GK,Getafe,es La Liga,30,1987,33,33,2970,33.0,26,0.79,108,83,76.9,13,9,11,12,36.4,3,1,1,1,50.0
76,Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,RB Leipzig,de Bundesliga,27,1990,33,33,2970,33.0,52,1.58,143,95,67.1,15,8,10,6,18.2,5,5,0,0,0.0
77,Régis Gurtner\Regis-Gurtner,fr FRA,GK,Amiens,fr Ligue 1,30,1986,37,37,3330,37.0,41,1.11,178,141,79.2,12,9,16,11,29.7,4,4,0,0,0.0
78,Ben Hamer\Ben-Hamer,eng ENG,GK,Leicester City,eng Premier League,29,1987,4,3,275,3.1,7,2.29,13,7,53.8,0,1,2,1,33.3,1,1,0,0,0.0
79,Samir Handanović\Samir-Handanovic,si SVN,GK,Inter,it Serie A,33,1984,38,38,3420,38.0,30,0.79,119,94,76.5,20,12,6,17,44.7,2,2,0,0,0.0
80,Joe Hart\Joe-Hart,eng ENG,GK,West Ham,eng Premier League,30,1987,19,19,1710,19.0,39,2.05,88,53,60.2,3,6,10,4,21.1,5,4,1,0,20.0
81,Tom Heaton\Tom-Heaton,eng ENG,GK,Burnley,eng Premier League,31,1986,4,4,305,3.4,4,1.18,13,9,69.2,1,1,1,0,0.0,0,0,0,0,
82,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,eng Premier League,30,1987,27,27,2430,27.0,41,1.52,128,90,68.8,8,6,13,7,25.9,1,1,0,0,0.0
83,Iago Herrerín\Iago-Herrerin,es ESP,GK,Athletic Club,es La Liga,29,1988,8,8,720,8.0,6,0.75,26,22,84.6,3,4,1,4,50.0,3,2,1,0,33.3
84,Marwin Hitz\Marwin-Hitz,ch SUI,GK,Augsburg,de Bundesliga,29,1987,32,32,2880,32.0,42,1.31,159,118,74.2,10,10,12,9,28.1,2,1,1,0,50.0
85,Timo Horn\Timo-Horn,de GER,GK,Köln,de Bundesliga,24,1993,34,34,3060,34.0,70,2.06,197,135,68.5,5,7,22,5,14.7,9,8,1,0,11.1
86,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,Eint Frankfurt,de Bundesliga,27,1989,34,34,3060,34.0,45,1.32,133,91,67.7,14,7,13,7,20.6,3,2,0,1,0.0
87,Gorka Iraizoz\Gorka-Iraizoz,es ESP,GK,Girona,es La Liga,36,1981,9,8,765,8.5,13,1.53,37,26,64.9,1,3,4,2,25.0,0,0,0,0,
88,Eldin Jakupović\Eldin-Jakupovic,ch SUI,GK,Leicester City,eng Premier League,32,1984,2,2,180,2.0,6,3.00,13,8,53.8,1,0,1,0,0.0,0,0,0,0,
89,Rune Jarstein\Rune-Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,32,1984,31,31,2790,31.0,44,1.42,130,92,70.0,10,10,11,7,22.6,6,5,0,1,0.0
90,Karl-Johan Johnsson\Karl-Johan-Johnsson,se SWE,GK,Guingamp,fr Ligue 1,27,1990,38,38,3420,38.0,59,1.55,169,116,68.0,12,11,15,11,28.9,7,5,2,0,28.6
91,Bingourou Kamara\Bingourou-Kamara,sn SEN,GK,Strasbourg,fr Ligue 1,20,1996,19,19,1691,18.8,32,1.70,90,60,66.7,4,6,9,2,10.5,2,2,0,0,0.0
92,Loris Karius\Loris-Karius,de GER,GK,Liverpool,eng Premier League,24,1993,19,19,1710,19.0,14,0.74,42,30,71.4,11,5,3,10,52.6,3,2,1,0,33.3
93,Orestis Karnezis\Orestis-Karnezis,gr GRE,GK,Watford,eng Premier League,32,1985,15,14,1292,14.4,24,1.67,52,31,59.6,4,3,7,4,28.6,3,3,0,0,0.0
94,Eiji Kawashima\Eiji-Kawashima,jp JPN,GK,Metz,fr Ligue 1,34,1983,29,29,2570,28.6,60,2.10,172,113,65.1,5,7,17,2,6.9,2,0,2,0,100.0
95,Hervé Koffi\Herve-Koffi,bf BFA,GK,Lille,fr Ligue 1,20,1996,4,4,360,4.0,11,2.75,19,10,47.4,0,1,3,0,0.0,1,1,0,0,0.0
96,Tomáš Koubek\Tomas-Koubek,cz CZE,GK,Rennes,fr Ligue 1,24,1992,34,34,3060,34.0,36,1.06,130,98,73.8,16,8,10,10,29.4,3,2,1,0,33.3
97,Maksym Koval\Maksym-Koval,ua UKR,GKMF,La Coruña,es La Liga,24,1992,2,2,121,1.3,3,2.23,5,2,40.0,0,0,1,0,0.0,0,0,0,0,
98,Thomas Kraft\Thomas-Kraft,de GER,GK,Hertha BSC,de Bundesliga,29,1988,3,3,270,3.0,2,0.67,12,11,91.7,0,3,0,1,33.3,1,1,0,0,0.0
99,Alban Lafont\Alban-Lafont,fr FRA,GK,Toulouse,fr Ligue 1,18,1999,38,38,3420,38.0,54,1.42,161,113,70.2,9,10,19,12,31.6,6,6,0,0,0.0
100,Eugenio Lamanna\Eugenio-Lamanna,it ITA,GK,Genoa,it Serie A,27,1989,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
101,Benjamin Lecomte\Benjamin-Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,26,1991,38,38,3420,38.0,33,0.87,121,93,76.9,11,18,9,14,36.8,6,5,0,1,0.0
102,Bernd Leno\Bernd-Leno,de GER,GK,Leverkusen,de Bundesliga,25,1992,33,33,2970,33.0,40,1.21,104,68,66.3,15,10,8,10,30.3,5,5,0,0,0.0
103,Alexandre Letellier\Alexandre-Letellier,fr FRA,GK,Angers,fr Ligue 1,26,1990,13,13,1170,13.0,17,1.31,46,32,67.4,2,7,4,1,7.7,2,2,0,0,0.0
104,Raúl Lizoain\Raul-Lizoain,es ESP,GK,Las Palmas,es La Liga,26,1991,11,11,990,11.0,27,2.45,61,36,59.0,1,2,8,1,9.1,2,2,0,0,0.0
105,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,eng Premier League,30,1986,36,36,3240,36.0,35,0.97,120,86,72.5,22,7,7,15,41.7,3,2,1,0,33.3
106,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,fr Ligue 1,26,1990,34,34,3060,34.0,37,1.09,135,106,76.3,21,8,5,14,41.2,8,5,2,1,28.6
107,Diego López\Diego-Lopez,es ESP,GK,Espanyol,es La Liga,35,1981,11,11,942,10.5,11,1.05,38,30,73.7,3,4,2,3,27.3,2,1,1,0,50.0
108,Pau López\Pau-Lopez,es ESP,GK,Espanyol,es La Liga,22,1994,28,27,2478,27.5,31,1.13,128,100,78.1,9,9,11,9,33.3,5,3,1,1,25.0
109,Pedro López\Pedro-Lopez,es ESP,GK,Betis,es La Liga,22,1995,5,4,412,4.6,8,1.75,18,10,55.6,1,2,2,0,0.0,0,0,0,0,
110,Jonas Lössl\Jonas-Lossl,dk DEN,GK,Huddersfield,eng Premier League,28,1989,38,38,3420,38.0,57,1.50,154,101,65.6,9,10,19,10,26.3,6,4,2,0,33.3
111,Andreas Luthe\Andreas-Luthe,de GER,GK,Augsburg,de Bundesliga,30,1987,2,2,180,2.0,4,2.00,6,3,50.0,0,1,1,0,0.0,1,1,0,0,0.0
112,Raïs M'Bolhi\Rais-MBolhi,dz ALG,GK,Rennes,fr Ligue 1,31,1986,1,1,90,1.0,3,3.00,5,4,80.0,0,0,1,0,0.0,2,2,0,0,0.0
113,Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,fr Ligue 1,21,1995,34,34,3033,33.7,53,1.57,160,112,68.8,10,7,17,5,14.7,6,3,2,1,40.0
114,Steve Mandanda\Steve-Mandanda,fr FRA,GK,Marseille,fr Ligue 1,32,1985,31,31,2680,29.8,37,1.24,118,85,72.0,18,8,4,11,35.5,6,4,1,1,20.0
115,Gabriele Marchegiani\Gabriele-Marchegiani,it ITA,GK,SPAL,it Serie A,21,1996,1,0,1,0.0,0,0.00,0,0,,0,0,0,0,,0,0,0,0,
116,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Getafe,es La Liga,24,1992,5,5,450,5.0,7,1.40,19,13,68.4,2,1,2,2,40.0,1,1,0,0,0.0
117,Christian Mathenia\Christian-Mathenia,de GER,GK,Hamburger SV,de Bundesliga,25,1992,24,24,2160,24.0,38,1.58,93,58,62.4,4,6,14,6,25.0,4,3,0,1,0.0
118,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,eng Premier League,27,1989,18,18,1620,18.0,26,1.44,64,39,60.9,3,8,7,4,22.2,1,1,0,0,0.0
119,Alex Meret\Alex-Meret,it ITA,GK,SPAL,it Serie A,20,1997,13,13,1158,12.9,16,1.24,56,45,76.8,2,7,4,4,30.8,6,3,2,1,40.0
120,Mathieu Michel\Mathieu-Michel,fr FRA,GK,Angers,fr Ligue 1,25,1991,7,6,598,6.6,13,1.96,27,17,59.3,1,2,4,1,16.7,2,2,0,0,0.0
121,Simon Mignolet\Simon-Mignolet,be BEL,GK,Liverpool,eng Premier League,29,1988,19,19,1710,19.0,24,1.26,57,35,61.4,10,7,2,7,36.8,3,2,1,0,33.3
122,Vanja Milinković-Savić\Vanja-Milinkovic-Savic,rs SRB,GK,Torino,it Serie A,20,1997,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,
123,Antonio Mirante\Antonio-Mirante,it ITA,GK,Bologna,it Serie A,34,1983,33,33,2970,33.0,46,1.39,143,100,69.2,10,5,18,7,21.2,3,2,0,1,0.0
124,Jessy Moulin\Jessy-Moulin,fr FRA,GK,Saint-Étienne,fr Ligue 1,31,1986,4,3,305,3.4,6,1.77,27,22,81.5,1,0,2,1,33.3,1,1,0,0,0.0
125,Florian Müller\Florian-Muller,de GER,GK,Mainz 05,de Bundesliga,19,1997,5,5,450,5.0,7,1.40,19,11,63.2,1,1,3,1,20.0,1,0,1,0,100.0
126,Yvon Mvogo\Yvon-Mvogo,ch SUI,GK,RB Leipzig,de Bundesliga,23,1994,1,1,90,1.0,1,1.00,4,3,75.0,0,0,1,0,0.0,0,0,0,0,
127,Boaz Myhill\Boaz-Myhill,wal WAL,GK,West Brom,eng Premier League,34,1982,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,
128,Keylor Navas\Keylor-Navas,cr CRC,GK,Real Madrid,es La Liga,30,1986,27,27,2430,27.0,31,1.15,112,84,74.1,16,7,4,7,25.9,4,2,2,0,50.0
129,Neto\Neto,br BRA,GK,Valencia,es La Liga,28,1989,33,33,2970,33.0,33,1.00,150,120,80.0,18,7,8,10,30.3,5,3,2,0,40.0
130,Manuel Neuer\Manuel-Neuer,de GER,GK,Bayern Munich,de Bundesliga,31,1986,3,3,270,3.0,2,0.67,8,6,75.0,2,0,1,2,66.7,0,0,0,0,
131,Alexander Nübel\Alexander-Nubel,de GER,GK,Schalke 04,de Bundesliga,20,1996,1,0,45,0.5,0,0.00,2,2,100.0,0,0,0,0,,0,0,0,0,
132,Jan Oblak\Jan-Oblak,si SVN,GK,Atlético Madrid,es La Liga,24,1993,37,37,3330,37.0,22,0.59,126,106,83.3,22,10,5,22,59.5,4,1,3,0,75.0
133,Oier Olazábal\Oier-Olazabal,es ESP,GK,Levante,es La Liga,27,1989,26,26,2340,26.0,39,1.50,117,86,70.9,9,7,10,7,26.9,6,5,0,1,0.0
134,David Ospina\David-Ospina,co COL,GK,Arsenal,eng Premier League,28,1988,5,4,381,4.2,3,0.71,14,11,78.6,3,0,1,2,50.0,0,0,0,0,
135,Alexandre Oukidja\Alexandre-Oukidja,dz ALG,GK,Strasbourg,fr Ligue 1,29,1988,17,16,1457,16.2,29,1.79,70,45,64.3,3,5,8,2,12.5,5,4,1,0,20.0
136,Ramazan Özcan\Ramazan-Ozcan,at AUT,GK,Leverkusen,de Bundesliga,33,1984,1,1,90,1.0,4,4.00,7,3,42.9,0,0,1,0,0.0,1,0,1,0,100.0
137,Fernando Pacheco\Fernando-Pacheco,es ESP,GK,Alavés,es La Liga,25,1992,38,37,3360,37.3,50,1.34,175,134,75.4,15,2,20,12,32.4,11,7,3,1,30.0
138,Costel Pantilimon\Costel-Pantilimon,ro ROU,GK,La Coruña,es La Liga,30,1987,6,6,540,6.0,9,1.50,23,16,65.2,3,0,3,1,16.7,1,1,0,0,0.0
139,Jiří Pavlenka\Jiri-Pavlenka,cz CZE,GK,Werder Bremen,de Bundesliga,25,1992,34,34,3060,34.0,40,1.18,157,119,75.8,10,12,12,8,23.5,4,2,1,1,33.3
140,Gianluca Pegolo\Gianluca-Pegolo,it ITA,GK,Sassuolo,it Serie A,36,1981,2,1,104,1.2,1,0.87,5,5,80.0,0,0,1,0,0.0,0,0,0,0,
141,Yohann Pelé\Yohann-Pele,fr FRA,GK,Marseille,fr Ligue 1,34,1982,10,7,738,8.2,10,1.22,26,18,61.5,4,3,1,3,42.9,0,0,0,0,
142,Mattia Perin\Mattia-Perin,it ITA,GK,Genoa,it Serie A,24,1992,37,37,3330,37.0,42,1.14,167,131,77.2,11,8,18,12,32.4,4,4,0,0,0.0
143,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,eng Premier League,23,1994,38,38,3420,38.0,58,1.53,176,121,68.8,13,10,15,10,26.3,5,3,1,1,25.0
144,Carlo Pinsoglio\Carlo-Pinsoglio,it ITA,GK,Juventus,it Serie A,27,1990,1,0,28,0.3,1,3.21,2,1,50.0,0,0,0,0,,0,0,0,0,
