Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
87,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Hellas Verona,it Serie A,29,1988,36.0,7,0.19,4,3,0,0,0,0,1,0.03,1,0,0,0,0,0
88,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,fr Ligue 1,26,1990,33.5,67,2.00,61,0,2,2,1,1,6,0.18,6,0,0,0,0,0
89,Marco Andreolli\Marco-Andreolli,it ITA,DF,Cagliari,it Serie A,31,1986,20.3,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
90,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,fr Ligue 1,28,1989,23.0,38,1.65,30,3,2,0,1,2,4,0.17,3,0,0,0,1,0
91,Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,Leganés,es La Liga,27,1990,16.1,26,1.63,19,0,2,4,1,0,6,0.38,3,0,0,2,1,0
92,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,33,1984,8.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
93,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Getafe,es La Liga,19,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
94,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,27,1989,26.9,64,2.37,32,22,4,2,2,2,11,0.41,5,4,1,1,0,0
95,Gabriele Angella\Gabriele-Angella,it ITA,DF,Udinese,it Serie A,28,1989,9.9,11,1.11,9,0,0,0,1,1,0,0.00,0,0,0,0,0,0
96,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,30,1986,20.8,51,2.46,30,1,10,3,4,3,7,0.34,5,0,0,1,1,0
97,Luca Antei\Luca-Antei,it ITA,DF,Benevento,it Serie A,25,1992,6.6,2,0.30,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
98,Mirco Antenucci\Mirco-Antenucci,it ITA,FW,SPAL,it Serie A,32,1984,28.6,66,2.31,45,0,5,7,8,1,11,0.38,7,0,0,3,1,0
99,Waldemar Anton\Waldemar-Anton,de GER,DFMF,Hannover 96,de Bundesliga,21,1996,25.3,11,0.43,9,0,0,2,0,0,0,0.00,0,0,0,0,0,0
100,Luca Antonelli\Luca-Antonelli,it ITA,DFMF,Milan,it Serie A,30,1987,1.6,1,0.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
101,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,eng Premier League,27,1990,15.0,31,2.06,18,1,3,1,8,0,3,0.20,0,0,1,1,1,0
102,Mirko Antonucci\Mirko-Antonucci,it ITA,FW,Roma,it Serie A,18,1999,0.3,2,6.43,2,0,0,0,0,0,1,3.21,1,0,0,0,0,0
103,Vitorino Antunes\Vitorino-Antunes,pt POR,DF,Getafe,es La Liga,30,1987,31.1,52,1.67,27,20,2,1,0,2,3,0.10,2,1,0,0,0,0
104,Dennis Aogo\Dennis-Aogo,de GER,MFDF,Stuttgart,de Bundesliga,30,1987,21.7,40,1.84,26,13,0,1,0,0,6,0.28,2,3,0,1,0,0
105,Houssem Aouar\Houssem-Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,19,1998,27.0,98,3.62,72,1,6,6,9,4,12,0.44,10,0,0,2,0,0
106,Alberto Aquilani\Alberto-Aquilani,it ITA,MF,Las Palmas,es La Liga,33,1984,14.4,21,1.46,20,0,0,0,1,0,0,0.00,0,0,0,0,0,0
107,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,21,1995,23.6,17,0.72,11,0,0,2,2,2,2,0.08,1,0,0,1,0,0
108,Guilherme Arana\Guilherme-Arana,br BRA,DF,Sevilla,es La Liga,20,1997,2.1,2,0.94,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
