Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
265,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Schalke 04,de Bundesliga,22,1994,11.2,656,23,137,469,81,8,642,3,7,42.9,4,1,414,1766,726,26,10,1,10,10,408,392,96.1,15
266,Rodrigo Bentancur\Rodrigo-Bentancur,uy URU,MF,Juventus,it Serie A,20,1997,6.5,609,15,130,415,114,4,599,8,16,50.0,8,0,451,2406,1354,58,12,2,1,5,471,456,96.8,16
267,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,eng Premier League,26,1990,24.9,941,47,86,427,473,134,913,21,35,60.0,23,0,408,1519,602,31,8,7,69,40,1187,703,59.2,247
268,Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,es La Liga,29,1987,23.9,1070,23,61,439,633,175,1040,33,45,73.3,36,1,914,4010,1980,130,37,39,36,28,1186,872,73.5,256
269,Yassine Benzia\Yassine-Benzia,dz ALG,MFFW,Lille,fr Ligue 1,22,1994,25.4,1692,20,212,970,649,42,1594,57,74,77.0,59,1,1326,7649,3594,168,72,7,42,41,1376,1236,89.8,159
270,Saido Berahino\Saido-Berahino,bi BDI,FW,Stoke City,eng Premier League,23,1993,5.5,145,2,7,49,99,24,141,3,4,75.0,4,0,101,589,180,12,5,4,13,11,198,99,50.0,42
271,Domenico Berardi\Domenico-Berardi,it ITA,FW,Sassuolo,it Serie A,22,1994,25.5,1311,20,133,492,780,99,1217,37,60,61.7,42,4,961,4870,2452,116,43,11,53,50,1239,915,73.8,300
272,Yuri Berchiche\Yuri-Berchiche,es ESP,DF,Paris S-G,fr Ligue 1,27,1990,19.1,1307,46,319,635,434,49,1223,12,18,66.7,13,0,885,3980,2165,101,34,14,14,8,948,870,91.8,70
273,Álex Berenguer\Alex-Berenguer,es ESP,FW,Torino,it Serie A,22,1995,11.6,660,15,100,277,340,46,610,35,58,60.3,36,2,486,2678,1525,67,23,11,38,41,550,447,81.3,105
274,Bartosz Bereszyński\Bartosz-Bereszynski,pl POL,DF,Sampdoria,it Serie A,25,1992,27.6,1853,94,537,1001,434,8,1575,24,37,64.9,24,0,1115,5241,2704,130,43,4,14,19,1111,1052,94.7,24
275,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MFFW,Burnley,eng Premier League,26,1990,31.5,1364,39,220,510,747,65,1206,28,51,54.9,31,0,859,5719,2790,160,56,14,48,51,956,775,81.1,172
276,Markel Bergara\Markel-Bergara,es ESP,MF,Getafe,es La Liga,31,1986,16.2,516,25,119,309,107,26,504,3,5,60.0,3,0,260,1069,457,12,4,0,12,10,285,232,81.4,31
277,Emil Berggreen\Emil-Berggreen,dk DEN,FW,Mainz 05,de Bundesliga,24,1993,7.4,252,10,17,118,125,36,248,2,2,100.0,2,0,128,406,103,9,3,1,31,13,342,195,57.0,84
278,Robert Berić\Robert-Beric,si SVN,FW,Saint-Étienne,fr Ligue 1,26,1991,11.6,282,5,19,134,141,40,260,2,4,50.0,3,0,172,826,422,19,4,9,19,11,390,185,47.4,79
279,Kévin Bérigaud\Kevin-Berigaud,fr FRA,MFFW,Montpellier,fr Ligue 1,29,1988,3.0,98,1,5,53,49,9,97,1,5,20.0,1,0,57,337,207,12,6,1,8,2,127,80,63.0,29
280,Etrit Berisha\Etrit-Berisha,al ALB,GK,Atalanta,it Serie A,28,1989,31.0,871,773,865,6,0,0,591,0,0,,0,0,400,1898,1025,1,0,0,1,0,288,288,100.0,0
281,Federico Bernardeschi\Federico-Bernardeschi,it ITA,FWMF,Juventus,it Serie A,23,1994,9.4,532,19,81,229,265,36,526,23,33,69.7,26,0,438,2580,1085,62,18,7,18,26,467,397,85.0,67
282,Bernardo\Bernardo,br BRA,DF,RB Leipzig,de Bundesliga,22,1995,15.0,1114,68,323,641,215,14,948,13,21,61.9,13,0,602,3039,1627,85,28,2,14,19,621,572,92.1,41
