Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
13,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,eng Premier League,31,1985,4.6,169,281,60.1,4382,1565,31,45,68.9,81,97,83.5,57,130,43.8,0,1.3,-1.3,7,28,7,4,27
14,Antonio Adán\Antonio-Adan,es ESP,GK,Betis,es La Liga,30,1987,30.0,714,1035,69.0,21475,13429,86,86,100.0,371,380,97.6,256,566,45.2,0,0.4,-0.4,2,12,1,0,0
15,Aday\Aday,es ESP,DFMF,Girona,es La Liga,29,1987,20.4,695,1006,69.1,13470,4438,276,344,80.2,322,431,74.7,94,205,45.9,0,1.8,-1.8,23,41,29,19,66
16,Khaled Adénon\Khaled-Adenon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,32.5,958,1168,82.0,21066,7904,254,295,86.1,503,565,89.0,189,278,68.0,1,0.3,+0.7,3,39,1,0,44
17,Claud Adjapong\Claud-Adjapong,it ITA,DFMF,Sassuolo,it Serie A,19,1998,13.6,360,514,70.0,5818,2379,194,225,86.2,134,197,68.0,27,70,38.6,0,0.7,-0.7,9,25,6,2,32
18,René Adler\Rene-Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14.0,241,386,62.4,8770,5681,20,22,90.9,97,102,95.1,124,262,47.3,0,0.4,-0.4,1,8,0,0,0
19,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,DFMF,Udinese,it Serie A,23,1993,18.6,588,902,65.2,10954,5194,258,315,81.9,236,348,67.8,84,202,41.6,1,1.7,-0.7,21,37,18,11,68
20,Adrián\Adrian,es ESP,GK,West Ham,eng Premier League,30,1987,19.0,187,430,43.5,8869,6770,9,9,100.0,41,44,93.2,137,377,36.3,0,0.0,0.0,0,14,0,0,0
21,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,36,1981,23.9,329,509,64.6,4876,1115,204,289,70.6,101,160,63.1,18,38,47.4,3,1.1,+1.9,11,36,10,0,32
22,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,eng Premier League,31,1986,1.8,70,81,86.4,1374,220,28,33,84.8,30,34,88.2,12,14,85.7,0,0.0,0.0,0,7,0,0,4
23,Benik Afobe\Benik-Afobe,cd COD,FWMF,Bournemouth,eng Premier League,24,1993,6.8,106,145,73.1,1270,143,75,100,75.0,23,29,79.3,3,4,75.0,0,0.1,-0.1,2,7,3,0,6
24,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,21,1996,20.3,598,873,68.5,10555,5335,283,359,78.8,249,344,72.4,62,134,46.3,4,1.2,+2.8,11,49,11,7,66
25,Imanol Agirretxe\Imanol-Agirretxe,es ESP,FW,Real Sociedad,es La Liga,30,1987,2.6,36,56,64.3,542,95,18,26,69.2,16,24,66.7,1,3,33.3,0,0.1,-0.1,1,1,0,0,3
26,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,29,1988,21.8,530,647,81.9,6771,1148,352,396,88.9,143,179,79.9,11,16,68.8,6,5.9,+0.1,37,20,27,1,43
27,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFMF,Montpellier,fr Ligue 1,24,1993,27.3,1114,1478,75.4,18488,8970,558,631,88.4,428,564,75.9,99,215,46.0,3,2.6,+0.4,31,90,30,20,125
28,Matías Aguirregaray\Matias-Aguirregaray,uy URU,DF,Las Palmas,es La Liga,28,1989,12.8,489,668,73.2,8715,3823,228,258,88.4,203,276,73.6,54,120,45.0,0,0.6,-0.6,7,39,18,5,54
29,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,23,1994,33.4,1147,1346,85.2,22056,4826,440,498,88.4,500,552,90.6,178,239,74.5,0,0.6,-0.6,11,97,9,0,91
30,Ailton\Ailton,br BRA,DFFW,Stuttgart,de Bundesliga,22,1995,1.2,45,62,72.6,884,297,20,26,76.9,16,18,88.9,8,15,53.3,0,0.2,-0.2,2,3,2,2,3
31,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Caen,fr Ligue 1,21,1996,22.8,938,1145,81.9,20285,5737,303,337,89.9,420,491,85.5,198,279,71.0,0,1.1,-1.1,16,135,6,1,129
32,Arlind Ajeti\Arlind-Ajeti,al ALB,DFMF,Crotone,it Serie A,23,1993,14.1,286,365,78.4,6321,2365,75,90,83.3,152,178,85.4,56,87,64.4,1,1.1,-0.1,5,19,2,0,26
33,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,22,1995,10.0,521,604,86.3,11385,3396,141,161,87.6,290,314,92.4,88,122,72.1,0,0.1,-0.1,1,39,3,0,39
34,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,22,1995,37.3,1325,1615,82.0,27857,10035,390,447,87.2,698,816,85.5,226,320,70.6,3,1.8,+1.2,7,79,3,0,73
35,Ager Aketxe\Ager-Aketxe,es ESP,MF,Athletic Club,es La Liga,23,1993,0.5,32,41,78.0,490,90,21,22,95.5,8,9,88.9,3,9,33.3,0,0.0,0.0,0,5,0,0,2
36,Chadrac Akolo\Chadrac-Akolo,cd COD,FWMF,Stuttgart,de Bundesliga,22,1995,12.2,242,316,76.6,3879,930,122,148,82.4,97,122,79.5,20,38,52.6,0,1.7,-1.7,13,13,13,7,27
37,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,22,1995,18.8,866,1010,85.7,16641,5402,296,323,91.6,467,495,94.3,97,173,56.1,1,1.5,-0.5,7,72,4,0,67
38,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,25,1992,17.2,1120,1320,84.8,18467,5870,574,631,91.0,459,522,87.9,73,124,58.9,2,2.2,-0.2,20,73,25,13,75
39,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,24,1992,17.2,302,400,75.5,3999,726,185,230,80.4,84,112,75.0,13,21,61.9,4,1.7,+2.3,11,19,6,0,25
40,David Alba\David-Alba,es ESP,DF,Getafe,es La Liga,18,1999,0.7,6,11,54.5,171,97,0,3,0.0,3,5,60.0,3,3,100.0,0,0.0,0.0,0,1,0,0,2
41,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,28,1989,30.5,1985,2323,85.4,31666,10815,1041,1132,92.0,805,934,86.2,113,183,61.7,6,4.1,+1.9,38,106,40,10,160
42,Raúl Albentosa\Raul-Albentosa,es ESP,DF,La Coruña,es La Liga,28,1988,19.4,600,782,76.7,14853,5216,109,138,79.0,318,373,85.3,171,260,65.8,0,0.1,-0.1,3,34,3,0,33
43,Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,it Serie A,24,1992,29.7,1339,1824,73.4,25102,9173,592,697,84.9,517,636,81.3,203,421,48.2,14,10.1,+3.9,91,184,79,4,242
44,Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,it Serie A,31,1985,30.5,2223,2510,88.6,51015,16364,631,684,92.3,978,1075,91.0,576,696,82.8,1,1.2,-0.2,7,221,3,0,171
45,Miiko Albornoz\Miiko-Albornoz,cl CHI,DF,Hannover 96,de Bundesliga,26,1990,7.8,324,423,76.6,5925,2939,143,158,90.5,124,154,80.5,48,90,53.3,0,1.2,-1.2,7,18,11,6,28
46,Marc Albrighton\Marc-Albrighton,eng ENG,MFFW,Leicester City,eng Premier League,27,1989,28.2,747,1260,59.3,15729,6874,287,361,79.5,288,412,69.9,156,411,38.0,7,4.7,+2.3,42,105,38,16,103
47,Paco Alcácer\Paco-Alcacer,es ESP,FWMF,Barcelona,es La Liga,23,1993,7.8,193,236,81.8,2770,580,111,128,86.7,65,80,81.3,10,16,62.5,2,2.3,-0.3,10,4,9,2,16
48,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Girona,es La Liga,28,1989,7.6,208,307,67.8,5175,1606,42,57,73.7,111,135,82.2,54,112,48.2,0,0.2,-0.2,1,23,1,0,16
49,Thiago Alcántara\Thiago-Alcantara,es ESP,MFFW,Bayern Munich,de Bundesliga,26,1991,13.9,1190,1309,90.9,23716,5730,497,532,93.4,479,514,93.2,200,241,83.0,2,2.4,-0.4,29,145,18,0,117
50,David Alcibiade\David-Alcibiade,fr FRA,DF,Nantes,fr Ligue 1,25,1991,2.3,69,94,73.4,1326,645,28,30,93.3,27,34,79.4,12,28,42.9,0,0.2,-0.2,2,5,2,1,9
51,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,28,1989,13.1,782,923,84.7,19397,6422,169,183,92.3,402,432,93.1,207,298,69.5,0,0.3,-0.3,3,112,8,2,69
52,Steve Aldo One\Steve-Aldo-One,cm CMR,DF,La Coruña,es La Liga,22,1995,1.0,18,22,81.8,385,193,5,6,83.3,9,11,81.8,4,5,80.0,0,0.0,0.0,0,0,0,0,0
53,Álex Alegría\Alex-Alegria,es ESP,FW,Levante,es La Liga,24,1992,6.9,110,154,71.4,1338,171,77,100,77.0,26,39,66.7,1,6,16.7,1,0.2,+0.8,3,6,2,0,4
54,Iván Alejo\Ivan-Alejo,es ESP,FWMF,Eibar,es La Liga,22,1995,12.5,188,354,53.1,3253,1085,94,152,61.8,71,119,59.7,19,63,30.2,3,1.5,+1.5,19,13,26,16,21
55,Alexander\Alexander,ar ARG,FWMF,Leganés,es La Liga,28,1988,11.7,220,326,67.5,3153,992,135,171,78.9,65,95,68.4,11,39,28.2,2,2.3,-0.3,13,11,11,7,19
56,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,18,1998,17.5,917,1257,73.0,18108,6493,359,404,88.9,408,514,79.4,138,284,48.6,1,2.1,-1.1,25,66,29,8,103
57,Alexis\Alexis,es ESP,DF,Alavés,es La Liga,31,1985,24.3,523,731,71.5,11153,5251,179,204,87.7,239,336,71.1,102,182,56.0,0,0.1,-0.1,3,28,4,0,33
58,Alisson\Alisson,br BRA,GK,Roma,it Serie A,24,1992,37.0,959,1175,81.6,30238,18872,98,98,100.0,436,444,98.2,423,631,67.0,0,0.0,0.0,1,12,0,0,0
59,Allan\Allan,br BRA,MF,Napoli,it Serie A,26,1991,31.7,1558,1821,85.6,24416,6223,893,990,90.2,522,602,86.7,123,178,69.1,5,4.3,+0.7,32,182,51,2,170
60,Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,eng Premier League,27,1990,34.9,1080,1365,79.1,19116,5473,479,563,85.1,465,558,83.3,116,185,62.7,6,2.6,+3.4,32,106,28,4,119
61,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,21,1996,32.9,972,1256,77.4,15636,4239,490,583,84.0,359,432,83.1,81,138,58.7,10,7.9,+2.1,60,87,54,2,135
62,José Alonso Lara\Jose-Alonso-Lara,es ESP,FW,Sevilla,es La Liga,17,2000,0.1,3,4,75.0,45,11,2,2,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
63,Júnior Alonso\Junior-Alonso,py PAR,DF,Lille,fr Ligue 1,24,1993,30.9,1495,1875,79.7,34187,14235,366,425,86.1,797,904,88.2,324,515,62.9,0,0.5,-0.5,9,101,6,2,100
64,Marcos Alonso\Marcos-Alonso,es ESP,DFMF,Chelsea,eng Premier League,26,1990,31.7,1277,1646,77.6,22912,7255,563,654,86.1,548,658,83.3,142,248,57.3,2,2.3,-0.3,31,53,30,13,118
65,Ricky Álvarez\Ricky-Alvarez,ar ARG,MFFW,Sampdoria,it Serie A,29,1988,3.0,131,174,75.3,2034,552,79,95,83.2,34,46,73.9,13,26,50.0,1,0.3,+0.7,5,10,6,3,9
66,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,30,1986,16.4,342,518,66.0,10945,7218,37,39,94.9,188,192,97.9,115,285,40.4,0,0.1,-0.1,1,5,0,0,0
67,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,22,1995,7.5,359,437,82.2,8368,2911,82,98,83.7,185,209,88.5,89,125,71.2,0,0.0,0.0,1,37,1,0,30
68,Dani Alves\Dani-Alves,br BRA,DF,Paris S-G,fr Ligue 1,34,1983,22.9,1686,1987,84.9,27933,11149,919,997,92.2,530,618,85.8,186,284,65.5,4,5.6,-1.6,48,139,63,20,176
69,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MFDF,Lille,fr Ligue 1,24,1993,26.7,1339,1539,87.0,29082,8432,372,417,89.2,699,749,93.3,251,342,73.4,0,0.5,-0.5,11,118,3,1,104
70,Eloi Amagat\Eloi-Amagat,es ESP,FWMF,Girona,es La Liga,32,1985,0.2,7,8,87.5,137,61,3,3,100.0,3,4,75.0,1,1,100.0,0,0.0,0.0,0,2,0,0,1
71,Morgan Amalfitano\Morgan-Amalfitano,fr FRA,MF,Rennes,fr Ligue 1,32,1985,8.3,207,260,79.6,3038,894,116,128,90.6,72,84,85.7,11,34,32.4,0,0.5,-0.5,5,16,5,0,22
72,Romain Amalfitano\Romain-Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,27,1989,30.0,1129,1400,80.6,24954,6440,346,403,85.9,545,604,90.2,222,345,64.3,1,2.0,-1.0,26,138,25,5,121
73,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,22,1994,5.4,225,291,77.3,4348,1844,88,98,89.8,102,125,81.6,32,61,52.5,0,0.0,0.0,0,20,0,0,25
74,Jordi Amat\Jordi-Amat,es ESP,DFMF,Betis,es La Liga,25,1992,22.7,1404,1572,89.3,29632,7563,378,417,90.6,813,871,93.3,210,265,79.2,0,0.1,-0.1,5,81,3,0,70
75,Amath\Amath,sn SEN,MFFW,Getafe,es La Liga,21,1996,31.5,402,617,65.2,6528,2067,207,290,71.4,148,209,70.8,37,78,47.4,0,2.0,-2.0,22,41,19,5,61
76,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,23,1994,24.4,1050,1324,79.3,19323,6392,432,493,87.6,480,569,84.4,124,215,57.7,3,1.4,+1.6,19,65,21,13,72
77,Stephan Ambrosius\Stephan-Ambrosius,de GER,DF,Hamburger SV,de Bundesliga,18,1998,0.5,30,33,90.9,654,116,6,6,100.0,20,20,100.0,4,7,57.1,0,0.0,0.0,0,0,0,0,0
78,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,19,1998,35.0,962,1252,76.8,17603,7531,410,470,87.2,414,506,81.8,113,210,53.8,1,1.0,0.0,11,80,18,10,74
79,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,20,1996,19.4,676,875,77.3,12100,3339,307,365,84.1,270,325,83.1,85,146,58.2,3,3.1,-0.1,30,66,29,3,101
80,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,Chelsea,eng Premier League,16,2000,0.1,19,19,100.0,432,94,6,6,100.0,10,10,100.0,3,3,100.0,0,0.0,0.0,0,1,0,0,2
81,Nordin Amrabat\Nordin-Amrabat,ma MAR,FW,Watford,eng Premier League,30,1987,2.2,45,78,57.7,718,219,28,36,77.8,13,26,50.0,4,11,36.4,0,0.1,-0.1,2,5,3,2,7
82,Nordin Amrabat\Nordin-Amrabat,ma MAR,FWMF,Leganés,es La Liga,30,1987,18.0,308,485,63.5,4915,1128,170,225,75.6,113,176,64.2,21,61,34.4,1,3.1,-2.1,21,19,21,8,34
83,Jon Ander Serantes\Jon-Ander-Serantes,es ESP,GK,Leganés,es La Liga,27,1989,1.0,8,27,29.6,393,338,1,1,100.0,1,1,100.0,6,25,24.0,0,0.0,0.0,0,1,0,0,0
84,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Sampdoria,it Serie A,21,1996,6.1,369,420,87.9,7876,2083,106,111,95.5,198,210,94.3,63,91,69.2,0,0.0,0.0,1,19,1,0,24
85,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,Lazio,it Serie A,24,1993,12.9,504,709,71.1,8701,2919,234,292,80.1,203,261,77.8,49,107,45.8,6,4.0,+2.0,36,39,43,7,79
86,Florin Andone\Florin-Andone,ro ROU,FW,La Coruña,es La Liga,24,1993,18.2,182,295,61.7,2491,297,112,153,73.2,64,99,64.6,1,18,5.6,3,1.0,+2.0,9,6,7,3,9
87,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Hellas Verona,it Serie A,29,1988,36.0,796,1357,58.7,32125,21016,55,57,96.5,257,266,96.6,483,1030,46.9,0,0.0,0.0,0,9,0,0,1
88,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,fr Ligue 1,26,1990,33.5,1453,1866,77.9,24773,5877,702,850,82.6,569,694,82.0,136,225,60.4,2,1.7,+0.3,28,150,23,5,148
89,Marco Andreolli\Marco-Andreolli,it ITA,DF,Cagliari,it Serie A,31,1986,20.3,681,847,80.4,15703,5003,151,169,89.3,385,426,90.4,137,237,57.8,0,0.0,0.0,1,38,4,0,36
90,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,fr Ligue 1,28,1989,23.0,910,1176,77.4,15622,7141,429,480,89.4,375,458,81.9,84,189,44.4,2,1.8,+0.2,19,67,19,15,94
91,Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,Leganés,es La Liga,27,1990,16.1,274,356,77.0,3920,540,166,203,81.8,91,124,73.4,12,16,75.0,3,1.7,+1.3,14,12,4,0,11
92,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,33,1984,8.5,204,272,75.0,7021,3967,11,12,91.7,94,95,98.9,98,164,59.8,0,0.0,0.0,0,3,0,0,0
93,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Getafe,es La Liga,19,1998,0.3,3,7,42.9,40,39,2,3,66.7,1,3,33.3,0,1,0.0,0,0.0,0.0,0,0,0,0,1
94,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,27,1989,26.9,987,1634,60.4,23043,10392,280,387,72.4,452,627,72.1,246,572,43.0,7,3.3,+3.7,45,104,38,25,118
95,Gabriele Angella\Gabriele-Angella,it ITA,DF,Udinese,it Serie A,28,1989,9.9,408,494,82.6,9984,3434,77,96,80.2,224,249,90.0,104,144,72.2,0,0.0,0.0,2,24,2,0,33
96,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,30,1986,20.8,695,972,71.5,14251,5247,277,319,86.8,290,378,76.7,118,243,48.6,3,3.2,-0.2,19,51,28,15,79
97,Luca Antei\Luca-Antei,it ITA,DF,Benevento,it Serie A,25,1992,6.6,315,371,84.9,6951,2289,64,69,92.8,191,203,94.1,55,91,60.4,0,0.0,0.0,0,20,0,0,22
98,Mirco Antenucci\Mirco-Antenucci,it ITA,FW,SPAL,it Serie A,32,1984,28.6,475,647,73.4,6950,1042,281,350,80.3,145,206,70.4,30,47,63.8,4,2.1,+1.9,30,26,14,6,28
99,Waldemar Anton\Waldemar-Anton,de GER,DFMF,Hannover 96,de Bundesliga,21,1996,25.3,961,1190,80.8,20564,5993,278,335,83.0,504,578,87.2,171,250,68.4,0,0.0,0.0,2,67,3,2,84
100,Luca Antonelli\Luca-Antonelli,it ITA,DFMF,Milan,it Serie A,30,1987,1.6,79,95,83.2,1165,412,47,52,90.4,30,34,88.2,2,8,25.0,0,0.0,0.0,1,7,1,0,7
101,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,eng Premier League,27,1990,15.0,286,481,59.5,5056,1586,157,210,74.8,81,137,59.1,40,106,37.7,1,0.6,+0.4,12,26,13,7,26
102,Mirko Antonucci\Mirko-Antonucci,it ITA,FW,Roma,it Serie A,18,1999,0.3,11,15,73.3,192,41,5,6,83.3,4,5,80.0,1,3,33.3,1,0.2,+0.8,2,0,1,1,1
103,Vitorino Antunes\Vitorino-Antunes,pt POR,DF,Getafe,es La Liga,30,1987,31.1,832,1328,62.7,16638,9040,330,397,83.1,348,501,69.5,141,391,36.1,2,1.9,+0.1,25,88,37,14,106
104,Dennis Aogo\Dennis-Aogo,de GER,MFDF,Stuttgart,de Bundesliga,30,1987,21.7,964,1192,80.9,19547,4760,367,410,89.5,406,461,88.1,182,297,61.3,6,1.7,+4.3,24,49,14,2,74
105,Houssem Aouar\Houssem-Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,19,1998,27.0,1312,1538,85.3,22771,5695,567,626,90.6,556,637,87.3,143,192,74.5,4,3.9,+0.1,35,138,20,1,138
106,Alberto Aquilani\Alberto-Aquilani,it ITA,MF,Las Palmas,es La Liga,33,1984,14.4,826,992,83.3,16796,3967,337,390,86.4,332,378,87.8,149,208,71.6,0,0.7,-0.7,10,78,8,0,64
107,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,21,1995,23.6,452,658,68.7,10622,2530,127,178,71.3,201,265,75.8,119,200,59.5,2,1.1,+0.9,7,57,4,1,50
108,Guilherme Arana\Guilherme-Arana,br BRA,DF,Sevilla,es La Liga,20,1997,2.1,107,130,82.3,1712,625,50,54,92.6,49,57,86.0,5,13,38.5,0,0.1,-0.1,1,3,1,1,2
109,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,28,1989,25.6,1485,1731,85.8,29192,8591,588,651,90.3,670,745,89.9,215,304,70.7,3,1.7,+1.3,23,165,25,2,197
110,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,fr Ligue 1,21,1996,22.4,533,757,70.4,10652,2688,218,284,76.8,214,286,74.8,91,148,61.5,2,2.3,-0.3,26,43,30,12,60
111,Sergio Araujo\Sergio-Araujo,ar ARG,FWMF,Las Palmas,es La Liga,25,1992,0.4,20,22,90.9,334,62,7,7,100.0,12,12,100.0,1,2,50.0,0,0.0,0.0,0,3,0,0,3
112,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,30,1987,26.8,1234,1583,78.0,31812,10975,283,337,84.0,557,655,85.0,380,558,68.1,1,0.5,+0.5,10,145,9,2,143
113,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,24,1993,34.0,524,584,89.7,11967,6058,118,120,98.3,308,311,99.0,94,148,63.5,0,0.0,0.0,0,1,0,0,0
114,Scott Arfield\Scott-Arfield,ca CAN,FWMF,Burnley,eng Premier League,28,1988,14.8,267,382,69.9,4126,1055,140,182,76.9,105,144,72.9,14,36,38.9,1,0.5,+0.5,7,24,7,1,32
115,Samuel Armenteros\Samuel-Armenteros,se SWE,FW,Benevento,it Serie A,27,1990,4.8,66,84,78.6,912,128,43,53,81.1,19,26,73.1,3,4,75.0,0,0.0,0.0,1,2,1,0,4
116,Yoël Armougom\Yoel-Armougom,fr FRA,MFDF,Caen,fr Ligue 1,19,1998,1.5,48,81,59.3,780,428,24,36,66.7,21,30,70.0,3,10,30.0,0,0.0,0.0,1,2,3,1,6
117,José Arnaiz\Jose-Arnaiz,es ESP,MF,Barcelona,es La Liga,22,1995,0.1,3,4,75.0,54,0,1,1,100.0,2,3,66.7,0,0,,0,0.0,0.0,0,0,0,0,0
118,Marko Arnautović\Marko-Arnautovic,at AUT,FWMF,West Ham,eng Premier League,28,1989,25.7,507,751,67.5,7316,1662,296,370,80.0,149,238,62.6,37,76,48.7,6,4.4,+1.6,33,21,19,7,36
119,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,23,1994,27.3,1121,1425,78.7,23646,6440,386,429,90.0,497,584,85.1,229,383,59.8,0,3.8,-3.8,37,106,21,6,116
120,Jann-Fiete Arp\Jann-Fiete-Arp,de GER,FW,Hamburger SV,de Bundesliga,17,2000,9.4,91,154,59.1,1504,198,51,76,67.1,28,43,65.1,9,16,56.3,0,0.7,-0.7,3,3,2,0,6
121,Alejandro Arribas\Alejandro-Arribas,es ESP,DF,La Coruña,es La Liga,28,1989,3.0,96,120,80.0,2145,586,25,27,92.6,48,53,90.6,22,39,56.4,0,0.0,0.0,0,3,0,0,4
122,Sergio Arribas\Sergio-Arribas,es ESP,FW,Leganés,es La Liga,22,1995,0.3,,,,,,,,,,,,,,,0,,,,,,,
123,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Athletic Club,es La Liga,22,1994,30.0,545,862,63.2,23152,17448,30,32,93.8,174,176,98.9,341,653,52.2,0,0.0,0.0,0,28,0,0,0
124,Harry Arter\Harry-Arter,ie IRL,MF,Bournemouth,eng Premier League,27,1989,10.7,486,567,85.7,9467,2229,186,202,92.1,218,240,90.8,75,112,67.0,0,0.2,-0.2,2,52,4,1,46
