Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,CrdY,CrdR,2CrdY,FlsCom,FlsRec,Off,Crs,Int,TklW,PKRec,PKCom,OG,Recov,AWon,ALost,AWon%
1443,Mathew Leckie,AUS,FW,Hertha BSC,Bundesliga,29,1991,5.6,0,0,0,11,4,2,6,11,9,0,0,0,49,18,21,46.2
1444,Benjamin Lecomte,FRA,GK,AS Monaco,Ligue 1,29,1991,28.0,1,0,0,1,3,0,0,0,0,0,1,0,155,0,0,
1445,Jeremías Ledesma,ARG,GK,Cádiz CF,La Liga,27,1993,32.0,0,0,0,1,4,0,0,0,0,0,1,0,172,0,0,
1446,Pierre Lees Melou,FRA,MF,OGC Nice,Ligue 1,27,1993,22.9,3,1,0,37,24,1,16,32,47,0,0,0,187,17,25,40.5
1447,Lucas Leiva,BRA,MF,SS Lazio,Serie A,33,1987,23.7,10,0,0,47,25,1,7,45,45,0,0,0,320,53,44,54.6
1448,Florian Lejeune,FRA,DF,Deportivo Alavés,La Liga,29,1991,33.5,10,0,0,33,17,2,5,58,29,0,1,0,304,106,51,67.5
1449,Iñigo Lekue,ESP,DF,Athletic Bilbao,La Liga,27,1993,7.2,1,0,0,17,3,2,22,6,8,0,0,0,68,3,9,25.0
1450,Thomas Lemar,FRA,MF,Atlético de Madrid,La Liga,24,1995,15.2,4,0,0,15,23,0,28,12,19,1,0,0,111,7,10,41.2
1451,Mario Lemina,GAB,MF,Fulham FC,Premier League,26,1993,18.9,5,0,0,32,15,0,5,43,36,1,0,0,191,19,27,41.3
1452,Fabien Lemoine,FRA,MF,FC Lorient,Ligue 1,33,1987,21.5,8,0,0,59,23,0,13,30,44,0,2,0,259,30,27,52.6
1453,Clément Lenglet,FRA,DF,FC Barcelona,La Liga,25,1995,27.5,11,2,2,50,33,6,6,35,25,0,2,1,254,65,42,60.7
1454,Bernd Leno,DEU,GK,Arsenal FC,Premier League,28,1992,34.8,0,1,0,2,4,0,0,0,0,0,0,1,149,0,0,
1455,Christopher Lenz,DEU,DF,1.FC Union Berlin,Bundesliga,25,1994,25.0,3,0,0,27,19,2,72,33,40,0,0,0,262,40,35,53.3
1456,Pedro León,ESP,MF,SD Eibar,La Liga,33,1986,10.4,2,0,0,10,10,4,41,5,7,0,0,0,68,19,16,54.3
1457,Sergio León,ESP,FW,Levante UD,La Liga,31,1989,8.3,0,0,0,14,6,5,4,4,3,0,0,0,41,11,33,25.0
1458,Lukas Lerager,DNK,MF,Genoa CFC,Serie A,27,1993,12.9,0,0,0,16,16,3,2,13,20,0,0,0,136,10,14,41.7
1459,Mehdi Léris,FRA,DF,UC Sampdoria,Serie A,22,1998,4.3,1,0,0,13,3,0,11,12,9,0,0,0,47,9,9,50.0
1460,Thakgalo Leshabela,ZAF,MF,Leicester City,Premier League,20,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
1461,Karlo Letica,HRV,GK,UC Sampdoria,Serie A,23,1997,1.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
1462,Gaetano Letizia,ITA,DF,Benevento Calcio,Serie A,30,1990,17.4,2,0,0,15,21,0,61,22,27,0,0,0,155,12,7,63.2
1463,Robert Lewandowski,POL,FW,Bayern Munich,Bundesliga,31,1988,27.3,4,0,0,41,29,21,22,7,13,2,0,0,116,54,57,48.6
1464,Jamal Lewis,NIR,DF,Newcastle United,Premier League,22,1998,20.4,4,0,0,18,18,1,32,20,26,0,1,0,153,14,18,43.8
1465,Aaron Leya Iseka,BEL,FW,FC Metz,Ligue 1,22,1997,11.2,4,0,0,26,12,2,4,2,5,0,0,0,31,27,47,36.5
1466,Yanis Lhéry,FRA,MF,AS Saint-Étienne,Ligue 1,17,2003,0.3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,66.7
1467,Dimitri Liénard,FRA,MF,RC Strasbourg Alsace,Ligue 1,32,1988,20.3,2,0,0,19,14,0,69,28,31,0,0,0,180,15,30,33.3
1468,Philipp Lienhart,AUT,DF,SC Freiburg,Bundesliga,24,1996,33.3,4,0,0,16,35,3,1,44,15,0,0,0,292,68,48,58.6
1469,Matthijs de Ligt,NLD,DF,Juventus FC,Serie A,20,1999,24.7,4,0,0,40,23,1,5,28,19,0,0,0,218,65,30,68.4
1470,Isaac Lihadji,FRA,MF,LOSC Lille,Ligue 1,18,2002,2.2,0,0,0,3,1,1,5,0,6,0,0,0,23,4,6,40.0
