Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,TklPl,TklW,TkDef3rd,TkMid3rd,TkAtt3rd,TklDr,TklDrAtt,TklDr%,DrPast,PressAtt,PressSucc,Press%,PressDef3rd,PressMid3rd,PressAtt3rd,Blocks,BlocksSh,BlocksSoT,BlocksPass,Int,Tkl+Int,Clr,ErrSh
14,Gennaro Acampora,ITA,MF,Spezia Calcio,Serie A,26,1994,4.9,11,7,1,7,3,5,7,71.4,2,88,22,25.0,8,57,23,6,1,0,5,4,15,3,0
15,Francesco Acerbi,ITA,DF,SS Lazio,Serie A,32,1988,31.3,55,38,36,16,3,11,37,29.7,26,350,146,41.7,201,119,30,51,19,0,32,62,117,155,1
16,Ragnar Ache,DEU,FW,Eintracht Frankfurt,Bundesliga,22,1998,1.1,1,0,0,0,1,0,3,0.0,3,29,5,17.2,1,18,10,2,0,0,2,0,1,1,0
17,Marcos Acuña,ARG,DF,Sevilla FC,La Liga,28,1991,25.9,72,47,39,23,10,23,39,59.0,16,345,117,33.9,153,132,60,39,3,0,36,25,97,34,0
18,Ché Adams,SCO,FW,Southampton FC,Premier League,24,1996,29.6,30,17,5,13,12,6,23,26.1,17,430,138,32.1,48,162,220,26,4,0,22,11,41,16,1
19,Tyler Adams,USA,DF,RB Leipzig,Bundesliga,21,1999,20.6,52,31,19,26,7,15,36,41.7,21,362,118,32.6,94,202,66,37,6,0,31,31,83,40,0
20,Sargis Adamyan,ARM,FW,TSG 1899 Hoffenheim,Bundesliga,27,1993,5.3,8,5,3,3,2,3,11,27.3,8,81,15,18.5,16,33,32,5,0,0,5,7,15,1,0
21,Tosin Adarabioyo,ENG,DF,Fulham FC,Premier League,22,1997,32.8,41,26,31,9,1,20,38,52.6,18,182,59,32.4,115,60,7,38,23,0,15,55,96,241,1
22,Bobby Adekanye,NLD,FW,Cádiz CF,La Liga,21,1999,0.4,0,0,0,0,0,0,1,0.0,1,5,1,20.0,1,0,4,1,0,0,1,0,0,0,0
23,Yacine Adli,FRA,MF,FC Girondins Bordeaux,Ligue 1,20,2000,26.9,91,62,39,40,12,28,86,32.6,58,695,186,26.8,210,358,127,36,4,0,32,41,132,24,2
24,Andrea Adorante,ITA,FW,Parma Calcio 1913,Serie A,20,2000,0.1,0,0,0,0,0,0,0,,0,3,1,33.3,0,1,2,0,0,0,0,0,0,0,0
25,Adrián,ESP,GK,Liverpool FC,Premier League,33,1987,3.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1
26,Martín Aguirregabiria,ESP,DF,Deportivo Alavés,La Liga,24,1996,17.3,34,16,18,10,6,13,28,46.4,15,187,58,31.0,73,90,24,25,4,1,21,34,68,48,1
27,Lucien Agoume,FRA,MF,Spezia Calcio,Serie A,18,2002,8.9,14,11,9,5,0,2,13,15.4,11,151,43,28.5,51,86,14,18,4,0,14,20,34,14,1
28,Felix Agu,DEU,DF,SV Werder Bremen,Bundesliga,20,1999,7.8,27,16,12,11,4,13,24,54.2,11,180,48,26.7,86,63,31,16,3,0,13,21,48,23,0
29,Kevin Agudelo,COL,FW,Spezia Calcio,Serie A,21,1998,15.1,50,30,12,25,13,10,35,28.6,25,356,100,28.1,64,150,142,30,0,0,30,5,55,7,0
30,Nayef Aguerd,MAR,DF,Stade Rennais FC,Ligue 1,24,1996,35.0,55,37,41,14,0,19,36,52.8,17,270,105,38.9,159,101,10,43,24,0,19,39,94,181,1
31,Sergio Agüero,ARG,FW,Manchester City,Premier League,32,1988,6.2,3,0,0,1,2,2,11,18.2,9,90,25,27.8,8,31,51,5,1,0,4,4,7,1,0
32,Ruben Aguilar,FRA,DF,AS Monaco,Ligue 1,27,1993,24.7,84,48,39,29,16,33,58,56.9,25,413,147,35.6,149,168,96,38,2,0,36,37,121,54,1
33,Naouirou Ahamada,FRA,MF,VfB Stuttgart,Bundesliga,18,2002,2.8,2,1,1,1,0,2,3,66.7,1,41,12,29.3,15,25,1,5,0,0,5,4,6,1,0
34,Mattéo Ahlinvi,BEN,MF,Nîmes Olympique,Ligue 1,21,1999,10.0,30,19,17,11,2,7,36,19.4,29,267,59,22.1,98,133,36,13,2,0,11,4,34,9,0
35,Bamba Dieng,SEN,FW,Olympique Marseille,Ligue 1,20,2000,1.4,3,2,1,2,0,2,4,50.0,2,25,2,8.0,4,10,11,0,0,0,0,1,4,0,0
36,Jean-Eudes Aholou,CIV,MF,RC Strasbourg Alsace,Ligue 1,26,1994,23.8,55,35,19,34,2,10,41,24.4,31,397,122,30.7,121,231,45,26,5,0,21,54,109,41,1
37,Jean-Eudes Aholou,CIV,MF,AS Monaco,Ligue 1,26,1994,0.4,1,0,1,0,0,0,0,,0,10,1,10.0,6,4,0,0,0,0,0,2,3,1,0
38,Joseph Aidoo,GHA,DF,Celta de Vigo,La Liga,24,1995,14.3,28,17,22,5,1,11,21,52.4,10,171,55,32.2,109,61,1,20,4,0,16,16,44,111,2
39,Ola Aina,NGA,DF,Fulham FC,Premier League,23,1996,29.6,47,25,27,14,6,17,41,41.5,24,261,65,24.9,143,96,22,47,8,0,39,52,99,121,0
40,Rayan Aït Nouri,FRA,DF,Wolverhampton Wanderers,Premier League,19,2001,15.6,31,16,16,13,2,12,26,46.2,14,241,72,29.9,131,74,36,27,0,0,27,15,46,39,0
41,Rayan Aït Nouri,FRA,DF,SCO Angers,Ligue 1,19,2001,2.1,3,2,1,2,0,2,4,50.0,2,33,11,33.3,19,10,4,4,1,0,3,1,4,0,0
42,Semi Ajayi,NGA,DF,West Bromwich Albion,Premier League,26,1993,30.9,58,42,44,12,2,18,36,50.0,18,340,132,38.8,221,102,17,62,35,3,27,41,99,148,3
43,Ludovic Ajorque,REU,FW,RC Strasbourg Alsace,Ligue 1,26,1994,33.0,33,16,3,20,10,3,29,10.3,26,396,96,24.2,31,186,179,17,7,0,10,12,45,47,0
44,Manuel Akanji,CHE,DF,Borussia Dortmund,Bundesliga,25,1995,26.1,46,30,28,13,5,16,32,50.0,16,264,99,37.5,136,108,20,38,11,0,27,38,84,106,1
45,Carlos Akapo,GNQ,DF,Cádiz CF,La Liga,27,1993,9.6,28,13,22,6,0,15,25,60.0,10,110,31,28.2,69,36,5,30,4,0,26,13,41,40,2
46,Marley Aké,FRA,FW,Olympique Marseille,Ligue 1,19,2001,1.6,3,0,2,0,1,0,0,,0,29,2,6.9,4,9,16,2,0,0,2,1,4,3,0
47,Nathan Aké,NLD,DF,Manchester City,Premier League,25,1995,8.9,15,6,7,6,2,4,5,80.0,1,73,25,34.2,35,30,8,6,2,0,4,6,21,26,0
48,Paul Akouokou,CIV,MF,Real Betis Balompié,La Liga,22,1997,4.2,12,8,3,9,0,2,5,40.0,3,75,20,26.7,18,52,5,6,1,0,5,6,18,8,0
49,Jean-Daniel Akpa Akpro,CIV,MF,SS Lazio,Serie A,27,1992,11.7,46,28,15,26,5,9,27,33.3,18,354,110,31.1,107,178,69,33,6,0,27,18,64,14,0
50,Kevin Akpoguma,NGA,DF,TSG 1899 Hoffenheim,Bundesliga,25,1995,13.2,24,12,15,8,1,9,13,69.2,4,178,64,36.0,80,83,15,39,16,2,23,10,34,44,1
51,David Alaba,AUT,DF,Bayern Munich,Bundesliga,28,1992,29.7,41,30,13,25,3,12,37,32.4,25,346,131,37.9,120,176,50,47,15,0,32,36,77,94,2
52,Sofiane Alakouch,FRA,DF,Nîmes Olympique,Ligue 1,22,1998,16.7,62,32,36,15,11,31,47,66.0,16,262,87,33.2,150,73,39,35,2,0,33,34,96,46,0
53,Jony Álamo,ESP,MF,Elche CF,La Liga,18,2001,0.8,1,1,0,1,0,0,2,0.0,2,9,4,44.4,3,5,1,1,0,0,1,0,1,1,0
54,Lucas Alario,ARG,FW,Bayer 04 Leverkusen,Bundesliga,27,1992,13.8,8,6,3,3,2,1,4,25.0,3,152,50,32.9,5,46,101,9,2,0,7,3,11,9,0
55,Jordi Alba,ESP,DF,FC Barcelona,La Liga,31,1989,33.6,49,24,25,16,8,26,64,40.6,38,346,97,28.0,124,156,66,64,4,0,60,43,92,46,0
56,Luis Alberto,ESP,MF,SS Lazio,Serie A,27,1992,29.1,43,32,17,18,8,14,66,21.2,52,537,155,28.9,131,275,131,38,2,0,36,21,64,12,0
57,Raúl Albiol,ESP,DF,Villarreal CF,La Liga,34,1985,34.6,29,21,22,7,0,12,24,50.0,12,200,79,39.5,107,85,8,47,24,1,23,23,52,170,1
58,Marc Albrighton,ENG,DF,Leicester City,Premier League,30,1989,19.4,43,31,16,18,9,20,55,36.4,35,340,129,37.9,111,144,85,32,2,1,30,28,71,26,0
59,Paco Alcácer,ESP,FW,Villarreal CF,La Liga,26,1993,17.2,5,4,1,2,2,1,9,11.1,8,167,46,27.5,8,76,83,11,0,0,11,7,12,5,0
60,Pedro Alcalá,ESP,DF,Cádiz CF,La Liga,31,1989,10.1,8,7,6,2,0,5,9,55.6,4,66,16,24.2,45,19,2,27,12,1,15,22,30,63,0
61,Thiago,ESP,MF,Liverpool FC,Premier League,29,1991,20.6,68,43,27,29,12,19,50,38.0,31,462,135,29.2,120,232,110,28,1,0,27,42,110,21,0
62,Rubén Alcaraz,ESP,MF,Real Valladolid CF,La Liga,29,1991,24.1,55,37,33,21,1,21,80,26.3,59,554,150,27.1,243,266,45,47,9,0,38,29,84,38,1
63,Omar Alderete,PRY,DF,Hertha BSC,Bundesliga,23,1996,14.4,21,13,15,6,0,5,16,31.3,11,138,51,37.0,84,48,6,23,11,0,12,14,35,100,2
64,Toby Alderweireld,BEL,DF,Tottenham Hotspur,Premier League,31,1989,24.9,38,19,23,15,0,15,27,55.6,12,202,74,36.6,128,71,3,53,32,1,21,15,53,162,0
65,Iván Alejo,ESP,MF,Cádiz CF,La Liga,25,1995,9.2,20,15,10,8,2,3,21,14.3,18,232,47,20.3,78,85,69,23,2,0,21,2,22,9,0
66,Carles Aleñá,ESP,MF,FC Barcelona,La Liga,22,1998,0.5,0,0,0,0,0,0,0,,0,14,1,7.1,5,8,1,0,0,0,0,0,0,0,0
67,Carles Aleñá,ESP,MF,Getafe CF,La Liga,22,1998,15.2,18,9,4,11,3,7,21,33.3,14,260,63,24.2,49,153,58,17,1,0,16,7,25,9,0
68,Rúnar Alex Rúnarsson,ISL,GK,Arsenal FC,Premier League,25,1995,0.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
69,Trent Alexander-Arnold,ENG,DF,Liverpool FC,Premier League,21,1998,33.7,58,36,29,21,8,33,57,57.9,24,328,115,35.1,124,113,91,44,4,0,40,49,107,71,2
70,Alfonso González,ESP,MF,Celta de Vigo,La Liga,21,1999,0.4,0,0,0,0,0,0,0,,0,5,1,20.0,0,2,3,0,0,0,0,0,0,0,0
71,Mohamed-Ali Cho,FRA,FW,SCO Angers,Ligue 1,16,2004,3.9,10,8,2,7,1,1,8,12.5,7,104,39,37.5,14,48,42,10,1,0,9,3,13,0,0
72,Ezgjan Alioski,MKD,DF,Leeds United,Premier League,28,1992,27.3,82,42,41,33,8,28,77,36.4,49,534,152,28.5,243,217,74,46,6,0,40,36,118,61,0
73,Rachid Alioui,MAR,FW,SCO Angers,Ligue 1,28,1992,0.2,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,1,0,0,1,0,0,0,0
74,Alisson,BRA,GK,Liverpool FC,Premier League,27,1992,33.0,0,0,0,0,0,0,1,0.0,1,5,1,20.0,5,0,0,0,0,0,0,0,0,1,7
75,Saturnin Allagbé,BEN,GK,Dijon FCO,Ligue 1,26,1993,12.0,0,0,0,0,0,0,1,0.0,1,4,0,0.0,4,0,0,0,0,0,0,0,0,1,2
76,Allan,BRA,MF,Everton FC,Premier League,29,1991,22.8,75,54,39,33,3,28,94,29.8,66,673,191,28.4,269,360,44,39,13,0,26,23,98,30,0
77,Dele Alli,ENG,MF,Tottenham Hotspur,Premier League,24,1996,6.9,20,15,9,8,3,6,17,35.3,11,218,58,26.6,44,98,76,13,1,0,12,10,30,4,0
78,Miguel Almirón,PRY,MF,Newcastle United,Premier League,26,1994,27.0,48,29,22,23,3,16,56,28.6,40,506,114,22.5,173,210,123,36,5,2,31,27,75,24,1
79,Marcos Alonso,ESP,DF,Chelsea FC,Premier League,29,1990,10.7,13,8,5,5,3,3,17,17.6,14,140,41,29.3,61,49,30,22,1,0,21,11,24,37,0
80,Sergio Álvarez,ESP,MF,SD Eibar,La Liga,28,1992,17.4,38,23,8,26,4,6,26,23.1,20,338,97,28.7,91,211,36,35,5,0,30,13,51,40,0
81,Yeray Álvarez,ESP,DF,Athletic Bilbao,La Liga,25,1995,21.6,27,19,16,10,1,9,23,39.1,14,145,46,31.7,83,55,7,25,6,0,19,39,66,132,0
82,Bruno Alves,PRT,DF,Parma Calcio 1913,Serie A,38,1981,18.1,16,6,10,6,0,8,13,61.5,5,140,37,26.4,92,43,5,28,14,0,14,15,31,87,0
83,Steven Alzate,COL,MF,Brighton & Hove Albion,Premier League,21,1998,10.0,19,15,12,4,3,2,9,22.2,7,159,54,34.0,44,70,45,16,1,0,15,7,26,9,1
84,Ibrahim Amadou,FRA,MF,SCO Angers,Ligue 1,27,1993,16.7,44,30,15,27,2,8,30,26.7,22,404,112,27.7,145,226,33,18,5,0,13,29,73,36,0
85,Romain Amalfitano,FRA,FW,Dijon FCO,Ligue 1,30,1989,1.3,2,1,2,0,0,2,5,40.0,3,13,2,15.4,9,2,2,2,1,0,1,1,3,1,0
86,Amankwaa Akurugu,GHA,DF,Getafe CF,La Liga,18,2001,0.5,0,0,0,0,0,0,0,,0,4,1,25.0,1,2,1,4,0,0,4,0,0,1,0
87,Daniel Amartey,GHA,DF,Leicester City,Premier League,25,1994,8.0,12,6,7,3,2,7,12,58.3,5,62,24,38.7,37,22,3,19,5,1,14,12,24,42,0
88,Jordan Amavi,FRA,DF,Olympique Marseille,Ligue 1,26,1994,9.0,20,12,17,2,1,8,11,72.7,3,85,17,20.0,52,21,12,29,4,0,25,13,33,35,1
89,Thierry Ambrose,FRA,FW,FC Metz,Ligue 1,23,1997,8.4,9,5,1,2,6,1,8,12.5,7,158,39,24.7,8,84,66,3,0,0,3,3,12,3,0
90,Wisdom Amey,ITA,DF,Bologna FC 1909,Serie A,14,2005,0.0,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,0,0,0
91,Nadiem Amiri,DEU,MF,Bayer 04 Leverkusen,Bundesliga,23,1996,21.0,19,13,4,12,3,5,30,16.7,25,322,109,33.9,64,183,75,19,3,0,16,19,38,6,0
92,Ethan Ampadu,WAL,DF,Sheffield United,Premier League,19,2000,23.2,62,36,31,26,5,21,49,42.9,28,359,101,28.1,180,138,41,48,20,0,28,39,101,120,2
93,Sofyan Amrabat,MAR,MF,ACF Fiorentina,Serie A,23,1996,27.1,60,42,22,31,7,23,63,36.5,40,567,154,27.2,161,316,90,46,5,0,41,21,81,20,0
94,Jon Ander Garrido,ESP,MF,Cádiz CF,La Liga,30,1989,8.9,20,15,12,4,4,7,26,26.9,19,171,59,34.5,66,86,19,18,3,0,15,9,29,17,0
95,Joachim Andersen,DNK,DF,Fulham FC,Premier League,24,1996,30.3,41,26,23,13,5,20,37,54.1,17,196,66,33.7,128,55,13,35,16,0,19,51,92,233,1
96,Joachim Andersen,DNK,DF,Olympique Lyon,Ligue 1,24,1996,2.1,1,1,1,0,0,0,2,0.0,2,23,5,21.7,9,12,2,2,0,0,2,0,1,7,0
97,Djavan Anderson,NLD,DF,SS Lazio,Serie A,25,1995,0.8,0,0,0,0,0,0,1,0.0,1,10,1,10.0,1,7,2,2,0,0,2,0,0,0,0
98,Elliot Anderson,SCO,MF,Newcastle United,Premier League,17,2002,0.0,0,0,0,0,0,0,0,,0,3,1,33.3,0,3,0,0,0,0,0,0,0,0,0
99,Felipe Anderson,BRA,FW,West Ham United,Premier League,27,1993,0.0,1,1,0,1,0,0,2,0.0,2,3,1,33.3,1,2,0,0,0,0,0,0,1,0,0
100,Sebastian Andersson,SWE,FW,1. FC Köln,Bundesliga,29,1991,12.5,5,2,0,3,2,0,6,0.0,6,165,39,23.6,7,81,77,9,2,0,7,3,8,9,0
101,Nícolas,BRA,GK,Udinese Calcio,Serie A,32,1988,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
102,Benjamin André,FRA,MF,LOSC Lille,Ligue 1,29,1990,32.1,111,87,46,57,8,50,125,40.0,75,688,237,34.4,213,407,68,69,13,1,56,61,172,75,0
103,Robert Andrich,DEU,MF,1.FC Union Berlin,Bundesliga,25,1994,28.1,61,40,29,26,6,16,43,37.2,27,528,164,31.1,173,293,62,41,8,0,33,57,118,31,1
104,Victorien Angban,CIV,MF,FC Metz,Ligue 1,23,1996,18.6,35,30,16,17,2,17,37,45.9,20,243,88,36.2,88,128,27,28,4,0,24,13,48,9,0
105,Ángel Jiménez,ESP,GK,Granada CF,La Liga,18,2002,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
106,Miguel Rubio,ESP,DF,Real Valladolid CF,La Liga,22,1998,1.5,1,1,0,0,1,0,0,,0,18,4,22.2,13,3,2,3,2,0,1,0,1,20,0
107,José Ángel,ESP,DF,SD Eibar,La Liga,30,1989,10.0,17,10,9,3,5,8,14,57.1,6,79,32,40.5,30,32,17,16,0,0,16,11,28,32,1
108,Angeliño,ESP,DF,RB Leipzig,Bundesliga,23,1997,24.0,41,18,15,23,3,8,24,33.3,16,261,95,36.4,85,114,62,41,1,0,40,32,73,42,1
109,Davide Ghislandi,ITA,DF,Atalanta BC,Serie A,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
110,Philip Yeboah,GHA,MF,Hellas Verona,Serie A,17,2002,0.1,0,0,0,0,0,0,0,,0,3,0,0.0,1,1,1,0,0,0,0,0,0,0,0
111,Cristian Ansaldi,ARG,DF,Torino FC,Serie A,33,1986,21.6,48,26,24,16,8,26,41,63.4,15,262,81,30.9,115,84,63,32,7,0,25,27,75,27,1
112,Waldemar Anton,DEU,DF,VfB Stuttgart,Bundesliga,24,1996,30.1,36,23,24,11,1,10,33,30.3,23,283,97,34.3,173,97,13,57,20,2,37,50,86,132,0
113,Josete Miranda,GNQ,MF,Getafe CF,La Liga,22,1998,0.3,0,0,0,0,0,0,2,0.0,2,15,2,13.3,2,13,0,1,0,0,1,1,1,0,0
114,Michail Antonio,ENG,FW,West Ham United,Premier League,30,1990,21.9,14,8,1,7,6,2,9,22.2,7,254,65,25.6,19,92,143,25,9,0,16,9,23,8,0
115,Valentin Antov,BGR,DF,Bologna FC 1909,Serie A,19,2000,2.6,6,3,5,1,0,3,10,30.0,7,35,8,22.9,20,14,1,11,5,0,6,5,11,11,0
116,Houssem Aouar,FRA,MF,Olympique Lyon,Ligue 1,22,1998,19.8,19,11,0,10,9,6,26,23.1,20,269,80,29.7,39,130,100,16,1,0,15,16,35,3,0
117,Adil Aouchiche,FRA,MF,AS Saint-Étienne,Ligue 1,18,2002,19.2,38,21,11,13,14,14,50,28.0,36,391,110,28.1,75,184,132,12,1,0,11,9,47,12,0
118,Dennis Appiah,FRA,DF,FC Nantes,Ligue 1,28,1992,17.3,58,30,36,14,8,32,59,54.2,27,297,103,34.7,157,98,42,33,7,0,26,21,79,70,0
119,Aritz Arambarri,ESP,DF,Real Sociedad,La Liga,22,1998,0.3,0,0,0,0,0,0,1,0.0,1,6,2,33.3,1,3,2,0,0,0,0,0,0,0,0
120,Mauro Arambarri,URY,MF,Getafe CF,La Liga,24,1995,33.1,74,56,27,36,11,17,76,22.4,59,745,191,25.6,179,449,117,54,5,0,49,54,128,49,0
121,Charles Aránguiz,CHL,MF,Bayer 04 Leverkusen,Bundesliga,31,1989,18.5,44,29,18,20,6,15,50,30.0,35,393,128,32.6,146,204,43,35,4,0,31,27,71,26,0
122,Luiz Araújo,BRA,MF,LOSC Lille,Ligue 1,24,1996,16.6,40,22,14,16,10,6,30,20.0,24,300,72,24.0,63,152,85,21,2,0,19,13,53,4,0
123,Néstor Araújo,MEX,DF,Celta de Vigo,La Liga,28,1991,27.0,24,16,13,10,1,3,12,25.0,9,211,72,34.1,111,90,10,39,19,0,20,35,59,152,1
124,Ronald Araújo,URY,DF,FC Barcelona,La Liga,21,1999,16.8,30,22,17,12,1,10,12,83.3,2,158,59,37.3,68,85,5,34,18,0,16,15,45,61,1
125,Anaitz Arbilla,ESP,DF,SD Eibar,La Liga,33,1987,31.2,56,30,36,17,3,23,50,46.0,27,232,72,31.0,104,100,28,57,13,0,44,56,112,139,0
126,Alphonse Areola,FRA,GK,Fulham FC,Premier League,27,1993,36.0,1,1,1,0,0,1,5,20.0,4,5,0,0.0,5,0,0,0,0,0,0,0,1,0,1
127,Santiago Arias,COL,DF,Bayer 04 Leverkusen,Bundesliga,28,1992,1.0,4,4,2,1,1,0,0,,0,13,5,38.5,6,6,1,3,0,0,3,0,4,3,0
128,Karim Aribi,DZA,FW,Nîmes Olympique,Ligue 1,26,1994,3.3,1,0,0,1,0,0,4,0.0,4,60,14,23.3,8,26,26,2,0,0,2,0,1,4,0
129,Unai Arieta,ESP,FW,SD Eibar,La Liga,21,1999,0.5,0,0,0,0,0,0,0,,0,5,2,40.0,0,1,4,0,0,0,0,0,0,0,0
130,Nicolò Armini,ITA,DF,SS Lazio,Serie A,19,2001,0.1,0,0,0,0,0,0,0,,0,3,0,0.0,1,2,0,0,0,0,0,0,0,1,0
131,Stuart Armstrong,SCO,MF,Southampton FC,Premier League,28,1992,30.7,70,41,27,30,13,30,80,37.5,50,489,141,28.8,166,215,108,31,1,0,30,30,100,21,1
132,Maximilian Arnold,DEU,MF,VfL Wolfsburg,Bundesliga,26,1994,28.7,60,42,23,31,6,22,54,40.7,32,534,186,34.8,169,277,88,40,4,1,36,41,101,71,0
133,Tolu Arokodare,NGA,FW,1. FC Köln,Bundesliga,19,2000,1.2,1,1,0,0,1,0,0,,0,18,7,38.9,1,7,10,1,0,0,1,0,1,0,0
134,Sergio Arribas,ESP,FW,Real Madrid,La Liga,18,2001,1.5,2,1,1,1,0,0,1,0.0,1,20,6,30.0,9,7,4,1,0,0,1,3,5,3,0
135,Kepa,ESP,GK,Chelsea FC,Premier League,25,1994,6.5,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,0,4
136,Tolgay Arslan,DEU,MF,Udinese Calcio,Serie A,29,1990,20.2,60,39,30,25,5,20,52,38.5,32,354,125,35.3,155,161,38,30,2,0,28,21,81,9,1
137,Kwadwo Asamoah,GHA,DF,Cagliari Calcio,Serie A,31,1988,2.5,5,4,2,3,0,1,1,100.0,0,17,4,23.5,6,6,5,4,1,0,3,5,10,4,1
138,Santiago Ascacíbar,ARG,MF,Hertha BSC,Bundesliga,23,1997,8.5,34,16,18,15,1,12,34,35.3,22,251,67,26.7,109,117,25,20,2,0,18,11,45,19,0
139,Sergio Asenjo,ESP,GK,Villarreal CF,La Liga,31,1989,36.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,2,1
140,Marco Asensio,ESP,FW,Real Madrid,La Liga,24,1996,20.8,13,10,7,6,0,4,28,14.3,24,206,46,22.3,48,99,59,20,0,0,20,15,28,10,0
141,Kristoffer Askildsen,NOR,MF,UC Sampdoria,Serie A,19,2001,1.1,2,2,0,1,1,1,1,100.0,0,30,5,16.7,12,15,3,3,0,0,3,1,3,2,0
142,Iago Aspas,ESP,FW,Celta de Vigo,La Liga,32,1987,31.8,11,6,3,6,2,1,19,5.3,18,355,99,27.9,43,160,152,29,3,0,26,17,28,22,0
143,Roger Assalé,CIV,FW,Dijon FCO,Ligue 1,26,1993,9.2,9,7,4,3,2,4,13,30.8,9,123,32,26.0,11,66,46,7,3,0,4,7,16,2,0
144,Miguel Atienza,ESP,MF,SD Eibar,La Liga,21,1999,9.3,30,19,6,22,2,8,22,36.4,14,181,65,35.9,46,104,31,11,2,0,9,15,45,12,0
145,Youcef Atal,DZA,DF,OGC Nice,Ligue 1,24,1996,10.6,31,22,16,13,2,19,35,54.3,16,131,37,28.2,52,53,26,14,2,0,12,26,57,14,0
146,Pierre-Emerick Aubameyang,GAB,FW,Arsenal FC,Premier League,31,1989,25.9,17,5,8,7,2,4,20,20.0,16,344,83,24.1,57,144,143,26,2,0,24,6,23,14,0
147,Emil Audero,ITA,GK,UC Sampdoria,Serie A,23,1997,37.0,0,0,0,0,0,0,1,0.0,1,6,2,33.3,6,0,0,0,0,0,0,0,0,0,0
148,Tommaso Augello,ITA,DF,UC Sampdoria,Serie A,25,1994,35.7,50,25,35,12,3,20,40,50.0,20,342,119,34.8,163,107,72,51,2,0,49,39,89,89,1
149,Jean-Kévin Augustin,FRA,FW,FC Nantes,Ligue 1,23,1997,0.4,1,1,0,1,0,1,1,100.0,0,8,4,50.0,0,7,1,0,0,0,0,0,1,0,0
