Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
245,Hatem Ben Arfa\Hatem-Ben-Arfa,fr FRA,MFFW,Valladolid,es La Liga,32,1987,5,2,159,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.03,0.02,0.04,0.03,0.04
246,Wissam Ben Yedder\Wissam-Ben-Yedder,fr FRA,FW,Monaco,fr Ligue 1,28,1990,26,25,2164,24.0,18,4,15,3,3,1,0,0.75,0.17,0.91,0.62,0.79,13.1,10.9,7.1,17.9,0.55,0.29,0.84,0.45,0.75
247,Marco Benassi\Marco-Benassi,it ITA,MF,Fiorentina,it Serie A,24,1994,18,10,980,10.9,1,1,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,1.0,1.0,1.1,2.1,0.09,0.10,0.19,0.09,0.19
248,Cristian Benavente\Cristian-Benavente,pe PER,MFFW,Nantes,fr Ligue 1,25,1994,12,4,349,3.9,0,1,0,0,0,0,0,0.00,0.26,0.26,0.00,0.26,0.3,0.3,0.6,0.9,0.07,0.17,0.24,0.07,0.24
249,Lars Bender\Lars-Bender,de GER,DFMF,Leverkusen,de Bundesliga,30,1989,18,16,1373,15.3,2,1,2,0,0,3,0,0.13,0.07,0.20,0.13,0.20,0.7,0.7,1.0,1.7,0.05,0.07,0.11,0.05,0.11
250,Sven Bender\Sven-Bender,de GER,DF,Leverkusen,de Bundesliga,30,1989,33,33,2726,30.3,2,1,2,0,0,3,0,0.07,0.03,0.10,0.07,0.10,1.3,1.3,0.1,1.4,0.04,0.00,0.04,0.04,0.04
251,Darío Benedetto\Dario-Benedetto,ar ARG,FW,Marseille,fr Ligue 1,29,1990,26,25,2101,23.3,11,0,11,0,1,4,0,0.47,0.00,0.47,0.47,0.47,9.8,9.1,1.0,10.1,0.42,0.04,0.46,0.39,0.43
252,László Bénes\Laszlo-Benes,sk SVK,MF,M'Gladbach,de Bundesliga,21,1997,22,10,898,10.0,0,4,0,0,0,3,0,0.00,0.40,0.40,0.00,0.40,1.1,1.1,2.7,3.9,0.11,0.27,0.39,0.11,0.39
253,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,fr Ligue 1,26,1993,26,26,2340,26.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
254,Loris Benito\Loris-Benito,ch SUI,DF,Bordeaux,fr Ligue 1,27,1992,23,21,1896,21.1,1,0,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,0.7,0.7,1.0,1.7,0.03,0.05,0.08,0.03,0.08
