Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Min/90,GA,GA/90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKGA,PKsv,PKm,PK%
164,Gerónimo Rulli,ARG,GK,Montpellier HSC,Ligue 1,27,1992,25,25,2250,25.0,27,1.08,112,89,78.6,11,7,7,8,32.0,5,3,1,1,25.0
165,Mathew Ryan,AUS,GK,Brighton & Hove Albion,Premier League,27,1992,38,38,3420,38.0,54,1.42,164,114,68.3,9,14,15,9,23.7,2,2,0,0,0.0
166,Frederik Rönnow,DNK,GK,Eintracht Frankfurt,Bundesliga,26,1992,9,9,810,9.0,14,1.56,47,35,74.5,2,3,4,1,11.1,2,2,0,0,0.0
167,Romain Salin,FRA,GK,Stade Rennais FC,Ligue 1,35,1984,5,4,360,4.0,5,1.25,18,13,72.2,2,0,2,2,50.0,1,0,1,0,100.0
168,Kasper Schmeichel,DNK,GK,Leicester City,Premier League,32,1986,38,38,3420,38.0,41,1.08,126,95,73.8,18,8,12,13,34.2,10,8,2,0,20.0
169,Markus Schubert,DEU,GK,FC Schalke 04,Bundesliga,21,1998,9,8,742,8.2,18,2.18,52,35,69.2,1,3,4,2,25.0,2,2,0,0,0.0
170,Alexander Schwolow,DEU,GK,SC Freiburg,Bundesliga,27,1992,24,24,2091,23.2,32,1.38,114,83,74.6,9,6,9,4,16.7,3,3,0,0,0.0
171,Matz Sels,BEL,GK,RC Strasbourg Alsace,Ligue 1,27,1992,27,27,2430,27.0,32,1.19,95,67,72.6,11,5,11,8,29.6,7,6,1,0,14.3
172,Luigi Sepe,ITA,GK,Parma Calcio 1913,Serie A,28,1991,34,34,3060,34.0,53,1.56,184,134,74.5,13,6,15,5,14.7,9,6,3,0,33.3
173,Rui Silva,PRT,GK,Granada CF,La Liga,25,1994,35,35,3150,35.0,42,1.20,136,97,72.1,15,8,12,12,34.3,5,4,1,0,20.0
174,Marco Silvestri,ITA,GK,Hellas Verona,Serie A,28,1991,35,35,3150,35.0,43,1.23,148,108,75.7,11,13,11,9,25.7,7,7,0,0,0.0
175,Unai Simón,ESP,GK,Athletic Bilbao,La Liga,22,1997,34,34,2991,33.2,29,0.87,103,78,76.7,13,9,12,12,35.3,7,5,0,2,0.0
176,Salvatore Sirigu,ITA,GK,Torino FC,Serie A,32,1987,36,36,3240,36.0,64,1.78,189,135,70.9,11,6,19,7,19.4,10,9,1,0,10.0
177,Antonio Sivera,ESP,GK,Deportivo Alavés,La Liga,22,1996,3,3,270,3.0,3,1.00,4,2,50.0,1,1,1,1,33.3,1,1,0,0,0.0
178,Lukasz Skorupski,POL,GK,Bologna FC 1909,Serie A,28,1991,37,37,3330,37.0,64,1.73,180,122,67.8,12,10,15,2,5.4,8,6,1,1,14.3
179,Dennis Smarsch,DEU,GK,Hertha BSC,Bundesliga,20,1999,2,1,151,1.7,4,2.38,11,7,63.6,0,0,1,0,0.0,0,0,0,0,
180,Yann Sommer,CHE,GK,Borussia Mönchengladbach,Bundesliga,30,1988,34,34,3060,34.0,40,1.18,152,110,74.3,20,5,9,7,20.6,2,1,1,0,50.0
181,David Soria,ESP,GK,Getafe CF,La Liga,26,1993,38,38,3420,38.0,37,0.97,102,70,68.6,14,12,12,15,39.5,6,5,1,0,16.7
182,Juan Soriano,ESP,GK,CD Leganés,La Liga,21,1997,11,11,990,11.0,18,1.64,34,22,61.8,1,3,7,1,9.1,5,5,0,0,0.0
183,Marco Sportiello,ITA,GK,Atalanta BC,Serie A,27,1992,6,5,525,5.8,5,0.86,19,14,73.7,4,0,1,2,40.0,0,0,0,0,
184,Jed Steer,ENG,GK,Aston Villa,Premier League,26,1992,1,1,7,0.1,0,0.00,0,0,,0,0,1,0,0.0,0,0,0,0,
185,Zack Steffen,USA,GK,Fortuna Düsseldorf,Bundesliga,24,1995,17,17,1530,17.0,36,2.12,95,61,63.2,4,3,10,2,11.8,2,1,1,0,50.0
186,Thomas Strakosha,ALB,GK,SS Lazio,Serie A,24,1995,38,38,3420,38.0,42,1.11,145,111,75.9,24,6,8,11,28.9,9,7,1,1,12.5
187,Wojciech Szczesny,POL,GK,Juventus FC,Serie A,29,1990,29,29,2591,28.8,33,1.15,120,95,79.2,19,4,6,11,37.9,10,8,1,1,11.1
188,Ciprian Tatarusanu,ROU,GK,Olympique Lyon,Ligue 1,33,1986,2,2,180,2.0,2,1.00,11,9,81.8,1,0,1,1,50.0,0,0,0,0,
189,Marc-André ter Stegen,DEU,GK,FC Barcelona,La Liga,27,1992,36,36,3240,36.0,36,1.00,110,78,72.7,24,6,6,14,38.9,7,6,1,0,14.3
190,Pietro Terracciano,ITA,GK,ACF Fiorentina,Serie A,29,1990,7,7,624,6.9,5,0.72,19,16,89.5,5,1,1,3,42.9,3,3,0,0,0.0
191,Demba Thiam,SEN,GK,SPAL,Serie A,21,1998,2,2,180,2.0,4,2.00,14,11,78.6,0,1,1,0,0.0,1,1,0,0,0.0
192,Niclas Thiede,DEU,GK,SC Freiburg,Bundesliga,20,1999,1,0,69,0.8,1,1.30,4,3,75.0,0,0,0,0,,0,0,0,0,
193,Kevin Trapp,DEU,GK,Eintracht Frankfurt,Bundesliga,29,1990,22,22,1980,22.0,38,1.73,104,69,64.4,11,3,8,4,18.2,1,1,0,0,0.0
194,Mark Travers,IRL,GK,AFC Bournemouth,Premier League,20,1999,1,1,90,1.0,3,3.00,5,2,40.0,0,0,1,0,0.0,0,0,0,0,
195,Stefano Turati,ITA,GK,US Sassuolo,Serie A,17,2001,2,2,180,2.0,4,2.00,11,8,72.7,0,2,0,0,0.0,1,1,0,0,0.0
196,Samir Ujkani,XXK,GK,Torino FC,Serie A,31,1988,1,1,90,1.0,3,3.00,5,3,60.0,0,0,1,0,0.0,1,1,0,0,0.0
197,Sven Ulreich,DEU,GK,Bayern Munich,Bundesliga,30,1988,2,2,90,1.0,1,1.00,3,2,66.7,1,0,0,0,0.0,0,0,0,0,
198,Tomas Vaclík,CZE,GK,Sevilla FC,La Liga,30,1989,33,33,2925,32.5,31,0.95,96,68,69.8,15,12,6,14,42.4,3,2,1,0,33.3
199,Koke Vegas,ESP,GK,Levante UD,La Liga,23,1995,2,2,180,2.0,2,1.00,10,8,80.0,2,0,0,1,50.0,1,0,0,1,
200,Mauro Vigorito,ITA,GK,US Lecce,Serie A,29,1990,5,4,423,4.7,9,1.91,27,19,70.4,3,0,1,1,25.0,1,1,0,0,0.0
201,Iván Villar,ESP,GK,Celta de Vigo,La Liga,22,1997,4,3,280,3.1,5,1.61,11,6,54.5,0,1,2,1,33.3,0,0,0,0,
202,Felix Wiedwald,DEU,GK,Eintracht Frankfurt,Bundesliga,29,1990,3,3,270,3.0,8,2.67,21,13,61.9,0,0,3,0,0.0,0,0,0,0,
203,Yoel Rodríguez,ESP,GK,SD Eibar,La Liga,30,1988,4,4,270,3.0,5,1.67,14,9,64.3,2,0,1,1,25.0,1,0,1,0,100.0
204,Robin Zentner,DEU,GK,1.FSV Mainz 05,Bundesliga,24,1994,22,22,1935,21.5,40,1.86,113,75,65.5,8,2,12,3,13.6,2,1,1,0,50.0
205,Leopold Zingerle,DEU,GK,SC Paderborn 07,Bundesliga,25,1994,28,28,2520,28.0,57,2.04,147,95,63.3,4,7,17,5,17.9,4,3,1,0,25.0
