Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Min/90,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90
456,Zeki Celik,TUR,DF,LOSC Lille,Ligue 1,21,1997,34,34,2971,33.0,1,5,1,0,0,5,1,0.03,0.15,0.18,0.03,0.18,1.2,1.2,2.7,3.8,0.03,0.08,0.12,0.03,0.12
457,Álex Centelles,ESP,DF,Udinese Calcio,Serie A,18,1999,8,6,583,6.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
458,Luca Ceppitelli,ITA,DF,Cagliari Calcio,Serie A,28,1989,24,24,2051,22.8,2,1,2,0,0,6,2,0.09,0.04,0.13,0.09,0.13,1.6,1.6,0.5,2.2,0.07,0.02,0.09,0.07,0.09
459,Fabio Ceravolo,ITA,FW,Parma Calcio 1913,Serie A,31,1987,25,12,1185,13.2,2,0,1,1,2,1,0,0.15,0.00,0.15,0.08,0.08,3.6,2.0,0.6,2.7,0.27,0.05,0.32,0.15,0.20
460,Alberto Cerri,ITA,FW,Cagliari Calcio,Serie A,22,1996,15,7,670,7.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1.8,1.8,0.9,2.6,0.24,0.12,0.35,0.24,0.35
461,Bostjan Cesar,SVN,DF,Chievo Verona,Serie A,36,1982,14,11,1079,12.0,1,0,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,0.2,0.2,0.0,0.2,0.01,0.00,0.01,0.01,0.01
462,Nacer Chadli,BEL,MF,AS Monaco,Ligue 1,28,1989,16,9,691,7.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.02,0.04,0.06,0.02,0.06
463,Fouad Chafik,MAR,DF,Dijon FCO,Ligue 1,31,1986,21,21,1847,20.5,0,2,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,0.3,0.3,1.6,1.9,0.01,0.08,0.09,0.01,0.09
464,Nathaniel Chalobah,ENG,MF,Watford FC,Premier League,23,1994,9,3,270,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05
465,Calum Chambers,ENG,MF,Fulham FC,Premier League,23,1995,31,29,2588,28.8,2,0,2,0,0,9,0,0.07,0.00,0.07,0.07,0.07,2.2,2.2,0.7,2.9,0.08,0.02,0.10,0.08,0.10
466,Timothy Chandler,USA,FW,Eintracht Frankfurt,Bundesliga,28,1990,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.18,0.18,0.00,0.18
467,Chang-hoon Kwon,KOR,FW,Dijon FCO,Ligue 1,24,1994,19,10,938,10.4,2,0,2,0,0,1,0,0.19,0.00,0.19,0.19,0.19,2.3,2.3,0.6,2.9,0.22,0.06,0.28,0.22,0.28
468,Charles,BRA,FW,SD Eibar,La Liga,34,1984,34,17,1739,19.3,14,1,8,6,7,4,0,0.72,0.05,0.78,0.41,0.47,11.6,6.3,1.0,7.3,0.60,0.05,0.65,0.33,0.38
469,Xavier Chavalerin,FRA,MF,Stade Reims,Ligue 1,27,1991,36,36,3240,36.0,2,2,2,0,0,8,0,0.06,0.06,0.11,0.06,0.11,1.0,1.0,4.0,5.0,0.03,0.11,0.14,0.03,0.14
470,Pablo Chavarría,ARG,FW,Stade Reims,Ligue 1,30,1988,30,23,1973,21.9,5,3,5,0,0,3,0,0.23,0.14,0.36,0.23,0.36,6.6,6.6,1.8,8.4,0.30,0.08,0.38,0.30,0.38
471,Chechu Dorado,ESP,DF,Rayo Vallecano,La Liga,36,1982,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
472,Pape Cheikh,SEN,MF,Olympique Lyon,Ligue 1,20,1997,12,5,454,5.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.08,0.02,0.10,0.08,0.10
473,Chema,ESP,DF,Levante UD,La Liga,26,1992,19,13,1254,13.9,2,0,2,0,0,7,0,0.14,0.00,0.14,0.14,0.14,0.6,0.6,0.1,0.7,0.04,0.01,0.05,0.04,0.05
474,Denis Cheryshev,RUS,MF,Valencia CF,La Liga,27,1990,27,19,1706,19.0,2,2,2,0,0,2,0,0.11,0.11,0.21,0.11,0.21,3.2,3.2,6.8,10.0,0.17,0.36,0.53,0.17,0.53
475,Raman Chibsah,GHA,MF,Frosinone Calcio,Serie A,25,1993,32,30,2622,29.1,1,0,1,0,0,5,0,0.03,0.00,0.03,0.03,0.03,2.7,2.7,0.6,3.3,0.09,0.02,0.11,0.09,0.11
476,Leandro Chichizola,ARG,GK,Getafe CF,La Liga,28,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
477,Giorgio Chiellini,ITA,DF,Juventus FC,Serie A,33,1984,25,22,1991,22.1,1,1,1,0,0,3,0,0.05,0.05,0.09,0.05,0.09,1.4,1.4,0.3,1.7,0.06,0.01,0.08,0.06,0.08
478,Federico Chiesa,ITA,FW,ACF Fiorentina,Serie A,20,1997,37,34,3034,33.7,6,3,6,0,0,4,0,0.18,0.09,0.27,0.18,0.27,9.4,9.4,5.7,15.1,0.28,0.17,0.45,0.28,0.45
479,Ben Chilwell,ENG,DF,Leicester City,Premier League,21,1996,36,36,3240,36.0,0,4,0,0,0,4,0,0.00,0.11,0.11,0.00,0.11,0.8,0.8,3.0,3.9,0.02,0.08,0.11,0.02,0.11
480,Vlad Chiriches,ROU,DF,SSC Napoli,Serie A,28,1989,3,3,147,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.14,0.00,0.14,0.14,0.14
481,Tahith Chong,NLD,FW,Manchester United,Premier League,18,1999,2,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.18,0.00,0.18,0.18,0.18
482,Hamza Choudhury,ENG,MF,Leicester City,Premier League,20,1997,9,7,595,6.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.06,0.07,0.13,0.06,0.13
483,Andreas Christensen,DNK,DF,Chelsea FC,Premier League,22,1996,8,6,617,6.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
484,Cyrus Christie,IRL,DF,Fulham FC,Premier League,25,1992,28,19,1948,21.6,0,1,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,0.5,0.5,1.4,1.9,0.02,0.07,0.09,0.02,0.09
485,Samuel Chukwueze,NGA,FW,Villarreal CF,La Liga,19,1999,26,19,1706,19.0,5,2,5,0,0,2,0,0.26,0.11,0.37,0.26,0.37,5.2,5.2,1.5,6.8,0.28,0.08,0.36,0.28,0.36
486,Camillo Ciano,ITA,FW,Frosinone Calcio,Serie A,28,1990,33,28,2454,27.3,7,4,5,2,3,12,0,0.26,0.15,0.40,0.18,0.33,6.4,4.2,5.6,9.8,0.24,0.21,0.44,0.15,0.36
487,Amato Ciciretti,ITA,FW,Parma Calcio 1913,Serie A,24,1993,6,1,139,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.3,0.11,0.10,0.21,0.11,0.21
488,Luca Cigarini,ITA,MF,Cagliari Calcio,Serie A,32,1986,25,20,1682,18.7,0,2,0,0,0,9,0,0.00,0.11,0.11,0.00,0.11,0.5,0.5,2.4,3.0,0.03,0.13,0.16,0.03,0.16
489,Per Ciljan Skjelbred,NOR,MF,Hertha BSC,Bundesliga,31,1987,16,12,997,11.1,0,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,0.7,0.7,0.4,1.1,0.06,0.04,0.10,0.06,0.10
490,Jasper Cillessen,NLD,GK,FC Barcelona,La Liga,29,1989,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
491,Laurent Ciman,BEL,DF,Dijon FCO,Ligue 1,32,1985,9,7,717,8.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.6,0.03,0.04,0.07,0.03,0.07
492,Daniel Ciofani,ITA,FW,Frosinone Calcio,Serie A,33,1985,31,17,1618,18.0,5,2,3,2,2,1,0,0.28,0.11,0.39,0.17,0.28,5.2,3.7,1.3,5.0,0.29,0.07,0.36,0.21,0.28
493,Thiago Cionek,POL,DF,SPAL,Serie A,32,1986,31,29,2542,28.2,0,3,0,0,0,12,2,0.00,0.11,0.11,0.00,0.11,0.5,0.5,0.9,1.4,0.02,0.03,0.05,0.02,0.05
494,Ibrahima Cissé,GIN,MF,Fulham FC,Premier League,24,1994,3,1,88,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
495,Till Cissokho,FRA,DF,FC Girondins Bordeaux,Ligue 1,18,2000,1,1,78,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.07,0.07,0.00,0.07
496,Ciaran Clark,IRL,DF,Newcastle United,Premier League,28,1989,11,9,858,9.5,3,0,3,0,0,1,0,0.31,0.00,0.31,0.31,0.31,0.4,0.4,0.4,0.8,0.04,0.05,0.09,0.04,0.09
497,Tom Cleverley,ENG,MF,Watford FC,Premier League,28,1989,13,4,478,5.3,1,0,1,0,0,2,0,0.19,0.00,0.19,0.19,0.19,0.2,0.2,0.0,0.2,0.04,0.00,0.04,0.04,0.04
498,Nathaniel Clyne,ENG,DF,AFC Bournemouth,Premier League,27,1991,14,13,1143,12.7,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.3,0.3,0.2,0.5,0.02,0.02,0.04,0.02,0.04
499,Nathaniel Clyne,ENG,DF,Liverpool FC,Premier League,27,1991,4,1,111,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04
500,Conor Coady,ENG,DF,Wolverhampton Wanderers,Premier League,25,1993,38,38,3420,38.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
501,Marcus Coco,FRA,FW,EA Guingamp,Ligue 1,22,1996,33,21,1840,20.4,1,2,1,0,0,3,1,0.05,0.10,0.15,0.05,0.15,2.4,2.4,1.3,3.7,0.12,0.06,0.18,0.12,0.18
502,Coke,ESP,DF,Levante UD,La Liga,31,1987,27,19,1817,20.2,4,0,4,0,0,5,1,0.20,0.00,0.20,0.20,0.20,1.2,1.2,1.5,2.7,0.06,0.07,0.13,0.06,0.13
503,Joel Coleman,ENG,GK,Huddersfield Town,Premier League,22,1995,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
504,Seamus Coleman,IRL,DF,Everton FC,Premier League,29,1988,29,29,2558,28.4,2,2,2,0,0,1,0,0.07,0.07,0.14,0.07,0.14,1.2,1.2,2.3,3.5,0.04,0.08,0.12,0.04,0.12
505,Álex Collado,ESP,FW,FC Barcelona,La Liga,19,1999,1,0,85,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.13,0.00,0.13,0.13,0.13
506,Omar Colley,GMB,DF,UC Sampdoria,Serie A,25,1992,21,21,1762,19.6,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.7,0.03,0.00,0.04,0.03,0.04
507,Racine Coly,SEN,DF,OGC Nice,Ligue 1,22,1995,9,6,503,5.6,0,1,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,0.2,0.2,0.2,0.4,0.04,0.03,0.07,0.04,0.07
508,Kingsley Coman,FRA,FW,Bayern Munich,Bundesliga,22,1996,21,17,1378,15.3,6,4,6,0,0,2,0,0.39,0.26,0.65,0.39,0.65,3.8,3.8,3.4,7.3,0.25,0.22,0.47,0.25,0.47
509,Santi Comesaña,ESP,MF,Rayo Vallecano,La Liga,21,1996,25,23,2032,22.6,1,1,1,0,0,6,0,0.04,0.04,0.09,0.04,0.09,0.8,0.8,0.3,1.1,0.03,0.01,0.05,0.03,0.05
510,Daniel Congré,FRA,DF,Montpellier HSC,Ligue 1,33,1985,37,37,3292,36.6,2,2,2,0,0,5,1,0.05,0.05,0.11,0.05,0.11,1.7,1.7,0.7,2.4,0.05,0.02,0.07,0.05,0.07
511,Andrea Consigli,ITA,GK,US Sassuolo,Serie A,31,1987,36,36,3213,35.7,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
512,Andrea Conti,ITA,DF,AC Milan,Serie A,24,1994,12,4,500,5.6,0,2,0,0,0,3,0,0.00,0.36,0.36,0.00,0.36,0.0,0.0,1.3,1.3,0.00,0.23,0.23,0.00,0.23
513,Lewis Cook,ENG,MF,AFC Bournemouth,Premier League,21,1997,13,8,723,8.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02
514,Steve Cook,ENG,DF,AFC Bournemouth,Premier League,27,1991,31,31,2786,31.0,1,1,1,0,0,3,0,0.03,0.03,0.06,0.03,0.06,1.1,1.1,1.2,2.2,0.03,0.04,0.07,0.03,0.07
515,Duje Cop,HRV,FW,Real Valladolid CF,La Liga,28,1990,18,6,687,7.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,2.8,2.8,1.2,3.9,0.36,0.15,0.52,0.36,0.52
516,Francis Coquelin,FRA,MF,Valencia CF,La Liga,27,1991,26,20,1761,19.6,0,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,0.4,0.4,0.7,1.1,0.02,0.04,0.06,0.02,0.06
517,Gabriele Corbo,ITA,DF,Bologna FC 1909,Serie A,18,2000,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
518,Iñigo Córdoba,ESP,FW,Athletic Bilbao,La Liga,21,1997,23,15,1321,14.7,0,4,0,0,0,3,0,0.00,0.27,0.27,0.00,0.27,1.3,1.3,1.1,2.4,0.09,0.07,0.16,0.09,0.16
519,Sergio Córdova,VEN,FW,FC Augsburg,Bundesliga,20,1997,20,3,531,5.9,3,0,3,0,0,1,0,0.51,0.00,0.51,0.51,0.51,1.5,1.5,0.2,1.7,0.25,0.03,0.28,0.25,0.28
520,Benjamin Corgnet,FRA,MF,RC Strasbourg Alsace,Ligue 1,31,1987,17,6,671,7.5,1,2,1,0,0,0,0,0.13,0.27,0.40,0.13,0.40,1.9,1.9,0.8,2.7,0.26,0.11,0.37,0.26,0.37
521,Ante Coric,HRV,MF,AS Roma,Serie A,21,1997,2,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.04,0.29,0.33,0.04,0.33
522,Jack Cork,ENG,MF,Burnley FC,Premier League,29,1989,37,37,3312,36.8,1,2,1,0,0,6,0,0.03,0.05,0.08,0.03,0.08,1.7,1.7,1.6,3.3,0.05,0.04,0.09,0.05,0.09
523,Andreas Cornelius,DNK,FW,FC Girondins Bordeaux,Ligue 1,25,1993,20,6,792,8.8,3,1,3,0,0,4,0,0.34,0.11,0.45,0.34,0.45,2.0,2.0,0.6,2.6,0.23,0.07,0.30,0.23,0.30
524,Maxwel Cornet,CIV,FW,Olympique Lyon,Ligue 1,21,1996,27,12,1281,14.2,7,5,7,0,0,2,0,0.49,0.35,0.84,0.49,0.84,7.0,7.0,3.9,10.9,0.49,0.28,0.77,0.49,0.77
525,Quentin Cornette,FRA,MF,Amiens SC,Ligue 1,24,1994,5,3,209,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.16,0.00,0.16,0.16,0.16
526,Ángel Correa,ARG,MF,Atlético de Madrid,La Liga,23,1995,36,20,1919,21.3,3,2,3,0,0,7,1,0.14,0.09,0.23,0.14,0.23,2.2,2.2,4.4,6.6,0.10,0.21,0.31,0.10,0.31
527,Joaquín Correa,ARG,FW,SS Lazio,Serie A,23,1994,34,18,1927,21.4,5,6,5,0,0,5,0,0.23,0.28,0.51,0.23,0.51,7.0,7.0,5.2,12.1,0.33,0.24,0.57,0.33,0.57
528,Danny da Costa,DEU,DF,Eintracht Frankfurt,Bundesliga,25,1993,34,34,3033,33.7,2,4,2,0,0,1,0,0.06,0.12,0.18,0.06,0.18,3.0,3.0,3.8,6.8,0.09,0.11,0.20,0.09,0.20
529,Diego Costa,ESP,FW,Atlético de Madrid,La Liga,29,1988,16,14,1112,12.4,2,2,2,0,0,4,1,0.16,0.16,0.32,0.16,0.32,1.6,1.6,1.7,3.2,0.13,0.13,0.26,0.13,0.26
530,Douglas Costa,BRA,FW,Juventus FC,Serie A,27,1990,17,7,621,6.9,1,0,1,0,0,2,1,0.14,0.00,0.14,0.14,0.14,0.7,0.7,1.8,2.5,0.11,0.26,0.36,0.11,0.36
531,Filippo Costa,ITA,MF,SPAL,Serie A,23,1995,9,6,564,6.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.8,0.05,0.08,0.13,0.05,0.13
532,Hélder Costa,PRT,FW,Wolverhampton Wanderers,Premier League,24,1994,25,16,1341,14.9,1,2,1,0,0,3,0,0.07,0.13,0.20,0.07,0.20,2.4,2.4,1.6,4.0,0.16,0.11,0.27,0.16,0.27
533,Jaume Costa,ESP,DF,Villarreal CF,La Liga,30,1988,21,18,1495,16.6,1,0,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06,0.6,0.6,0.8,1.4,0.04,0.05,0.09,0.04,0.09
534,Nuno Da Costa,CPV,FW,RC Strasbourg Alsace,Ligue 1,27,1991,34,22,2052,22.8,8,5,7,1,1,3,0,0.35,0.22,0.57,0.31,0.53,5.7,4.9,3.3,8.2,0.25,0.14,0.39,0.22,0.36
535,David Costas,ESP,DF,Celta de Vigo,La Liga,23,1995,15,13,1173,13.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01
536,Benoît Costil,FRA,GK,FC Girondins Bordeaux,Ligue 1,31,1987,37,37,3330,37.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00
537,Kalifa Coulibaly,MLI,FW,FC Nantes,Ligue 1,26,1991,32,19,1751,19.5,8,2,7,1,1,6,1,0.41,0.10,0.51,0.36,0.46,7.9,7.1,1.3,8.4,0.41,0.07,0.47,0.37,0.43
538,Senou Coulibaly,MLI,DF,Dijon FCO,Ligue 1,23,1994,9,6,411,4.6,1,0,1,0,0,1,1,0.22,0.00,0.22,0.22,0.22,0.1,0.1,0.4,0.5,0.03,0.09,0.12,0.03,0.12
539,Thibaut Courtois,BEL,GK,Real Madrid,La Liga,26,1992,27,27,2430,27.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
540,Philippe Coutinho,BRA,FW,FC Barcelona,La Liga,26,1992,34,22,2018,22.4,5,2,5,0,0,2,0,0.22,0.09,0.31,0.22,0.31,7.2,7.2,3.5,10.6,0.32,0.15,0.47,0.32,0.47
541,Nicolas Cozza,FRA,DF,Montpellier HSC,Ligue 1,19,1999,12,11,984,10.9,0,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,0.0,0.0,0.4,0.4,0.00,0.04,0.04,0.00,0.04
542,Alessio Cragno,ITA,GK,Cagliari Calcio,Serie A,24,1994,38,38,3420,38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
543,Aaron Cresswell,ENG,DF,West Ham United,Premier League,28,1989,20,18,1589,17.7,0,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.5,0.5,1.1,1.6,0.03,0.06,0.09,0.03,0.09
544,Domenico Criscito,ITA,DF,Genoa CFC,Serie A,31,1986,35,35,3070,34.1,2,4,1,1,1,12,1,0.06,0.12,0.18,0.03,0.15,1.7,0.9,3.7,4.6,0.05,0.11,0.16,0.03,0.14
545,Lorenzo Crisetig,ITA,MF,Frosinone Calcio,Serie A,25,1993,8,5,507,5.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.04,0.04,0.00,0.04
546,Bryan Cristante,ITA,MF,AS Roma,Serie A,23,1995,35,26,2425,26.9,4,3,4,0,0,10,0,0.15,0.11,0.26,0.15,0.26,4.0,4.0,1.5,5.5,0.15,0.06,0.21,0.15,0.21
547,Sebastián Cristóforo,URY,MF,Getafe CF,La Liga,24,1993,15,4,450,5.0,0,2,0,0,0,3,0,0.00,0.40,0.40,0.00,0.40,0.0,0.0,0.5,0.5,0.00,0.09,0.10,0.00,0.10
548,Enzo Crivelli,FRA,FW,SM Caen,Ligue 1,23,1995,33,28,2260,25.1,6,1,6,0,0,7,0,0.24,0.04,0.28,0.24,0.28,5.4,5.4,0.8,6.2,0.21,0.03,0.25,0.21,0.25
549,Peter Crouch,ENG,FW,Burnley FC,Premier League,37,1981,6,0,92,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.35,0.00,0.35,0.35,0.35
550,Alessio Da Cruz,NLD,FW,Parma Calcio 1913,Serie A,21,1997,3,1,144,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02
551,Juan Cuadrado,COL,MF,Juventus FC,Serie A,30,1988,18,14,1220,13.6,1,2,1,0,0,4,0,0.07,0.15,0.22,0.07,0.22,1.2,1.2,1.8,3.0,0.09,0.13,0.22,0.09,0.22
552,Cucho Hernández,COL,FW,SD Huesca,La Liga,19,1999,34,25,2150,23.9,4,3,2,2,2,6,0,0.17,0.13,0.29,0.08,0.21,10.0,8.5,2.1,10.5,0.42,0.09,0.50,0.35,0.44
553,Marc Cucurella,ESP,MF,SD Eibar,La Liga,20,1998,31,26,2354,26.2,1,2,1,0,0,6,0,0.04,0.08,0.11,0.04,0.11,1.8,1.8,3.4,5.2,0.07,0.13,0.20,0.07,0.20
554,Iván Cuéllar,ESP,GK,CD Leganés,La Liga,34,1984,34,34,3055,33.9,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
555,Michaël Cuisance,FRA,MF,Borussia Mönchengladbach,Bundesliga,18,1999,11,1,279,3.1,0,1,0,0,0,3,0,0.00,0.32,0.32,0.00,0.32,0.4,0.4,0.1,0.5,0.14,0.03,0.17,0.14,0.17
556,Matheus Cunha,BRA,FW,RB Leipzig,Bundesliga,19,1999,25,9,853,9.5,2,0,2,0,0,1,0,0.21,0.00,0.21,0.21,0.21,3.5,3.5,0.9,4.4,0.37,0.10,0.46,0.37,0.46
557,Greg Cunningham,IRL,DF,Cardiff City,Premier League,27,1991,7,7,630,7.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.02,0.03,0.00,0.03
558,Patrick Cutrone,ITA,FW,AC Milan,Serie A,20,1998,34,12,1457,16.2,3,2,3,0,0,2,0,0.19,0.12,0.31,0.19,0.31,4.1,4.1,2.4,6.5,0.25,0.15,0.40,0.25,0.40
559,Wylan Cyprien,FRA,MF,OGC Nice,Ligue 1,23,1995,29,27,2360,26.2,4,1,3,1,2,2,1,0.15,0.04,0.19,0.11,0.15,5.0,3.4,3.8,7.3,0.19,0.15,0.34,0.13,0.28
560,Marco D'Alessandro,ITA,DF,Udinese Calcio,Serie A,27,1991,24,16,1495,16.6,0,2,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,0.8,0.7,1.6,2.3,0.05,0.10,0.14,0.04,0.14
561,Danilo D'Ambrosio,ITA,DF,Inter Milan,Serie A,29,1988,30,29,2579,28.7,2,5,2,0,0,6,0,0.07,0.17,0.24,0.07,0.24,2.3,2.3,3.9,6.2,0.08,0.14,0.22,0.08,0.22
562,Damien Da Silva,FRA,DF,Stade Rennais FC,Ligue 1,30,1988,33,32,2874,31.9,2,1,2,0,0,4,0,0.06,0.03,0.09,0.06,0.09,1.3,1.3,0.1,1.5,0.04,0.00,0.05,0.04,0.05
563,Kouadio-Yves Dabila,CIV,DF,LOSC Lille,Ligue 1,21,1997,12,8,782,8.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01
564,Abdoulaye Dabo,FRA,FW,FC Nantes,Ligue 1,17,2001,2,2,116,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.14,0.14,0.00,0.14
565,Bryan Dabo,BFA,MF,ACF Fiorentina,Serie A,26,1992,23,6,831,9.2,1,1,1,0,0,4,0,0.11,0.11,0.22,0.11,0.22,1.0,1.0,0.7,1.8,0.11,0.08,0.19,0.11,0.19
566,Christoph Daferner,DEU,FW,SC Freiburg,Bundesliga,20,1998,1,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
567,Colin Dagba,FRA,DF,Paris Saint-Germain,Ligue 1,19,1998,17,9,918,10.2,0,2,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20,0.1,0.1,1.4,1.5,0.01,0.14,0.14,0.01,0.14
568,Mahmoud Dahoud,DEU,MF,Borussia Dortmund,Bundesliga,22,1996,14,7,697,7.7,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,0.7,0.7,0.8,1.6,0.09,0.11,0.20,0.09,0.20
569,Leon Dajaku,DEU,MF,VfB Stuttgart,Bundesliga,17,2001,2,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
570,Felipe,BRA,DF,SPAL,Serie A,34,1984,30,27,2361,26.2,3,2,3,0,0,13,0,0.11,0.08,0.19,0.11,0.19,2.1,2.1,0.1,2.2,0.08,0.00,0.08,0.08,0.08
571,Nicola Dalmonte,ITA,MF,Genoa CFC,Serie A,20,1997,3,0,44,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.54,0.07,0.60,0.54,0.60
572,Diogo Dalot,PRT,DF,Manchester United,Premier League,19,1999,16,12,1013,11.3,0,2,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,0.4,0.4,1.7,2.1,0.04,0.15,0.19,0.04,0.19
