Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,TouchesLive,DribSucc,DribAtt,DribSucc%,DribPl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,PR_Prog
47,Miiko Albornoz,CHL,DF,Hannover 96,Bundesliga,27,1990,18.4,1165,56,357,570,317,15,964,9,22,40.9,10,1,700,3244,1704,78,26,4,20,19,720,647,89.9,43
48,Marc Albrighton,ENG,FW,Leicester City,Premier League,28,1989,18.1,991,42,198,429,428,27,963,22,45,48.9,24,3,765,3812,1662,84,30,3,27,36,835,676,81.0,103
49,Paco Alcácer,ESP,FW,Borussia Dortmund,Bundesliga,24,1993,13.5,403,6,17,162,233,78,370,7,11,63.6,9,0,252,663,312,22,1,5,31,13,479,295,61.6,124
50,Pedro Alcalá,ESP,DF,Girona FC,La Liga,29,1989,20.8,1125,191,702,443,39,20,1080,4,6,66.7,5,0,618,3249,1713,35,5,0,6,4,636,612,96.2,15
51,Thiago,ESP,MF,Bayern Munich,Bundesliga,27,1991,26.8,2823,55,555,1896,567,32,2690,52,61,85.2,54,0,2197,10071,5176,233,62,3,13,24,2171,2100,96.7,85
52,Rubén Alcaraz,ESP,MF,Real Valladolid CF,La Liga,27,1991,33.1,2164,91,579,1399,334,21,2069,24,41,58.5,27,1,1520,7443,3451,121,38,1,30,33,1408,1330,94.5,40
53,Toby Alderweireld,BEL,DF,Tottenham Hotspur,Premier League,29,1989,32.5,2632,297,1387,1309,115,20,2554,2,4,50.0,2,0,1830,9324,4906,123,23,0,3,3,1925,1899,98.6,19
54,Alex Alegría,ESP,FW,Rayo Vallecano,La Liga,25,1992,1.6,62,0,7,31,31,8,59,5,11,45.5,6,0,46,110,52,4,1,2,6,2,80,45,56.3,18
55,Alexis Alégué,FRA,FW,FC Nantes,Ligue 1,21,1996,0.1,3,0,0,1,2,0,3,0,0,,0,0,2,0,0,0,0,0,1,1,5,3,60.0,1
56,Iván Alejo,ESP,MF,Getafe CF,La Liga,23,1995,1.6,68,1,10,37,31,1,65,7,9,77.8,7,0,55,282,130,8,4,0,6,8,64,48,75.0,10
57,Carles Aleñá,ESP,MF,FC Barcelona,La Liga,20,1998,7.1,665,3,64,423,233,13,654,11,17,64.7,11,0,571,2779,1450,72,28,3,13,9,626,580,92.7,38
58,Rúnar Alex Rúnarsson,ISL,GK,Dijon FCO,Ligue 1,23,1995,25.0,897,727,894,4,0,0,624,3,3,100.0,3,0,458,1608,848,0,0,0,2,0,374,374,100.0,0
59,Alexander Szymanowski,ARG,DF,CD Leganés,La Liga,29,1988,0.1,9,0,3,3,4,0,7,0,0,,0,0,4,15,3,0,0,0,0,0,4,4,100.0,1
60,Trent Alexander-Arnold,ENG,DF,Liverpool FC,Premier League,19,1998,27.4,2492,84,585,1171,862,44,2056,20,39,51.3,23,3,1608,5900,3432,160,55,5,28,16,1647,1543,93.7,94
61,Rachid Alioui,MAR,FW,Nîmes Olympique,Ligue 1,26,1992,13.9,525,7,30,225,301,57,502,11,17,64.7,12,0,332,1585,781,40,16,5,24,9,607,374,61.6,128
62,Alisson,BRA,GK,Liverpool FC,Premier League,25,1992,38.0,1341,1133,1335,8,0,0,1049,1,1,100.0,1,0,777,2824,1581,1,0,0,2,1,671,671,100.0,0
63,Bobby Allain,FRA,GK,Dijon FCO,Ligue 1,26,1991,13.0,514,439,513,1,0,0,345,0,0,,0,0,230,1140,730,0,0,0,0,0,146,146,100.0,0
64,Allan,BRA,MF,SSC Napoli,Serie A,27,1991,29.1,2583,80,551,1680,519,34,2489,56,78,71.8,58,2,2066,9393,5237,238,60,13,30,38,1998,1886,94.4,65
65,Allan,BRA,MF,Eintracht Frankfurt,Bundesliga,21,1997,2.0,85,1,15,50,32,1,83,1,2,50.0,1,0,49,265,115,6,5,1,0,1,49,45,91.8,6
66,Dele Alli,ENG,MF,Tottenham Hotspur,Premier League,22,1996,20.3,1313,31,168,667,567,104,1282,28,57,49.1,33,6,1001,4547,2332,106,37,13,41,33,1214,965,79.5,220
67,Miguel Almirón,PRY,FW,Newcastle United,Premier League,24,1994,8.4,384,9,60,168,199,30,380,7,16,43.8,10,4,294,2195,1388,65,24,9,21,14,391,242,61.9,61
68,Júnior Alonso,PRY,DF,Celta de Vigo,La Liga,25,1993,6.0,375,22,108,215,63,8,344,2,6,33.3,2,0,226,742,390,21,7,0,4,2,251,230,91.6,11
69,Marcos Alonso,ESP,DF,Chelsea FC,Premier League,27,1990,30.7,2614,119,720,1157,903,88,2336,22,36,61.1,25,0,1798,8663,5152,255,70,7,28,42,1866,1706,91.4,141
70,Mickaël Alphonse,GLP,DF,Dijon FCO,Ligue 1,29,1989,6.3,379,25,109,170,120,8,319,3,3,100.0,3,0,212,1199,751,37,12,1,6,5,207,193,93.2,14
71,Sergio Álvarez,ESP,GK,Celta de Vigo,La Liga,31,1986,13.0,480,435,480,0,0,0,333,0,0,,0,0,246,1135,713,0,0,0,0,0,193,193,100.0,0
72,Sergio Álvarez,ESP,MF,SD Eibar,La Liga,26,1992,11.9,621,48,184,410,54,8,613,3,3,100.0,3,0,370,1721,648,18,4,0,2,8,353,337,95.5,5
73,Yeray Álvarez,ESP,DF,Athletic Bilbao,La Liga,23,1995,29.0,1623,177,803,883,56,19,1566,4,6,66.7,5,0,930,5510,3250,85,15,0,7,12,925,910,98.4,12
74,Bruno Alves,PRT,DF,Parma Calcio 1913,Serie A,36,1981,32.5,1549,323,960,609,76,30,1471,5,5,100.0,5,0,793,4964,2628,45,1,0,4,3,824,806,97.8,23
75,Dani Alves,BRA,MF,Paris Saint-Germain,Ligue 1,35,1983,18.0,1775,28,272,1078,547,41,1693,24,36,66.7,25,0,1383,5244,3072,143,52,7,13,28,1513,1407,93.0,110
76,Alfons Amade,DEU,MF,TSG 1899 Hoffenheim,Bundesliga,18,1999,0.1,6,2,2,3,2,1,6,0,0,,0,0,1,6,4,0,1,0,0,0,2,2,100.0,1
