Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Min/90,P_Cmp,P_Att,P_Cmp%,P_TotDist,P_PrgDist,PS_Cmp,PS_Att,PS_Cmp%,PM_Cmp,PM_Att,PM_Cmp%,PL_Cmp,PL_Att,PL_Cmp%,Ast,xA,A-xA,P_KP,P_1/3,P_PPA,P_CrsPA,P_Prog
11,Afriyie Acquah,GHA,MF,FC Empoli,Serie A,26,1992,16.8,591,735,80.4,10181,2575,279,311,89.7,266,316,84.2,43,84,51.2,0,0.6,-0.6,11,64,14,3,60
12,Tyler Adams,USA,MF,RB Leipzig,Bundesliga,19,1999,8.0,416,516,80.6,6997,2224,208,249,83.5,162,193,83.9,40,56,71.4,2,0.7,+1.3,5,49,4,0,52
13,Antonio Adán,ESP,GK,Atlético de Madrid,La Liga,31,1987,1.0,12,24,50.0,369,247,1,1,100.0,6,6,100.0,5,17,29.4,0,0.0,0.0,0,0,0,0,0
14,Aday Benítez,ESP,DF,Girona FC,La Liga,30,1987,7.2,230,325,70.8,4875,1724,81,91,89.0,97,126,77.0,46,94,48.9,2,0.8,+1.2,14,8,10,10,12
15,Khaled Adénon,BEN,DF,Amiens SC,Ligue 1,33,1985,22.2,842,967,87.1,19080,6527,203,230,88.3,453,486,93.2,179,239,74.9,0,0.1,-0.1,3,62,4,0,63
16,Claud Adjapong,ITA,MF,US Sassuolo,Serie A,20,1998,3.0,77,101,76.2,1199,378,41,50,82.0,28,33,84.8,6,8,75.0,0,0.1,-0.1,2,2,3,0,4
17,Yacine Adli,FRA,MF,FC Girondins Bordeaux,Ligue 1,18,2000,2.4,111,151,73.5,1935,591,48,60,80.0,49,63,77.8,11,23,47.8,0,0.9,-0.9,6,13,3,1,16
18,Ali Adnan,IRQ,MF,Atalanta BC,Serie A,24,1993,1.8,78,123,63.4,1504,612,35,48,72.9,32,46,69.6,10,23,43.5,0,0.2,-0.2,3,6,2,1,10
19,Aritz Aduriz,ESP,FW,Athletic Bilbao,La Liga,37,1981,10.5,149,237,62.9,2052,331,92,135,68.1,44,74,59.5,7,17,41.2,0,0.4,-0.4,5,10,3,1,8
20,Luis Advíncula,PER,DF,Rayo Vallecano,La Liga,28,1990,26.5,980,1204,81.4,17749,6575,464,506,91.7,413,487,84.8,96,172,55.8,3,1.8,+1.2,15,55,24,13,70
21,Martín Aguirregabiria,ESP,DF,Deportivo Alavés,La Liga,22,1996,22.6,673,968,69.5,11708,5682,311,366,85.0,301,410,73.4,56,159,35.2,0,0.4,-0.4,8,63,14,5,92
22,Nayef Aguerd,MAR,DF,Dijon FCO,Ligue 1,22,1996,11.7,452,577,78.3,10088,4103,130,143,90.9,233,260,89.6,85,162,52.5,0,0.1,-0.1,2,37,3,1,24
23,Sergio Agüero,ARG,FW,Manchester City,Premier League,30,1988,27.3,665,785,84.7,9245,1686,393,445,88.3,225,262,85.9,20,33,60.6,8,5.5,+2.5,34,37,44,1,64
24,Ruben Aguilar,FRA,DF,Montpellier HSC,Ligue 1,25,1993,28.1,1328,1642,80.9,22716,9218,666,747,89.2,541,646,83.7,112,204,54.9,4,3.2,+0.8,46,77,47,24,145
25,Juan Aguilera,ESP,MF,SD Huesca,La Liga,32,1985,3.8,163,185,88.1,2694,771,87,95,91.6,65,73,89.0,11,17,64.7,0,0.0,0.0,1,16,3,1,11
26,Emmanuel Badu,GHA,MF,Udinese Calcio,Serie A,27,1990,1.8,26,31,83.9,475,61,12,15,80.0,9,10,90.0,4,4,100.0,0,0.0,0.0,1,1,0,0,0
27,Jean-Eudes Aholou,CIV,MF,AS Monaco,Ligue 1,24,1994,11.9,465,552,84.2,8682,2135,177,207,85.5,228,251,90.8,51,80,63.8,1,0.2,+0.8,4,48,4,0,53
28,Antonis Aidonis,DEU,DF,VfB Stuttgart,Bundesliga,17,2001,0.9,14,34,41.2,276,169,6,9,66.7,5,14,35.7,3,8,37.5,0,0.0,0.0,0,2,2,1,3
29,Ola Aina,NGA,DF,Torino FC,Serie A,21,1996,24.0,845,1160,72.8,14588,6204,418,479,87.3,314,430,73.0,94,194,48.5,3,2.1,+0.9,24,52,31,14,89
30,Youssef Aït Bennasser,MAR,MF,AS Saint-Étienne,Ligue 1,22,1996,10.4,580,664,87.3,11601,2501,203,230,88.3,283,312,90.7,87,104,83.7,0,0.4,-0.4,8,45,7,2,57
31,Youssef Aït Bennasser,MAR,MF,AS Monaco,Ligue 1,22,1996,11.9,638,739,86.3,13365,3614,202,221,91.4,317,345,91.9,114,157,72.6,2,1.0,+1.0,13,75,6,0,67
32,Rayan Aït Nouri,FRA,DF,SCO Angers,Ligue 1,17,2001,0.6,30,33,90.9,364,152,23,23,100.0,6,9,66.7,0,0,,0,0.0,0.0,0,2,1,0,1
33,Ludovic Ajorque,REU,FW,RC Strasbourg Alsace,Ligue 1,24,1994,17.0,355,467,76.0,5737,672,204,261,78.2,105,133,78.9,38,50,76.0,1,1.0,0.0,12,18,7,2,20
34,Manuel Akanji,CHE,DF,Borussia Dortmund,Bundesliga,23,1995,24.5,1698,1828,92.9,37754,11043,444,474,93.7,902,938,96.2,343,400,85.8,0,0.4,-0.4,6,110,4,3,93
35,Carlos Akapo,GNQ,DF,SD Huesca,La Liga,25,1993,11.4,346,442,78.3,5601,2530,184,210,87.6,124,166,74.7,31,47,66.0,0,0.3,-0.3,3,20,5,0,25
36,Nathan Aké,NLD,DF,AFC Bournemouth,Premier League,23,1995,37.9,1469,1701,86.4,30143,10917,453,510,88.8,797,873,91.3,212,296,71.6,0,0.8,-0.8,5,92,7,3,71
37,Sergio Akieme,ESP,DF,Rayo Vallecano,La Liga,20,1997,2.0,70,89,78.7,1135,425,41,44,93.2,24,30,80.0,4,13,30.8,1,0.1,+0.9,2,6,1,1,5
38,Chadrac Akolo,COD,MF,VfB Stuttgart,Bundesliga,23,1995,5.8,122,160,76.3,1759,441,74,83,89.2,44,57,77.2,3,11,27.3,1,0.3,+0.7,5,4,6,2,15
39,Kevin Akpoguma,NGA,DF,TSG 1899 Hoffenheim,Bundesliga,23,1995,5.5,229,271,84.5,4537,1630,80,87,92.0,118,125,94.4,30,51,58.8,0,0.0,0.0,0,27,0,0,28
40,Kevin Akpoguma,NGA,DF,Hannover 96,Bundesliga,23,1995,3.5,140,169,82.8,3215,1096,31,35,88.6,81,89,91.0,28,42,66.7,0,0.0,0.0,0,14,3,0,13
41,David Alaba,AUT,DF,Bayern Munich,Bundesliga,26,1992,28.1,1768,2137,82.7,30706,10327,831,933,89.1,761,875,87.0,161,277,58.1,3,4.9,-1.9,34,162,46,24,148
42,Sofiane Alakouch,FRA,DF,Nîmes Olympique,Ligue 1,20,1998,21.1,837,1104,75.8,13415,6145,476,547,87.0,290,366,79.2,58,142,40.8,0,1.8,-1.8,23,54,15,3,72
43,Lucas Alario,ARG,FW,Bayer 04 Leverkusen,Bundesliga,25,1992,14.1,304,391,77.7,4025,659,191,234,81.6,72,102,70.6,21,22,95.5,3,1.9,+1.1,15,8,8,1,20
44,Jordi Alba,ESP,DF,FC Barcelona,La Liga,29,1989,33.2,2305,2686,85.8,36567,13309,1283,1393,92.1,856,986,86.8,145,233,62.2,8,5.2,+2.8,44,141,60,18,213
45,Luis Alberto,ESP,MF,SS Lazio,Serie A,25,1992,22.1,1121,1479,75.8,20363,7417,538,611,88.1,419,505,83.0,144,312,46.2,5,6.1,-1.1,80,141,62,8,191
46,Raúl Albiol,ESP,DF,SSC Napoli,Serie A,32,1985,19.0,1000,1126,88.8,24705,7512,191,202,94.6,513,548,93.6,292,360,81.1,0,1.0,-1.0,5,89,4,1,59
47,Miiko Albornoz,CHL,DF,Hannover 96,Bundesliga,27,1990,18.4,725,972,74.6,13709,5478,305,345,88.4,309,390,79.2,107,208,51.4,3,1.4,+1.6,16,55,22,8,78
48,Marc Albrighton,ENG,FW,Leicester City,Premier League,28,1989,18.1,459,776,59.1,8932,3604,224,285,78.6,144,222,64.9,80,207,38.6,2,3.1,-1.1,30,48,29,12,83
49,Paco Alcácer,ESP,FW,Borussia Dortmund,Bundesliga,24,1993,13.5,210,274,76.6,2570,462,147,184,79.9,45,59,76.3,9,19,47.4,0,2.5,-2.5,17,10,8,0,18
50,Pedro Alcalá,ESP,DF,Girona FC,La Liga,29,1989,20.8,698,843,82.8,16867,5451,147,165,89.1,401,434,92.4,149,235,63.4,1,0.3,+0.7,4,37,6,0,40
51,Thiago,ESP,MF,Bayern Munich,Bundesliga,27,1991,26.8,2327,2573,90.4,49919,12379,759,808,93.9,1087,1155,94.1,469,580,80.9,6,2.8,+3.2,34,276,26,0,257
52,Rubén Alcaraz,ESP,MF,Real Valladolid CF,La Liga,27,1991,33.1,1435,1748,82.1,30948,7169,483,540,89.4,655,724,90.5,278,439,63.3,2,1.3,+0.7,20,170,2,0,107
53,Toby Alderweireld,BEL,DF,Tottenham Hotspur,Premier League,29,1989,32.5,2067,2342,88.3,50426,14985,431,463,93.1,1123,1190,94.4,511,677,75.5,0,0.6,-0.6,7,193,23,1,127
54,Alex Alegría,ESP,FW,Rayo Vallecano,La Liga,25,1992,1.6,24,38,63.2,367,75,16,22,72.7,5,8,62.5,2,4,50.0,0,0.3,-0.3,3,2,1,0,3
55,Alexis Alégué,FRA,FW,FC Nantes,Ligue 1,21,1996,0.1,1,1,100.0,7,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
56,Iván Alejo,ESP,MF,Getafe CF,La Liga,23,1995,1.6,16,41,39.0,329,108,6,14,42.9,5,13,38.5,4,12,33.3,0,0.1,-0.1,1,2,2,1,2
57,Carles Aleñá,ESP,MF,FC Barcelona,La Liga,20,1998,7.1,540,587,92.0,9394,1852,260,270,96.3,221,236,93.6,53,67,79.1,0,0.7,-0.7,9,58,5,0,39
58,Rúnar Alex Rúnarsson,ISL,GK,Dijon FCO,Ligue 1,23,1995,25.0,581,831,69.9,20037,13462,58,61,95.1,258,265,97.4,264,502,52.6,0,0.0,0.0,0,13,0,0,0
59,Alexander Szymanowski,ARG,DF,CD Leganés,La Liga,29,1988,0.1,4,7,57.1,45,34,4,4,100.0,0,1,0.0,0,2,0.0,0,0.0,0.0,0,0,0,0,1
60,Trent Alexander-Arnold,ENG,DF,Liverpool FC,Premier League,19,1998,27.4,1644,2213,74.3,34938,13658,575,661,87.0,763,936,81.5,293,560,52.3,12,6.2,+5.8,48,129,59,25,197
61,Rachid Alioui,MAR,FW,Nîmes Olympique,Ligue 1,26,1992,13.9,273,383,71.3,3904,805,171,208,82.2,73,113,64.6,13,32,40.6,0,1.2,-1.2,19,16,16,3,30
62,Alisson,BRA,GK,Liverpool FC,Premier League,25,1992,38.0,1039,1262,82.3,30318,16760,110,112,98.2,571,583,97.9,357,565,63.2,0,0.0,0.0,0,12,0,0,0
63,Bobby Allain,FRA,GK,Dijon FCO,Ligue 1,26,1991,13.0,288,466,61.8,11722,9063,20,20,100.0,97,103,94.2,171,343,49.9,0,0.0,0.0,0,10,0,0,0
64,Allan,BRA,MF,Eintracht Frankfurt,Bundesliga,21,1997,2.0,43,65,66.2,934,248,17,27,63.0,16,25,64.0,9,11,81.8,0,0.0,0.0,1,5,1,0,6
65,Allan,BRA,MF,SSC Napoli,Serie A,27,1991,29.1,1981,2235,88.6,36605,9892,848,931,91.1,856,932,91.8,260,324,80.2,3,3.3,-0.3,36,267,37,1,198
66,Dele Alli,ENG,MF,Tottenham Hotspur,Premier League,22,1996,20.3,843,1050,80.3,13914,3358,413,483,85.5,346,409,84.6,62,100,62.0,3,2.4,+0.6,28,81,32,2,96
67,Miguel Almirón,PRY,FW,Newcastle United,Premier League,24,1994,8.4,188,260,72.3,3320,863,91,109,83.5,67,87,77.0,26,40,65.0,0,0.8,-0.8,12,16,14,9,19
68,Júnior Alonso,PRY,DF,Celta de Vigo,La Liga,25,1993,6.0,237,319,74.3,4324,1897,97,115,84.3,111,140,79.3,26,56,46.4,0,0.2,-0.2,5,20,4,3,23
69,Marcos Alonso,ESP,DF,Chelsea FC,Premier League,27,1990,30.7,1838,2226,82.6,29324,9874,984,1071,91.9,713,858,83.1,114,224,50.9,4,3.9,+0.1,31,114,23,9,129
70,Mickaël Alphonse,GLP,DF,Dijon FCO,Ligue 1,29,1989,6.3,197,307,64.2,3517,1385,89,106,84.0,78,112,69.6,28,79,35.4,0,0.4,-0.4,8,18,4,2,22
71,Sergio Álvarez,ESP,GK,Celta de Vigo,La Liga,31,1986,13.0,293,444,66.0,10207,7465,35,35,100.0,133,136,97.8,125,272,46.0,0,0.0,0.0,0,5,0,0,0
72,Sergio Álvarez,ESP,MF,SD Eibar,La Liga,26,1992,11.9,404,496,81.5,8804,1867,121,141,85.8,198,226,87.6,83,120,69.2,0,0.0,0.0,2,35,0,0,24
73,Yeray Álvarez,ESP,DF,Athletic Bilbao,La Liga,23,1995,29.0,1027,1247,82.4,22656,8314,292,323,90.4,526,582,90.4,205,331,61.9,0,0.0,0.0,1,78,5,1,66
74,Bruno Alves,PRT,DF,Parma Calcio 1913,Serie A,36,1981,32.5,963,1204,80.0,24965,9484,175,205,85.4,476,543,87.7,309,445,69.4,1,1.3,-0.3,10,63,2,2,60
75,Dani Alves,BRA,MF,Paris Saint-Germain,Ligue 1,35,1983,18.0,1327,1589,83.5,21324,7177,725,784,92.5,466,544,85.7,106,187,56.7,7,7.0,0.0,33,143,50,12,165
76,Alfons Amade,DEU,MF,TSG 1899 Hoffenheim,Bundesliga,18,1999,0.1,1,2,50.0,13,3,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
77,Ibrahim Amadou,FRA,MF,Sevilla FC,La Liga,25,1993,8.5,313,365,85.8,5925,1258,131,146,89.7,135,154,87.7,42,52,80.8,0,0.1,-0.1,4,17,2,0,23
78,Romain Amalfitano,FRA,MF,Dijon FCO,Ligue 1,28,1989,28.0,839,1071,78.3,17547,4607,308,369,83.5,355,413,86.0,163,260,62.7,0,0.9,-0.9,15,107,29,6,108
79,Daniel Amartey,GHA,DF,Leicester City,Premier League,23,1994,7.1,354,433,81.8,6665,2943,147,162,90.7,162,191,84.8,43,75,57.3,0,0.2,-0.2,3,31,0,0,31
80,Jordi Amat,ESP,DF,Rayo Vallecano,La Liga,26,1992,30.7,1081,1289,83.9,23563,8418,330,376,87.8,532,585,90.9,210,302,69.5,0,0.1,-0.1,4,71,0,0,83
81,Amath Ndiaye,SEN,MF,Getafe CF,La Liga,22,1996,11.1,151,217,69.6,2506,840,88,109,80.7,47,67,70.1,16,31,51.6,2,0.7,+1.3,9,13,10,4,23
82,Jordan Amavi,FRA,DF,Olympique Marseille,Ligue 1,24,1994,24.2,967,1295,74.7,18118,5676,377,449,84.0,458,586,78.2,123,212,58.0,2,1.9,+0.1,24,58,20,14,100
83,Kelvin Amian,FRA,DF,FC Toulouse,Ligue 1,20,1998,32.0,938,1188,79.0,15948,6779,493,552,89.3,328,413,79.4,98,174,56.3,1,0.7,+0.3,8,75,10,3,86
84,Nadiem Amiri,DEU,MF,TSG 1899 Hoffenheim,Bundesliga,21,1996,8.4,327,382,85.6,5679,1463,151,168,89.9,134,148,90.5,37,54,68.5,1,1.7,-0.7,17,26,10,2,45
85,Yanis Ammour,FRA,MF,Montpellier HSC,Ligue 1,19,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
86,Luke Amos,ENG,MF,Tottenham Hotspur,Premier League,21,1997,0.0,1,2,50.0,13,3,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
87,Joachim Andersen,DNK,DF,UC Sampdoria,Serie A,22,1996,32.0,1816,2048,88.7,40867,12600,476,520,91.5,954,1015,94.0,375,492,76.2,1,0.5,+0.5,6,150,6,1,137
88,Felipe Anderson,BRA,FW,West Ham United,Premier League,25,1993,33.8,1328,1819,73.0,22850,7749,671,809,82.9,442,575,76.9,163,310,52.6,4,6.7,-2.7,60,109,89,13,187
89,Florin Andone,ROU,FW,Brighton & Hove Albion,Premier League,25,1993,9.8,122,180,67.8,1667,216,64,91,70.3,44,61,72.1,4,9,44.4,0,0.1,-0.1,2,4,2,1,5
90,Benjamin André,FRA,MF,Stade Rennais FC,Ligue 1,27,1990,27.7,1182,1479,79.9,20444,5361,557,650,85.7,492,595,82.7,108,173,62.4,1,1.2,-0.2,22,111,23,2,132
91,Marco Andreolli,ITA,DF,Cagliari Calcio,Serie A,32,1986,1.2,62,69,89.9,1502,392,10,11,90.9,38,39,97.4,14,19,73.7,0,0.0,0.0,0,1,0,0,5
92,Marco Andreolli,ITA,DF,Chievo Verona,Serie A,32,1986,7.2,191,233,82.0,4437,1197,41,48,85.4,108,115,93.9,42,68,61.8,0,0.0,0.0,0,9,0,0,7
93,Yoann Andreu,FRA,DF,SCO Angers,Ligue 1,29,1989,0.0,1,1,100.0,10,9,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
94,Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,34,1984,11.0,292,362,80.7,9462,5487,31,31,100.0,123,124,99.2,138,207,66.7,0,0.0,0.0,0,0,0,0,0
95,José Ángel,ESP,DF,SD Eibar,La Liga,28,1989,33.6,1403,2147,65.3,32444,15589,414,477,86.8,646,846,76.4,332,759,43.7,1,3.6,-2.6,53,181,76,30,185
96,Cristian Ansaldi,ARG,DF,Torino FC,Serie A,31,1986,20.1,579,878,65.9,12315,5296,224,252,88.9,231,338,68.3,113,254,44.5,2,2.5,-0.5,32,49,48,32,89
97,Mirco Antenucci,ITA,FW,SPAL,Serie A,33,1984,23.7,425,563,75.5,6241,1069,244,305,80.0,145,185,78.4,22,33,66.7,0,1.5,-1.5,19,26,14,3,30
98,Waldemar Anton,DEU,DF,Hannover 96,Bundesliga,22,1996,34.0,1434,1704,84.2,32643,9331,316,367,86.1,814,902,90.2,294,400,73.5,0,0.2,-0.2,5,84,1,1,81
99,Luca Antonelli,ITA,DF,FC Empoli,Serie A,31,1987,8.4,273,379,72.0,4724,2100,130,149,87.2,120,162,74.1,22,61,36.1,1,0.2,+0.8,4,23,5,1,29
100,Mauro Burruchaga,ARG,MF,Chievo Verona,Serie A,20,1998,0.6,31,37,83.8,514,243,13,15,86.7,16,18,88.9,2,3,66.7,0,0.0,0.0,0,4,1,0,7
101,Michail Antonio,ENG,FW,West Ham United,Premier League,28,1990,23.4,513,777,66.0,8177,2307,286,357,80.1,172,265,64.9,41,106,38.7,4,3.4,+0.6,20,43,19,8,59
102,Antoñito,ESP,DF,Real Valladolid CF,La Liga,30,1987,20.7,671,902,74.4,11242,5016,334,368,90.8,268,345,77.7,57,149,38.3,1,1.9,-0.9,23,50,25,13,75
103,Vitorino Antunes,PRT,DF,Getafe CF,La Liga,31,1987,24.2,713,1178,60.5,15239,8474,251,312,80.4,314,453,69.3,136,361,37.7,3,2.7,+0.3,29,77,34,17,88
104,Anuar,MAR,MF,Real Valladolid CF,La Liga,23,1995,12.0,306,401,76.3,5423,1024,143,177,80.8,124,155,80.0,32,51,62.7,0,0.1,-0.1,3,16,2,1,15
105,Dennis Aogo,DEU,MF,VfB Stuttgart,Bundesliga,31,1987,11.4,465,565,82.3,9494,2048,156,169,92.3,217,237,91.6,84,142,59.2,0,1.3,-1.3,14,32,5,3,30
106,Houssem Aouar,FRA,MF,Olympique Lyon,Ligue 1,20,1998,34.0,1801,2069,87.0,32190,7580,833,929,89.7,731,798,91.6,210,269,78.1,7,3.3,+3.7,40,202,38,0,191
107,Emmanuel Apeh,NGA,MF,Celta de Vigo,La Liga,21,1996,0.2,6,7,85.7,68,2,2,3,66.7,2,2,100.0,0,0,,0,0.1,-0.1,1,1,0,0,0
108,Mauro Arambarri,URY,MF,Getafe CF,La Liga,22,1995,29.7,560,804,69.7,12668,3657,199,253,78.7,193,269,71.7,151,243,62.1,2,1.6,+0.4,15,74,8,2,90
109,Guilherme Arana,BRA,MF,Sevilla FC,La Liga,21,1997,7.0,239,295,81.0,3834,1071,123,146,84.2,101,117,86.3,14,24,58.3,0,0.1,-0.1,2,5,1,1,8
110,Charles Aránguiz,CHL,MF,Bayer 04 Leverkusen,Bundesliga,29,1989,21.0,1449,1647,88.0,25633,7427,681,741,91.9,582,649,89.7,159,206,77.2,7,2.8,+4.2,29,154,28,6,181
111,Luiz Araújo,BRA,FW,LOSC Lille,Ligue 1,22,1996,8.7,232,311,74.6,4587,1114,113,132,85.6,75,99,75.8,42,69,60.9,2,1.2,+0.8,12,19,10,5,26
112,Néstor Araújo,MEX,DF,Celta de Vigo,La Liga,26,1991,29.8,1299,1478,87.9,27487,8432,325,360,90.3,777,838,92.7,188,260,72.3,0,0.3,-0.3,4,57,6,2,57
113,Anaitz Arbilla,ESP,DF,SD Eibar,La Liga,31,1987,21.7,855,1094,78.2,21848,7004,177,208,85.1,410,473,86.7,263,398,66.1,2,0.4,+1.6,4,126,6,1,83
114,Joaquín Ardaiz,URY,FW,Frosinone Calcio,Serie A,19,1999,0.2,2,4,50.0,21,0,2,3,66.7,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0
115,Alphonse Areola,FRA,GK,Paris Saint-Germain,Ligue 1,25,1993,21.0,437,508,86.0,11542,7081,75,75,100.0,235,238,98.7,127,194,65.5,0,0.0,0.0,0,1,0,0,0
116,Santiago Arias,COL,DF,Atlético de Madrid,La Liga,26,1992,19.7,821,1037,79.2,13087,5983,427,477,89.5,330,418,78.9,43,100,43.0,1,1.0,0.0,14,46,26,9,97
117,Lorenzo Ariaudo,ITA,DF,Frosinone Calcio,Serie A,29,1989,18.7,512,608,84.2,11247,3475,142,155,91.6,279,306,91.2,89,141,63.1,0,0.2,-0.2,3,27,2,0,19
118,Nicolò Armini,ITA,DF,SS Lazio,Serie A,17,2001,0.4,17,25,68.0,335,126,4,6,66.7,12,14,85.7,1,5,20.0,0,0.0,0.0,0,1,1,0,2
119,Yoël Armougom,FRA,DF,SM Caen,Ligue 1,20,1998,20.6,636,910,69.9,12063,5322,274,327,83.8,267,353,75.6,87,204,42.6,1,1.4,-0.4,15,54,19,10,58
120,Stuart Armstrong,SCO,MF,Southampton FC,Premier League,26,1992,15.9,498,652,76.4,8420,2162,240,295,81.4,199,232,85.8,47,74,63.5,2,1.4,+0.6,28,39,26,2,65
121,José Manuel Arnáiz,ESP,DF,CD Leganés,La Liga,23,1995,1.3,25,32,78.1,337,23,13,17,76.5,11,13,84.6,0,1,0.0,0,0.1,-0.1,1,0,0,0,0
122,Marko Arnautovic,AUT,FW,West Ham United,Premier League,29,1989,22.1,496,655,75.7,7602,1359,295,367,80.4,145,188,77.1,36,49,73.5,4,3.6,+0.4,33,21,17,2,42
123,Maximilian Arnold,DEU,MF,VfL Wolfsburg,Bundesliga,24,1994,31.9,1105,1469,75.2,26432,6633,313,384,81.5,480,560,85.7,306,493,62.1,6,3.4,+2.6,39,116,31,8,134
124,Kepa,ESP,GK,Chelsea FC,Premier League,23,1994,36.0,974,1136,85.7,27156,14923,146,148,98.6,502,511,98.2,324,475,68.2,0,0.0,0.0,0,3,0,0,1
125,Harry Arter,IRL,MF,Cardiff City,Premier League,28,1989,22.2,534,689,77.5,9771,2810,240,287,83.6,217,258,84.1,67,119,56.3,1,0.7,+0.3,12,58,20,4,73
126,Kwadwo Asamoah,GHA,DF,Inter Milan,Serie A,29,1988,29.7,1933,2216,87.2,35205,10592,865,927,93.3,846,946,89.4,212,306,69.3,1,1.5,-0.5,30,174,44,14,175
127,Takuma Asano,JPN,MF,Hannover 96,Bundesliga,23,1994,7.8,118,170,69.4,1873,408,65,87,74.7,38,53,71.7,12,19,63.2,0,0.5,-0.5,3,9,7,1,13
128,Santiago Ascacíbar,ARG,MF,VfB Stuttgart,Bundesliga,21,1997,27.0,923,1140,81.0,17205,4025,368,440,83.6,420,486,86.4,121,168,72.0,0,0.7,-0.7,13,79,10,2,89
129,Sergio Asenjo,ESP,GK,Villarreal CF,La Liga,29,1989,32.0,521,805,64.7,19300,12895,50,50,100.0,211,216,97.7,259,538,48.1,0,0.0,0.0,0,15,0,0,1
130,Marco Asensio,ESP,FW,Real Madrid,La Liga,22,1996,19.8,842,1020,82.5,13292,3242,487,540,90.2,262,308,85.1,78,123,63.4,4,4.0,0.0,33,52,50,18,77
131,Iago Aspas,ESP,FW,Celta de Vigo,La Liga,30,1987,25.0,722,904,79.9,11754,2520,383,458,83.6,248,300,82.7,71,100,71.0,6,5.3,+0.7,52,40,33,4,70
132,Simon Asta,DEU,DF,FC Augsburg,Bundesliga,17,2001,1.0,21,35,60.0,315,133,12,15,80.0,7,13,53.8,2,7,28.6,0,0.0,0.0,0,1,0,0,2
133,Christian Atsu,GHA,MF,Newcastle United,Premier League,26,1992,16.6,335,454,73.8,5193,1161,189,220,85.9,100,142,70.4,34,60,56.7,0,1.2,-1.2,14,23,17,5,26
134,Youcef Atal,DZA,DF,OGC Nice,Ligue 1,22,1996,25.1,1027,1278,80.4,16417,4718,528,615,85.9,409,486,84.2,67,127,52.8,0,3.4,-3.4,27,51,24,10,78
135,Pierre-Emerick Aubameyang,GAB,FW,Arsenal FC,Premier League,29,1989,30.3,526,742,70.9,7324,1884,326,421,77.4,157,226,69.5,25,48,52.1,5,4.3,+0.7,33,28,33,4,62
136,Emil Audero,ITA,GK,UC Sampdoria,Serie A,21,1997,36.0,849,1158,73.3,22289,13292,161,164,98.2,437,442,98.9,247,547,45.2,0,0.1,-0.1,2,3,0,0,0
