Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
200,Édgar Barreto\Edgar-Barreto,py PAR,MF,Sampdoria,it Serie A,34,1984,8.7,396,515,76.9,6319,2215,216,255,84.7,138,172,80.2,31,61,50.8,2,1.3,+0.7,10,44,13,1,48
201,Musa Barrow\Musa-Barrow,gm GAM,FWMF,Atalanta,it Serie A,19,1998,6.7,192,248,77.4,2954,498,113,132,85.6,63,85,74.1,12,22,54.5,2,0.8,+1.2,14,11,7,0,19
202,Fin Bartels\Fin-Bartels,de GER,FW,Werder Bremen,de Bundesliga,31,1987,0.3,3,5,60.0,127,68,1,2,50.0,0,1,0.0,2,2,100.0,0,0.0,0.0,0,1,0,0,1
203,Marc Bartra\Marc-Bartra,es ESP,DF,Betis,es La Liga,27,1991,32.5,1993,2254,88.4,41893,12647,556,588,94.6,1117,1180,94.7,305,453,67.3,0,0.4,-0.4,4,133,4,0,83
204,Andrea Barzagli\Andrea-Barzagli,it ITA,DF,Juventus,it Serie A,37,1981,2.9,183,205,89.3,4204,1342,37,44,84.1,109,117,93.2,37,42,88.1,0,0.0,0.0,0,14,0,0,12
205,Daniele Baselli\Daniele-Baselli,it ITA,MF,Torino,it Serie A,26,1992,26.4,973,1245,78.2,17975,5204,408,488,83.6,404,490,82.4,131,203,64.5,1,3.3,-2.3,44,90,26,9,114
206,Toma Bašić\Toma-Basic,hr CRO,MF,Bordeaux,fr Ligue 1,21,1996,14.8,480,620,77.4,9545,2502,196,229,85.6,197,231,85.3,81,141,57.4,0,2.2,-2.2,23,47,7,3,49
207,Thomas Basila\Thomas-Basila,fr FRA,DF,Nantes,fr Ligue 1,19,1999,1.0,22,26,84.6,483,208,5,5,100.0,14,17,82.4,3,4,75.0,0,0.0,0.0,0,2,0,0,1
208,Borja Bastón\Borja-Baston,es ESP,FW,Alavés,es La Liga,25,1992,16.0,208,321,64.8,2732,470,131,180,72.8,62,97,63.9,4,11,36.4,1,1.1,-0.1,9,11,4,1,11
209,Alessandro Bastoni\Alessandro-Bastoni,it ITA,DF,Parma,it Serie A,19,1999,18.8,509,610,83.4,11448,3554,137,150,91.3,260,286,90.9,110,165,66.7,0,0.2,-0.2,1,36,3,0,25
