Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1254,Sebastian Kerk\Sebastian-Kerk,de GER,MFFW,Nürnberg,de Bundesliga,24,1994,13.1,0,18,7,38.9,1.37,0.53,0.00,0.00,25.5,5,0,0,0.9,0.9,0.05,-0.9,-0.9
1255,Franck Kessié\Franck-Kessie,ci CIV,MF,Milan,it Serie A,21,1996,33.5,8,49,12,24.5,1.46,0.36,0.10,0.42,18.3,0,3,3,7.1,4.9,0.10,+0.9,+0.1
1256,Saîf-Eddine Khaoui\Saif-Eddine-Khaoui,tn TUN,MFFW,Caen,fr Ligue 1,23,1995,15.0,3,27,11,40.7,1.80,0.73,0.11,0.27,21.6,0,0,0,1.6,1.6,0.06,+1.4,+1.4
1257,Wahbi Khazri\Wahbi-Khazri,tn TUN,FWMF,Saint-Étienne,fr Ligue 1,27,1991,31.3,13,93,34,36.6,2.97,1.09,0.10,0.26,23.6,13,4,4,12.5,9.5,0.10,+0.5,-0.5
1258,Rani Khedira\Rani-Khedira,de GER,DFMF,Augsburg,de Bundesliga,24,1994,29.2,4,12,5,41.7,0.41,0.17,0.33,0.80,10.5,0,0,0,2.0,2.0,0.17,+2.0,+2.0
1259,Sami Khedira\Sami-Khedira,de GER,MF,Juventus,it Serie A,31,1987,7.8,2,18,5,27.8,2.29,0.64,0.11,0.40,14.2,0,0,0,1.7,1.7,0.09,+0.3,+0.3
1260,Isaac Kiese Thelin\Isaac-Kiese-Thelin,se SWE,FW,Leverkusen,de Bundesliga,26,1992,2.0,0,4,1,25.0,2.00,0.50,0.00,0.00,12.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2
1261,Kike\Kike,es ESP,FW,Eibar,es La Liga,28,1989,14.4,3,42,17,40.5,2.91,1.18,0.07,0.18,12.9,0,0,0,5.0,5.0,0.12,-2.0,-2.0
1262,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,eng Premier League,21,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
1263,Joshua Kimmich\Joshua-Kimmich,de GER,DFMF,Bayern Munich,de Bundesliga,23,1995,34.0,2,25,8,32.0,0.74,0.24,0.08,0.25,17.5,0,0,0,1.9,1.9,0.08,+0.1,+0.1
1264,Presnel Kimpembe\Presnel-Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,22,1995,22.3,0,4,1,25.0,0.18,0.04,0.00,0.00,19.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3
1265,Joshua King\Joshua-King,no NOR,FW,Bournemouth,eng Premier League,26,1992,32.9,12,64,18,28.1,1.95,0.55,0.11,0.39,15.4,0,5,6,12.5,7.9,0.12,-0.5,-0.9
1266,Sofian Kiyine\Sofian-Kiyine,ma MAR,MFDF,Chievo,it Serie A,20,1997,9.1,0,21,3,14.3,2.32,0.33,0.00,0.00,26.1,3,0,0,0.8,0.8,0.04,-0.8,-0.8
1267,Simon Kjær\Simon-Kjaer,dk DEN,DF,Sevilla,es La Liga,29,1989,22.3,0,15,3,20.0,0.67,0.13,0.00,0.00,12.2,0,0,0,0.9,0.9,0.06,-0.9,-0.9
1268,Davy Klaassen\Davy-Klaassen,nl NED,MF,Werder Bremen,de Bundesliga,25,1993,31.3,5,31,9,29.0,0.99,0.29,0.16,0.56,19.0,0,0,0,3.3,3.3,0.11,+1.7,+1.7
1269,Felix Klaus\Felix-Klaus,de GER,FWMF,Wolfsburg,de Bundesliga,25,1992,4.9,1,14,6,42.9,2.84,1.22,0.07,0.17,16.8,0,0,0,2.3,2.3,0.17,-1.3,-1.3
1270,Ragnar Klavan\Ragnar-Klavan,ee EST,DF,Cagliari,it Serie A,32,1985,13.7,0,2,0,0.0,0.15,0.00,0.00,,21.4,0,0,0,0.0,0.0,0.02,0.0,0.0
1271,Tim Kleindienst\Tim-Kleindienst,de GER,FW,Freiburg,de Bundesliga,22,1995,2.2,0,5,1,20.0,2.25,0.45,0.00,0.00,16.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4
1272,Lukas Klostermann\Lukas-Klostermann,de GER,DF,RB Leipzig,de Bundesliga,22,1996,22.3,5,14,7,50.0,0.63,0.31,0.36,0.71,12.2,0,0,0,2.0,2.0,0.15,+3.0,+3.0
1273,Justin Kluivert\Justin-Kluivert,nl NED,FW,Roma,it Serie A,19,1999,14.9,1,21,8,38.1,1.41,0.54,0.05,0.13,17.1,0,0,0,1.7,1.7,0.08,-0.7,-0.7
1274,Lukas Klünter\Lukas-Klunter,de GER,DF,Hertha BSC,de Bundesliga,22,1996,6.6,0,5,1,20.0,0.76,0.15,0.00,0.00,22.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1
1275,Robin Knoche\Robin-Knoche,de GER,DF,Wolfsburg,de Bundesliga,26,1992,31.0,3,14,6,42.9,0.45,0.19,0.21,0.50,8.1,0,0,0,2.0,2.0,0.14,+1.0,+1.0
1276,Anthony Knockaert\Anthony-Knockaert,fr FRA,FWMF,Brighton,eng Premier League,26,1991,20.4,2,29,9,31.0,1.42,0.44,0.07,0.22,16.8,2,0,0,2.9,2.9,0.10,-0.9,-0.9
1277,Törles Knöll\Torles-Knoll,de GER,FW,Nürnberg,de Bundesliga,20,1997,4.1,1,8,3,37.5,1.95,0.73,0.13,0.33,9.9,0,0,0,1.2,1.2,0.15,-0.2,-0.2
1278,Gregor Kobel\Gregor-Kobel,ch SUI,GK,Hoffenheim,de Bundesliga,20,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
1279,Gregor Kobel\Gregor-Kobel,ch SUI,GK,Augsburg,de Bundesliga,20,1997,15.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
1280,Robin Koch\Robin-Koch,de GER,MFDF,Freiburg,de Bundesliga,22,1996,21.1,1,9,2,22.2,0.43,0.09,0.11,0.50,16.9,0,0,0,0.8,0.8,0.08,+0.2,+0.2
1281,Kenan Kodro\Kenan-Kodro,ba BIH,FWMF,Athletic Club,es La Liga,24,1993,1.8,1,4,1,25.0,2.24,0.56,0.25,1.00,15.5,0,0,0,0.2,0.2,0.04,+0.8,+0.8
1282,Dominik Kohr\Dominik-Kohr,de GER,MF,Leverkusen,de Bundesliga,24,1994,10.8,0,14,4,28.6,1.29,0.37,0.00,0.00,22.3,0,0,0,1.3,1.3,0.09,-1.3,-1.3
1283,Djégui Koita\Djegui-Koita,fr FRA,DF,Guingamp,fr Ligue 1,18,1999,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
1284,Koke\Koke,es ESP,MF,Atlético Madrid,es La Liga,26,1992,28.7,3,20,5,25.0,0.70,0.17,0.15,0.60,20.2,1,0,0,1.1,1.1,0.06,+1.9,+1.9
1285,Aleksandar Kolarov\Aleksandar-Kolarov,rs SRB,DF,Roma,it Serie A,32,1985,32.3,8,37,11,29.7,1.15,0.34,0.14,0.45,23.3,9,3,3,4.5,2.3,0.06,+3.5,+2.7
1286,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,eng Premier League,25,1993,21.0,0,10,2,20.0,0.48,0.10,0.00,0.00,16.5,0,0,0,0.5,0.5,0.05,-0.5,-0.5
1287,Randal Kolo Muani\Randal-Kolo-Muani,fr FRA,FWMF,Nantes,fr Ligue 1,19,1998,1.4,0,3,1,33.3,2.21,0.74,0.00,0.00,13.7,0,0,0,0.3,0.3,0.09,-0.3,-0.3
1288,Timothée Kolodziejczak\Timothee-Kolodziejczak,fr FRA,DF,Saint-Étienne,fr Ligue 1,26,1991,35.4,3,17,6,35.3,0.48,0.17,0.18,0.50,7.0,0,0,0,2.2,2.2,0.13,+0.8,+0.8
1289,Vincent Kompany\Vincent-Kompany,be BEL,DF,Manchester City,eng Premier League,32,1986,13.6,1,3,1,33.3,0.22,0.07,0.33,1.00,23.0,0,0,0,0.2,0.2,0.05,+0.8,+0.8
1290,Ghislain Konan\Ghislain-Konan,ci CIV,DF,Reims,fr Ligue 1,22,1995,20.0,0,1,0,0.0,0.05,0.00,0.00,,23.4,0,0,0,0.0,0.0,0.01,0.0,0.0
1291,Ibrahima Konaté\Ibrahima-Konate,fr FRA,DF,RB Leipzig,de Bundesliga,19,1999,27.0,1,14,3,21.4,0.52,0.11,0.07,0.33,10.3,0,0,0,1.2,1.2,0.08,-0.2,-0.2
1292,Moussa Konaté\Moussa-Konate,sn SEN,FW,Amiens,fr Ligue 1,25,1993,20.8,7,49,15,30.6,2.35,0.72,0.10,0.33,15.8,0,2,3,7.7,5.4,0.11,-0.7,-0.4
1293,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MF,Valencia,es La Liga,25,1993,13.8,1,22,4,18.2,1.59,0.29,0.05,0.25,20.1,0,0,0,2.0,2.0,0.09,-1.0,-1.0
1294,Kouadio Koné\Kouadio-Kone,fr FRA,MF,Toulouse,fr Ligue 1,17,2001,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
1295,Lamine Koné\Lamine-Kone,ci CIV,DF,Strasbourg,fr Ligue 1,29,1989,23.9,1,7,2,28.6,0.29,0.08,0.14,0.50,8.2,0,0,0,0.6,0.6,0.09,+0.4,+0.4
1296,Youssouf Koné\Youssouf-Kone,ml MLI,DF,Lille,fr Ligue 1,23,1995,19.0,0,5,0,0.0,0.26,0.00,0.00,,30.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1
1297,Terence Kongolo\Terence-Kongolo,nl NED,DF,Huddersfield,eng Premier League,24,1994,30.2,1,14,4,28.6,0.46,0.13,0.07,0.25,13.0,0,0,0,1.2,1.2,0.08,-0.2,-0.2
1298,Yevhen Konoplyanka\Yevhen-Konoplyanka,ua UKR,FW,Schalke 04,de Bundesliga,28,1989,7.3,1,19,6,31.6,2.61,0.82,0.05,0.17,21.4,1,0,0,1.3,1.3,0.07,-0.3,-0.3
1299,Pascal Köpke\Pascal-Kopke,de GER,FWMF,Hertha BSC,de Bundesliga,22,1995,0.8,0,4,1,25.0,4.86,1.22,0.00,0.00,18.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2
1300,Julian Korb\Julian-Korb,de GER,DF,Hannover 96,de Bundesliga,26,1992,11.2,0,1,0,0.0,0.09,0.00,0.00,,27.0,0,0,0,0.0,0.0,0.01,0.0,0.0
1301,Laurent Koscielny\Laurent-Koscielny,fr FRA,DF,Arsenal,eng Premier League,32,1985,14.8,3,5,4,80.0,0.34,0.27,0.60,0.75,5.8,0,0,0,1.7,1.7,0.35,+1.3,+1.3
1302,Filip Kostić\Filip-Kostic,rs SRB,DFMF,Eint Frankfurt,de Bundesliga,25,1992,32.8,6,60,16,26.7,1.83,0.49,0.10,0.38,21.0,7,0,0,4.8,4.8,0.08,+1.2,+1.2
1304,Christian Kouamé\Christian-Kouame,ci CIV,FWMF,Genoa,it Serie A,20,1997,34.1,4,86,25,29.1,2.52,0.73,0.05,0.16,16.2,0,0,0,6.9,6.9,0.08,-2.9,-2.9
1305,Tomáš Koubek\Tomas-Koubek,cz CZE,GK,Rennes,fr Ligue 1,25,1992,32.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
1306,Kalidou Koulibaly\Kalidou-Koulibaly,sn SEN,DF,Napoli,it Serie A,27,1991,34.8,2,22,7,31.8,0.63,0.20,0.09,0.29,9.9,0,0,0,3.2,3.2,0.15,-1.2,-1.2
1307,Jules Koundé\Jules-Kounde,fr FRA,DF,Bordeaux,fr Ligue 1,19,1998,37.0,0,14,2,14.3,0.38,0.05,0.00,0.00,13.6,0,0,0,0.7,0.7,0.05,-0.7,-0.7
1308,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MF,Crystal Palace,eng Premier League,28,1989,21.1,0,21,8,38.1,1.00,0.38,0.00,0.00,19.5,0,0,0,1.4,1.4,0.07,-1.4,-1.4
1309,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,eng Premier League,24,1994,19.3,0,29,3,10.3,1.50,0.16,0.00,0.00,20.1,0,0,0,1.8,1.8,0.06,-1.8,-1.8
1310,Dawid Kownacki\Dawid-Kownacki,pl POL,FW,Sampdoria,it Serie A,21,1997,1.9,1,4,1,25.0,2.14,0.54,0.00,0.00,21.3,0,1,2,1.7,0.2,0.05,-0.7,-0.2
1311,Dawid Kownacki\Dawid-Kownacki,pl POL,MFFW,Düsseldorf,de Bundesliga,21,1997,6.4,4,12,5,41.7,1.88,0.78,0.33,0.80,14.2,0,0,0,1.3,1.3,0.11,+2.7,+2.7
1312,Thomas Kraft\Thomas-Kraft,de GER,GK,Hertha BSC,de Bundesliga,30,1988,3.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
1313,Emil Krafth\Emil-Krafth,se SWE,DF,Amiens,fr Ligue 1,23,1994,33.0,1,11,5,45.5,0.33,0.15,0.09,0.20,20.4,0,0,0,0.7,0.7,0.06,+0.3,+0.3
1314,Luka Krajnc\Luka-Krajnc,si SVN,DF,Frosinone,it Serie A,23,1994,8.8,0,2,1,50.0,0.23,0.11,0.00,0.00,14.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
1315,Andrej Kramarić\Andrej-Kramaric,hr CRO,MFFW,Hoffenheim,de Bundesliga,27,1991,26.6,17,101,38,37.6,3.79,1.43,0.12,0.32,18.2,7,5,6,19.8,15.2,0.15,-2.8,-3.2
1316,Christoph Kramer\Christoph-Kramer,de GER,MF,M'Gladbach,de Bundesliga,27,1991,12.6,2,8,3,37.5,0.63,0.24,0.25,0.67,16.6,0,0,0,0.9,0.9,0.11,+1.1,+1.1
1317,Vasyl Kravets\Vasyl-Kravets,ua UKR,DF,Leganés,es La Liga,20,1997,5.3,0,4,2,50.0,0.75,0.37,0.00,0.00,22.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
1318,Ladislav Krejčí\Ladislav-Krejci,cz CZE,MFDF,Bologna,it Serie A,26,1992,11.8,0,9,4,44.4,0.76,0.34,0.00,0.00,18.3,1,0,0,0.7,0.7,0.07,-0.7,-0.7
1319,Rene Krhin\Rene-Krhin,si SVN,MF,Nantes,fr Ligue 1,28,1990,11.7,0,6,1,16.7,0.51,0.09,0.00,0.00,12.4,0,0,0,0.4,0.4,0.07,-0.4,-0.4
1320,Toni Kroos\Toni-Kroos,de GER,MF,Real Madrid,es La Liga,28,1990,24.7,0,30,9,30.0,1.22,0.36,0.00,0.00,23.9,0,0,0,1.2,1.2,0.04,-1.2,-1.2
1321,Rade Krunić\Rade-Krunic,ba BIH,MF,Empoli,it Serie A,24,1993,30.8,5,54,15,27.8,1.75,0.49,0.09,0.33,17.3,0,0,0,4.4,4.4,0.08,+0.6,+0.6
1322,Max Kruse\Max-Kruse,de GER,FWMF,Werder Bremen,de Bundesliga,30,1988,31.5,11,84,37,44.0,2.67,1.18,0.10,0.22,18.9,2,3,3,9.9,7.7,0.09,+1.1,+0.3
1323,Lukas Kübler\Lukas-Kubler,de GER,DF,Freiburg,de Bundesliga,25,1992,13.2,0,6,2,33.3,0.46,0.15,0.00,0.00,21.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2
1324,Yuya Kubo\Yuya-Kubo,jp JPN,FWMF,Nürnberg,de Bundesliga,24,1993,15.1,1,31,11,35.5,2.06,0.73,0.03,0.09,18.2,0,0,0,2.2,2.2,0.07,-1.2,-1.2
1325,Juraj Kucka\Juraj-Kucka,sk SVK,MF,Parma,it Serie A,31,1987,17.1,4,24,8,33.3,1.41,0.47,0.13,0.38,22.5,0,1,1,2.0,1.2,0.05,+2.0,+1.8
1326,Dejan Kulusevski\Dejan-Kulusevski,se SWE,DFMF,Atalanta,it Serie A,18,2000,1.2,0,2,1,50.0,1.71,0.86,0.00,0.00,19.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2
1327,Pierre Kunde\Pierre-Kunde,cm CMR,MF,Mainz 05,de Bundesliga,23,1995,21.2,0,30,7,23.3,1.41,0.33,0.00,0.00,28.5,1,0,0,0.8,0.8,0.03,-0.8,-0.8
1328,Jasmin Kurtić\Jasmin-Kurtic,si SVN,MF,SPAL,it Serie A,29,1989,28.4,6,63,14,22.2,2.22,0.49,0.10,0.43,22.0,9,0,0,3.5,3.5,0.06,+2.5,+2.5
1329,Layvin Kurzawa\Layvin-Kurzawa,fr FRA,DFMF,Paris S-G,fr Ligue 1,25,1992,11.2,1,7,2,28.6,0.62,0.18,0.14,0.50,10.4,0,0,0,1.5,1.5,0.23,-0.5,-0.5
1330,Rafał Kurzawa\Rafal-Kurzawa,pl POL,FWMF,Amiens,fr Ligue 1,25,1993,2.7,1,2,1,50.0,0.75,0.38,0.50,1.00,13.6,0,0,0,0.3,0.3,0.17,+0.7,+0.7
1331,Ahmed Kutucu\Ahmed-Kutucu,tr TUR,FWMF,Schalke 04,de Bundesliga,18,2000,4.7,2,11,7,63.6,2.33,1.48,0.18,0.29,20.1,1,0,0,1.1,1.1,0.10,+0.9,+0.9
1332,Enock Kwateng\Enock-Kwateng,fr FRA,DF,Nantes,fr Ligue 1,21,1997,22.7,0,5,0,0.0,0.22,0.00,0.00,,18.2,0,0,0,0.5,0.5,0.10,-0.5,-0.5
1333,Grejohn Kyei\Grejohn-Kyei,fr FRA,FW,Reims,fr Ligue 1,22,1995,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
1334,Antonino La Gumina\Antonino-La-Gumina,it ITA,FW,Empoli,it Serie A,22,1996,12.1,2,30,9,30.0,2.48,0.74,0.07,0.22,10.6,0,0,0,5.4,5.4,0.19,-3.4,-3.4
1335,Rajiv van La Parra\Rajiv-van-La-Parra,nl NED,MFFW,Huddersfield,eng Premier League,27,1991,4.5,0,5,0,0.0,1.11,0.00,0.00,,23.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3
1336,Gaëtan Laborde\Gaetan-Laborde,fr FRA,FWMF,Montpellier,fr Ligue 1,24,1994,32.2,11,86,30,34.9,2.67,0.93,0.13,0.37,15.0,0,0,0,8.8,8.8,0.10,+2.2,+2.2
1337,Gaëtan Laborde\Gaetan-Laborde,fr FRA,FW,Bordeaux,fr Ligue 1,24,1994,1.0,0,1,0,0.0,1.00,0.00,0.00,,10.0,0,0,0,0.0,0.0,0.05,0.0,0.0
1338,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,eng Premier League,27,1991,27.8,13,81,28,34.6,2.91,1.01,0.16,0.46,13.6,1,0,0,11.9,11.9,0.15,+1.1,+1.1
1339,Alban Lafont\Alban-Lafont,fr FRA,GK,Fiorentina,it Serie A,19,1999,33.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
1340,Víctor Laguardia\Victor-Laguardia,es ESP,DF,Alavés,es La Liga,28,1989,36.0,1,16,5,31.3,0.44,0.14,0.06,0.20,12.1,1,0,0,1.4,1.4,0.09,-0.4,-0.4
1341,Abdou Lahat Diakhate\Abdou-Lahat-Diakhate,sn SEN,FW,Parma,it Serie A,19,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
1342,Konrad Laimer\Konrad-Laimer,at AUT,MFDF,RB Leipzig,de Bundesliga,21,1997,20.8,1,14,5,35.7,0.67,0.24,0.07,0.20,15.8,0,0,0,2.1,2.1,0.15,-1.1,-1.1
1343,Diego Lainez\Diego-Lainez,mx MEX,MFFW,Betis,es La Liga,18,2000,3.9,0,10,2,20.0,2.55,0.51,0.00,0.00,22.7,0,0,0,0.2,0.2,0.02,-0.2,-0.2
1344,Kenny Lala\Kenny-Lala,fr FRA,DFMF,Strasbourg,fr Ligue 1,26,1991,34.0,5,21,9,42.9,0.62,0.26,0.19,0.44,24.8,3,1,2,3.1,1.2,0.06,+1.9,+2.8
1345,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,eng Premier League,30,1988,5.2,0,5,2,40.0,0.96,0.38,0.00,0.00,16.2,0,0,0,0.4,0.4,0.08,-0.4,-0.4
1346,Érik Lamela\Erik-Lamela,ar ARG,FWMF,Tottenham,eng Premier League,26,1992,10.8,4,29,11,37.9,2.68,1.02,0.14,0.36,15.3,1,0,0,3.4,3.4,0.12,+0.6,+0.6
1347,Mohamed Lamine Diaby\Mohamed-Lamine-Diaby,fr FRA,FW,Nice,fr Ligue 1,17,2001,1.8,0,2,0,0.0,1.11,0.00,0.00,,10.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1
1348,Loïck Landre\Loick-Landre,fr FRA,DF,Nîmes,fr Ligue 1,26,1992,17.7,3,9,3,33.3,0.51,0.17,0.33,1.00,9.9,0,0,0,1.1,1.1,0.12,+1.9,+1.9
1349,Michael Lang\Michael-Lang,ch SUI,DF,M'Gladbach,de Bundesliga,27,1991,13.9,1,9,3,33.3,0.65,0.22,0.11,0.33,10.0,0,0,0,1.1,1.1,0.12,-0.1,-0.1
1350,Sebastian Langkamp\Sebastian-Langkamp,de GER,DF,Werder Bremen,de Bundesliga,30,1988,15.7,0,6,1,16.7,0.38,0.06,0.00,0.00,9.1,0,0,0,0.5,0.5,0.09,-0.5,-0.5
1351,Manuel Lanzini\Manuel-Lanzini,ar ARG,MF,West Ham,eng Premier League,25,1993,7.6,1,11,4,36.4,1.44,0.52,0.09,0.25,19.0,3,0,0,1.3,1.3,0.12,-0.3,-0.3
1352,Gianluca Lapadula\Gianluca-Lapadula,pe PER,FWMF,Genoa,it Serie A,28,1990,4.5,1,24,5,20.8,5.35,1.11,0.04,0.20,14.5,1,0,0,2.7,2.7,0.11,-1.7,-1.7
1353,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,eng Premier League,24,1994,34.0,3,27,7,25.9,0.79,0.21,0.11,0.43,16.0,0,0,0,2.1,2.1,0.08,+0.9,+0.9
1354,Danilo Larangeira\Danilo-Larangeira,br BRA,DF,Bologna,it Serie A,34,1984,34.2,1,11,4,36.4,0.32,0.12,0.09,0.25,12.4,0,0,0,0.7,0.7,0.06,+0.3,+0.3
1355,Johan Larsson\Johan-Larsson,se SWE,DF,Guingamp,fr Ligue 1,28,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
1356,Kevin Lasagna\Kevin-Lasagna,it ITA,FW,Udinese,it Serie A,25,1992,27.3,6,64,20,31.3,2.35,0.73,0.09,0.30,14.8,1,0,1,9.2,8.5,0.13,-3.2,-2.5
1357,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,24,1993,30.5,0,10,1,10.0,0.33,0.03,0.00,0.00,9.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5
1358,Paul Lasne\Paul-Lasne,fr FRA,MFDF,Montpellier,fr Ligue 1,29,1989,19.9,2,24,8,33.3,1.21,0.40,0.08,0.25,22.9,0,0,0,1.2,1.2,0.05,+0.8,+0.8
1359,Toni Lato\Toni-Lato,es ESP,DF,Valencia,es La Liga,20,1997,3.0,0,2,0,0.0,0.67,0.00,0.00,,13.4,0,0,0,0.2,0.2,0.09,-0.2,-0.2
1360,Danny Latza\Danny-Latza,de GER,MF,Mainz 05,de Bundesliga,28,1989,20.7,0,35,7,20.0,1.69,0.34,0.00,0.00,19.8,1,0,0,3.2,3.2,0.09,-3.2,-3.2
1361,Alexandre Lauray\Alexandre-Lauray,fr FRA,DF,Bordeaux,fr Ligue 1,21,1997,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
1362,Armand Lauriente\Armand-Lauriente,fr FRA,FW,Rennes,fr Ligue 1,19,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
1363,Vincent Laurini\Vincent-Laurini,fr FRA,DF,Fiorentina,it Serie A,29,1989,10.2,0,2,1,50.0,0.20,0.10,0.00,0.00,19.3,0,0,0,0.2,0.2,0.09,-0.2,-0.2
1364,Wesley Lautoa\Wesley-Lautoa,nc NCL,DFMF,Dijon,fr Ligue 1,30,1987,33.6,0,11,1,9.1,0.33,0.03,0.00,0.00,17.4,0,0,0,0.6,0.6,0.05,-0.6,-0.6
1365,Diego Laxalt\Diego-Laxalt,uy URU,DFMF,Milan,it Serie A,25,1993,7.2,0,6,3,50.0,0.83,0.41,0.00,0.00,8.6,0,0,0,1.0,1.0,0.21,-1.0,-1.0
1366,Miguel Layún\Miguel-Layun,mx MEX,MFDF,Villarreal,es La Liga,30,1988,5.6,0,12,2,16.7,2.13,0.36,0.00,0.00,23.7,2,0,0,0.6,0.5,0.04,-0.6,-0.5
1367,Valentino Lazaro\Valentino-Lazaro,at AUT,DFMF,Hertha BSC,de Bundesliga,22,1996,30.5,3,21,8,38.1,0.69,0.26,0.14,0.38,17.8,3,0,0,2.1,2.1,0.10,+0.9,+0.9
1368,Darko Lazović\Darko-Lazovic,rs SRB,MFDF,Genoa,it Serie A,27,1990,28.2,3,40,9,22.5,1.42,0.32,0.08,0.33,19.2,3,0,0,2.1,2.1,0.05,+0.9,+0.9
1369,Manuel Lazzari\Manuel-Lazzari,it ITA,MFDF,SPAL,it Serie A,24,1993,31.5,0,37,5,13.5,1.17,0.16,0.00,0.00,20.1,0,0,0,1.6,1.6,0.04,-1.6,-1.6
1370,Mickaël Le Bihan\Mickael-Le-Bihan,fr FRA,FW,Nice,fr Ligue 1,28,1990,2.3,1,4,2,50.0,1.76,0.88,0.00,0.00,18.6,0,1,1,1.4,0.6,0.15,-0.4,-0.6
1371,Maxime Le Marchand\Maxime-Le-Marchand,fr FRA,DF,Fulham,eng Premier League,28,1989,25.0,0,4,0,0.0,0.16,0.00,0.00,,13.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2
1372,Robin Le Normand\Robin-Le-Normand,fr FRA,DF,Real Sociedad,es La Liga,21,1996,3.2,0,5,0,0.0,1.58,0.00,0.00,,7.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3
1373,Damien Le Tallec\Damien-Le-Tallec,fr FRA,MF,Montpellier,fr Ligue 1,28,1990,31.2,3,30,13,43.3,0.96,0.42,0.10,0.23,15.7,0,0,0,3.2,3.2,0.11,-0.2,-0.2
1374,James Lea Siliki\James-Lea-Siliki,fr FRA,MFFW,Rennes,fr Ligue 1,22,1996,13.6,0,21,3,14.3,1.55,0.22,0.00,0.00,22.5,1,0,0,0.9,0.9,0.04,-0.9,-0.9
1375,Rafael Leão\Rafael-Leao,pt POR,FW,Lille,fr Ligue 1,19,1999,14.3,8,36,20,55.6,2.52,1.40,0.22,0.40,13.8,0,0,0,5.2,5.2,0.15,+2.8,+2.8
1376,Mathew Leckie\Mathew-Leckie,au AUS,FWMF,Hertha BSC,de Bundesliga,27,1991,10.5,2,21,8,38.1,2.01,0.77,0.10,0.25,11.1,0,0,0,2.5,2.5,0.12,-0.5,-0.5
1377,Benjamin Lecomte\Benjamin-Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,27,1991,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
1378,Pierre Lees-Melou\Pierre-Lees-Melou,fr FRA,MF,Nice,fr Ligue 1,25,1993,26.6,2,40,11,27.5,1.50,0.41,0.05,0.18,18.2,0,0,0,4.0,4.0,0.10,-2.0,-2.0
1379,Jordan Lefort\Jordan-Lefort,fr FRA,DFMF,Amiens,fr Ligue 1,24,1993,20.0,0,10,1,10.0,0.50,0.05,0.00,0.00,23.5,0,0,0,0.3,0.3,0.03,-0.3,-0.3
