Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
48,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,28,1989,18.1,2,19,7,36.8,1.05,0.39,0.11,0.29,21.3,0,0,0,1.1,1.1,0.06,+0.9,+0.9
49,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,24,1993,13.5,18,51,26,51.0,3.79,1.93,0.33,0.65,15.0,6,1,1,9.2,8.4,0.17,+8.8,+8.6
50,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Girona,es La Liga,29,1989,20.8,1,15,3,20.0,0.72,0.14,0.07,0.33,16.0,1,0,0,0.9,0.9,0.06,+0.1,+0.1
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,26.8,2,23,6,26.1,0.86,0.22,0.09,0.33,19.9,1,0,0,2.2,2.2,0.09,-0.2,-0.2
52,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,33.1,3,52,12,23.1,1.57,0.36,0.06,0.25,25.5,11,0,1,3.3,2.6,0.05,-0.3,+0.4
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,32.5,0,17,6,35.3,0.52,0.18,0.00,0.00,12.0,0,0,0,1.1,1.1,0.07,-1.1,-1.1
54,Álex Alegría\Alex-Alegria,es ESP,FWMF,Rayo Vallecano,es La Liga,25,1992,1.6,0,3,2,66.7,1.93,1.29,0.00,0.00,18.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2
55,Alexis Alegue\Alexis-Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
56,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Getafe,es La Liga,23,1995,1.6,0,1,0,0.0,0.62,0.00,0.00,,23.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1
57,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,20,1998,7.1,2,14,3,21.4,1.98,0.42,0.14,0.67,21.2,0,0,0,1.5,1.5,0.10,+0.5,+0.5
58,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
59,Alexander\Alexander,ar ARG,DF,Leganés,es La Liga,29,1988,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
60,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,27.4,1,29,9,31.0,1.06,0.33,0.03,0.11,24.6,9,0,0,1.5,1.5,0.05,-0.5,-0.5
61,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,13.9,5,50,20,40.0,3.59,1.44,0.10,0.25,19.6,4,0,0,5.3,5.3,0.11,-0.3,-0.3
62,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
63,Bobby Allain\Bobby-Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
64,Allan\Allan,br BRA,MF,Napoli,it Serie A,27,1991,29.1,1,25,2,8.0,0.86,0.07,0.04,0.50,23.6,0,0,0,1.1,1.1,0.05,-0.1,-0.1
65,Allan\Allan,br BRA,MFDF,Eint Frankfurt,de Bundesliga,21,1997,2.0,0,2,0,0.0,1.02,0.00,0.00,,20.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
66,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,22,1996,20.3,5,40,18,45.0,1.97,0.89,0.13,0.28,13.8,1,0,0,5.3,5.3,0.13,-0.3,-0.3
67,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,eng Premier League,24,1994,8.4,0,19,8,42.1,2.25,0.95,0.00,0.00,19.1,0,0,0,1.7,1.6,0.09,-1.7,-1.6
68,Júnior Alonso\Junior-Alonso,py PAR,DFMF,Celta Vigo,es La Liga,25,1993,6.0,0,4,2,50.0,0.67,0.34,0.00,0.00,15.4,0,0,0,0.4,0.4,0.09,-0.4,-0.4
